id,name,background,icon,word,task,item1,num1,item2,num2,item3,num3,vip,vipitem1,vipnum1,vipitem2,vipnum2,vipitem3,vipnum3,privilege,privilegetxt
1,骑士,iconbg_juewei_01,icon_juewei_04,txt_juewei_01,1001,11201303,1,0,0,0,0,1,60110010,1,42010001,5,0,0,5,开启战斗加速2倍
2,勋爵,iconbg_juewei_02,icon_juewei_05,txt_juewei_02,1002,11201302,1,0,0,0,0,2,60640020,1,42010001,5,0,0,1,开启召唤愿望单
3,准男爵,iconbg_juewei_03,icon_juewei_07,txt_juewei_03,1003,11201302,1,0,0,0,0,3,60110030,1,42010001,10,0,0,2,每日60活跃度增加奖励：钻石+50
4,男爵,iconbg_juewei_05,icon_juewei_07,txt_juewei_04,1004,11201302,1,0,0,0,0,4,13000001,180,42010001,10,0,0,3,阵营招募切换阵营免费
5,子爵,iconbg_juewei_04,icon_juewei_08,txt_juewei_05,1005,11201302,1,0,0,0,0,5,13000002,60,42010002,10,0,0,4,每日80活跃度增加奖励：少量勇士经验+1
6,伯爵,iconbg_juewei_05,icon_juewei_08,txt_juewei_06,1006,11300201,1,0,0,0,0,6,13000002,60,60540053,1,0,0,7,每周20活跃度增加奖励：希望泉水+50
7,侯爵,iconbg_juewei_05,icon_juewei_09,txt_juewei_07,1007,11300201,1,0,0,0,0,7,13000002,120,81000002,50,0,0,6,每日100活跃度增加奖励：小袋金币+1
8,公爵,iconbg_juewei_07,icon_juewei_09,txt_juewei_08,1008,11300201,1,0,0,0,0,8,13000002,120,60310063,1,0,0,8,每周40活跃度增加奖励：魔粉+500
9,大公,iconbg_juewei_06,icon_juewei_10,txt_juewei_09,1009,11300201,1,0,0,0,0,9,30200000,1,40000003,50,0,0,9,每周60活跃度增加奖励：低级特殊宝石+20
10,亲王,iconbg_juewei_07,icon_juewei_10,txt_juewei_10,1010,42010003,10,0,0,0,0,10,30200000,1,40000004,50,0,0,10,每周80活跃度增加奖励：高级特殊宝石+10
11,选帝侯,iconbg_juewei_07,icon_juewei_11,txt_juewei_11,0,42010003,20,0,0,0,0,12,42010003,20,30020008,50,0,0,11,每周100活跃度增加奖励：强化宝石宝箱+5
