id,task,order,txt,tasktypes,n1,n2,n3,n4,item,num,taskindexes,open
1,1001,1,领主达到15级,1,15,0,0,0,91000002,15000,mod_newChapter.openFightChapter(),0
2,1001,2,通关冒险关卡第2章,43,2,0,0,0,91000002,15000,mod_newChapter.openFightChapter(),0
3,1001,3,拥有3个21级的英雄,15,3,21,0,0,91000002,15000,"ui_mgr.openUI(""heroListUI"")",0
4,1001,4,拥有1件蓝色品质装备,32,1,2,0,0,91000002,15000,"ui_mgr.openUI(""first_rechargeUI"")",0
5,1002,1,领主达到20级,1,20,0,0,0,91000002,20000,mod_newChapter.openFightChapter(),0
6,1002,2,通关冒险关卡第3章,43,3,0,0,0,91000002,20000,mod_newChapter.openFightChapter(),0
7,1002,3,通关试炼之塔第10层,81,10,0,0,0,91000002,20000,"ui_mgr.openUI(""KingTowerMainUI"",enOpenUIType.EUIT_ListType,{towerType=mod_kingTower.towerType.kingTower})",29
8,1002,4,赠送友情点15次,111,15,0,0,0,91000002,20000,mod_friend.openFriendui(),20
9,1002,5,竞技场挑战3次,51,3,0,0,0,91000002,20000,"ui_mgr.openUI(""kickEnemyPlace"")",4
10,1002,6,累计召唤30次,121,30,0,0,0,91000002,20000,"ui_mgr.openUI( ""SummonOrAstrologyUI"" )",13
11,1003,1,领主达到30级,1,30,0,0,0,91000002,30000,mod_newChapter.openFightChapter(),0
12,1003,2,通关冒险关卡第5章,43,5,0,0,0,91000002,30000,mod_newChapter.openFightChapter(),0
13,1003,3,通关试炼之塔第30层,81,30,0,0,0,91000002,30000,"ui_mgr.openUI(""KingTowerMainUI"",enOpenUIType.EUIT_ListType,{towerType=mod_kingTower.towerType.kingTower})",29
14,1003,4,拥有5个60级的英雄,15,5,60,0,0,91000002,30000,"ui_mgr.openUI(""heroListUI"")",0
15,1003,5,完整通关地牢1次,61,1,3,0,0,91000002,30000,"ui_mgr.openUI(""maze_ui"")",17
16,1003,6,使用快速挂机3次,22,3,0,0,0,91000002,30000,mod_newChapter.openFightChapter(),60
17,1004,1,领主达到40级,1,40,0,0,0,91000002,40000,mod_newChapter.openFightChapter(),0
