id,hero_quality,rank_value,txt,txt1
1,1,0,普通英雄0分,普通
2,2,5,稀有英雄5分,稀有
3,3,15,稀有+英雄15分,稀有+
4,4,50,精英英雄50分,精英
5,5,150,精英+英雄150分,精英+
6,6,500,史诗英雄500分,史诗
7,7,650,史诗+英雄650分,史诗+
8,8,1300,传说英雄1300分,传说
9,9,2000,传说+英雄2000分,传说+
10,10,2500,神话英雄2500分,神话
11,11,2800,神话1星英雄2800分,神话1星
12,12,3100,神话2星英雄3100分,神话2星
13,13,3400,神话3星英雄3400分,神话3星
14,14,3700,神话4星英雄3700分,神话4星
15,15,4000,神话5星英雄4000分,神话5星
16,16,4000,神话5星1阶英雄4000分,神话5星1阶
17,17,4000,神话5星2阶英雄4000分,神话5星2阶
18,18,4000,神话5星3阶英雄4000分,神话5星3阶
19,19,4600,永恒1星英雄4600分,永恒1星
20,20,4600,永恒1星1阶英雄4600分,永恒1星1阶
21,21,4600,永恒1星2阶英雄4600分,永恒1星2阶
22,22,4600,永恒1星3阶英雄4600分,永恒1星3阶
23,23,5200,永恒2星英雄5200分,永恒2星
24,24,5200,永恒2星1阶英雄5200分,永恒2星1阶
25,25,5200,永恒2星2阶英雄5200分,永恒2星2阶
26,26,5200,永恒2星3阶英雄5200分,永恒2星3阶
27,27,5800,永恒3星英雄5800分,永恒3星
28,28,5800,永恒3星1阶英雄5800分,永恒3星1阶
29,29,5800,永恒3星2阶英雄5800分,永恒3星2阶
30,30,5800,永恒3星3阶英雄5800分,永恒3星3阶
31,31,6400,永恒4星英雄6400分,永恒4星
32,32,6400,永恒4星1阶英雄6400分,永恒4星1阶
33,33,6400,永恒4星2阶英雄6400分,永恒4星2阶
34,34,6400,永恒4星3阶英雄6400分,永恒4星3阶
35,35,6400,永恒4星4阶英雄6400分,永恒4星4阶
36,36,6400,永恒4星5阶英雄6400分,永恒4星5阶
37,37,7000,永恒5星英雄7000分,永恒5星
