id,type,sort,tasktypes,n1,n2,n3,n4,txt,item1,num1,item2,num2
1,1,1,128,5800,1,0,0,本服任意一名玩家水系积分达到5800,91000002,5000,0,0
2,1,2,128,9800,1,0,0,本服任意一名玩家水系积分达到9800,91000002,5000,0,0
3,1,3,128,13800,1,0,0,本服任意一名玩家水系积分达到13800,91000002,5000,0,0
4,1,4,128,17800,1,0,0,本服任意一名玩家水系积分达到17800,91000002,5000,0,0
5,1,5,128,21800,1,0,0,本服任意一名玩家水系积分达到21800,91000002,5000,0,0
6,1,6,128,25800,1,0,0,本服任意一名玩家水系积分达到25800,91000002,5000,0,0
7,1,7,128,29800,1,0,0,本服任意一名玩家水系积分达到29800,91000002,5000,0,0
8,1,8,128,33800,1,0,0,本服任意一名玩家水系积分达到33800,91000002,5000,0,0
9,1,9,128,37800,1,0,0,本服任意一名玩家水系积分达到37800,91000002,5000,0,0
10,1,10,128,41800,1,0,0,本服任意一名玩家水系积分达到41800,91000002,5000,0,0
11,1,11,128,45800,1,0,0,本服任意一名玩家水系积分达到45800,91000002,5000,0,0
12,1,12,128,49800,1,0,0,本服任意一名玩家水系积分达到49800,91000002,5000,0,0
13,1,13,128,53800,1,0,0,本服任意一名玩家水系积分达到53800,91000002,5000,0,0
14,1,14,128,57800,1,0,0,本服任意一名玩家水系积分达到57800,91000002,5000,0,0
15,1,15,128,61800,1,0,0,本服任意一名玩家水系积分达到61800,91000002,5000,0,0
16,2,1,128,5800,2,0,0,本服任意一名玩家火系积分达到5800,91000002,5000,0,0
17,2,2,128,9800,2,0,0,本服任意一名玩家火系积分达到9800,91000002,5000,0,0
18,2,3,128,13800,2,0,0,本服任意一名玩家火系积分达到13800,91000002,5000,0,0
19,2,4,128,17800,2,0,0,本服任意一名玩家火系积分达到17800,91000002,5000,0,0
20,2,5,128,21800,2,0,0,本服任意一名玩家火系积分达到21800,91000002,5000,0,0
21,2,6,128,25800,2,0,0,本服任意一名玩家火系积分达到25800,91000002,5000,0,0
22,2,7,128,29800,2,0,0,本服任意一名玩家火系积分达到29800,91000002,5000,0,0
23,2,8,128,33800,2,0,0,本服任意一名玩家火系积分达到33800,91000002,5000,0,0
24,2,9,128,37800,2,0,0,本服任意一名玩家火系积分达到37800,91000002,5000,0,0
25,2,10,128,41800,2,0,0,本服任意一名玩家火系积分达到41800,91000002,5000,0,0
26,2,11,128,45800,2,0,0,本服任意一名玩家火系积分达到45800,91000002,5000,0,0
27,2,12,128,49800,2,0,0,本服任意一名玩家火系积分达到49800,91000002,5000,0,0
28,2,13,128,53800,2,0,0,本服任意一名玩家火系积分达到53800,91000002,5000,0,0
29,2,14,128,57800,2,0,0,本服任意一名玩家火系积分达到57800,91000002,5000,0,0
30,2,15,128,61800,2,0,0,本服任意一名玩家火系积分达到61800,91000002,5000,0,0
31,3,1,128,5800,3,0,0,本服任意一名玩家雷系积分达到5800,91000002,5000,0,0
32,3,2,128,9800,3,0,0,本服任意一名玩家雷系积分达到9800,91000002,5000,0,0
33,3,3,128,13800,3,0,0,本服任意一名玩家雷系积分达到13800,91000002,5000,0,0
34,3,4,128,17800,3,0,0,本服任意一名玩家雷系积分达到17800,91000002,5000,0,0
35,3,5,128,21800,3,0,0,本服任意一名玩家雷系积分达到21800,91000002,5000,0,0
36,3,6,128,25800,3,0,0,本服任意一名玩家雷系积分达到25800,91000002,5000,0,0
37,3,7,128,29800,3,0,0,本服任意一名玩家雷系积分达到29800,91000002,5000,0,0
38,3,8,128,33800,3,0,0,本服任意一名玩家雷系积分达到33800,91000002,5000,0,0
39,3,9,128,37800,3,0,0,本服任意一名玩家雷系积分达到37800,91000002,5000,0,0
40,3,10,128,41800,3,0,0,本服任意一名玩家雷系积分达到41800,91000002,5000,0,0
41,3,11,128,45800,3,0,0,本服任意一名玩家雷系积分达到45800,91000002,5000,0,0
42,3,12,128,49800,3,0,0,本服任意一名玩家雷系积分达到49800,91000002,5000,0,0
43,3,13,128,53800,3,0,0,本服任意一名玩家雷系积分达到53800,91000002,5000,0,0
44,3,14,128,57800,3,0,0,本服任意一名玩家雷系积分达到57800,91000002,5000,0,0
45,3,15,128,61800,3,0,0,本服任意一名玩家雷系积分达到61800,91000002,5000,0,0
46,4,1,128,5800,4,0,0,本服任意一名玩家土系积分达到5800,91000002,5000,0,0
47,4,2,128,9800,4,0,0,本服任意一名玩家土系积分达到9800,91000002,5000,0,0
48,4,3,128,13800,4,0,0,本服任意一名玩家土系积分达到13800,91000002,5000,0,0
49,4,4,128,17800,4,0,0,本服任意一名玩家土系积分达到17800,91000002,5000,0,0
50,4,5,128,21800,4,0,0,本服任意一名玩家土系积分达到21800,91000002,5000,0,0
51,4,6,128,25800,4,0,0,本服任意一名玩家土系积分达到25800,91000002,5000,0,0
52,4,7,128,29800,4,0,0,本服任意一名玩家土系积分达到29800,91000002,5000,0,0
53,4,8,128,33800,4,0,0,本服任意一名玩家土系积分达到33800,91000002,5000,0,0
54,4,9,128,37800,4,0,0,本服任意一名玩家土系积分达到37800,91000002,5000,0,0
55,4,10,128,41800,4,0,0,本服任意一名玩家土系积分达到41800,91000002,5000,0,0
56,4,11,128,45800,4,0,0,本服任意一名玩家土系积分达到45800,91000002,5000,0,0
57,4,12,128,49800,4,0,0,本服任意一名玩家土系积分达到49800,91000002,5000,0,0
58,4,13,128,53800,4,0,0,本服任意一名玩家土系积分达到53800,91000002,5000,0,0
59,4,14,128,57800,4,0,0,本服任意一名玩家土系积分达到57800,91000002,5000,0,0
60,4,15,128,61800,4,0,0,本服任意一名玩家土系积分达到61800,91000002,5000,0,0
61,5,1,41,1,110540,1,0,本服任意一名玩家完成第5章的所有关卡,91000002,5000,0,0
62,5,2,41,1,110640,1,0,本服任意一名玩家完成第6章的所有关卡,91000002,5000,0,0
63,5,3,41,1,110740,1,0,本服任意一名玩家完成第7章的所有关卡,91000002,5000,0,0
64,5,4,41,1,110840,1,0,本服任意一名玩家完成第8章的所有关卡,91000002,5000,0,0
65,5,5,41,1,110940,1,0,本服任意一名玩家完成第9章的所有关卡,91000002,5000,0,0
66,5,6,41,1,111040,1,0,本服任意一名玩家完成第10章的所有关卡,91000002,5000,0,0
67,5,7,41,1,111140,1,0,本服任意一名玩家完成第11章的所有关卡,91000002,5000,0,0
68,5,8,41,1,111240,1,0,本服任意一名玩家完成第12章的所有关卡,91000002,5000,0,0
69,5,9,41,1,111340,1,0,本服任意一名玩家完成第13章的所有关卡,91000002,5000,0,0
70,5,10,41,1,111440,1,0,本服任意一名玩家完成第14章的所有关卡,91000002,5000,0,0
71,5,11,41,1,111540,1,0,本服任意一名玩家完成第15章的所有关卡,91000002,5000,0,0
72,5,12,41,1,111640,1,0,本服任意一名玩家完成第16章的所有关卡,91000002,5000,0,0
73,5,13,41,1,111740,1,0,本服任意一名玩家完成第17章的所有关卡,91000002,5000,0,0
74,5,14,41,1,111840,1,0,本服任意一名玩家完成第18章的所有关卡,91000002,5000,0,0
75,5,15,41,1,111940,1,0,本服任意一名玩家完成第19章的所有关卡,91000002,5000,0,0
76,5,16,41,1,112060,1,0,本服任意一名玩家完成第20章的所有关卡,91000002,5000,0,0
77,5,17,41,1,112160,1,0,本服任意一名玩家完成第21章的所有关卡,91000002,5000,0,0
78,5,18,41,1,112260,1,0,本服任意一名玩家完成第22章的所有关卡,91000002,5000,0,0
79,5,19,41,1,112360,1,0,本服任意一名玩家完成第23章的所有关卡,91000002,5000,0,0
80,5,20,41,1,112460,1,0,本服任意一名玩家完成第24章的所有关卡,91000002,5000,0,0
81,5,21,41,1,112560,1,0,本服任意一名玩家完成第25章的所有关卡,91000002,5000,0,0
82,5,22,41,1,112660,1,0,本服任意一名玩家完成第26章的所有关卡,91000002,5000,0,0
83,5,23,41,1,112760,1,0,本服任意一名玩家完成第27章的所有关卡,91000002,5000,0,0
84,5,24,41,1,112860,1,0,本服任意一名玩家完成第28章的所有关卡,91000002,5000,0,0
85,5,25,41,1,112960,1,0,本服任意一名玩家完成第29章的所有关卡,91000002,5000,0,0
86,5,26,41,1,113060,1,0,本服任意一名玩家完成第30章的所有关卡,91000002,5000,0,0
87,5,27,41,1,113160,1,0,本服任意一名玩家完成第31章的所有关卡,91000002,5000,0,0
88,5,28,41,1,113260,1,0,本服任意一名玩家完成第32章的所有关卡,91000002,5000,0,0
89,5,29,41,1,113360,1,0,本服任意一名玩家完成第33章的所有关卡,91000002,5000,0,0
90,5,30,41,1,113460,1,0,本服任意一名玩家完成第34章的所有关卡,91000002,5000,0,0
91,6,1,81,100,0,0,0,本服任意一名玩家王座之塔达到100层,91000002,5000,0,0
92,6,2,81,125,0,0,0,本服任意一名玩家王座之塔达到125层,91000002,5000,0,0
93,6,3,81,150,0,0,0,本服任意一名玩家王座之塔达到150层,91000002,5000,0,0
94,6,4,81,175,0,0,0,本服任意一名玩家王座之塔达到175层,91000002,5000,0,0
95,6,5,81,200,0,0,0,本服任意一名玩家王座之塔达到200层,91000002,5000,0,0
96,6,6,81,225,0,0,0,本服任意一名玩家王座之塔达到225层,91000002,5000,0,0
97,6,7,81,250,0,0,0,本服任意一名玩家王座之塔达到250层,91000002,5000,0,0
98,6,8,81,275,0,0,0,本服任意一名玩家王座之塔达到275层,91000002,5000,0,0
99,6,9,81,300,0,0,0,本服任意一名玩家王座之塔达到300层,91000002,5000,0,0
100,6,10,81,325,0,0,0,本服任意一名玩家王座之塔达到325层,91000002,5000,0,0
101,6,11,81,350,0,0,0,本服任意一名玩家王座之塔达到350层,91000002,5000,0,0
102,6,12,81,375,0,0,0,本服任意一名玩家王座之塔达到375层,91000002,5000,0,0
103,6,13,81,400,0,0,0,本服任意一名玩家王座之塔达到400层,91000002,5000,0,0
104,6,14,81,425,0,0,0,本服任意一名玩家王座之塔达到425层,91000002,5000,0,0
