group,index,level_id,level_limits,first_item1,num1,first_item2,num2,first_item3,num3,itembag_group,item1_show,item1_numshow,item1_show1,item1_numshow1,cost_id1,cost_num1,difficulty_name,difficulty_colour,level_name,describe
1,1,420101,0,91000002,100,91000032,900,0,0,30301,91000032,300,0,0,91000003,0,简单,1,深渊矿井,使用AOE技能快速击杀召唤出来的炸弹，防止炸弹爆炸
1,2,420102,23,91000002,100,91000032,1020,0,0,30302,91000032,340,0,0,91000003,0,普通,2,深渊矿井,使用AOE技能快速击杀召唤出来的炸弹，防止炸弹爆炸
1,3,420103,32,91000002,100,91000032,1140,0,0,30303,91000032,380,0,0,91000003,0,困难,3,深渊矿井,使用AOE技能快速击杀召唤出来的炸弹，防止炸弹爆炸
1,4,420104,41,91000002,100,91000032,1260,0,0,30304,91000032,420,0,0,91000003,0,专家,4,深渊矿井,使用AOE技能快速击杀召唤出来的炸弹，防止炸弹爆炸
1,5,420105,49,91000002,100,91000032,1380,0,0,30305,91000032,460,0,0,91000003,0,大师,5,深渊矿井,使用AOE技能快速击杀召唤出来的炸弹，防止炸弹爆炸
1,6,420106,55,91000002,100,91000032,1500,0,0,30306,91000032,500,0,0,91000003,0,王者,6,深渊矿井,使用AOE技能快速击杀召唤出来的炸弹，防止炸弹爆炸
1,7,420107,61,91000002,100,91000032,1620,0,0,30307,91000032,540,0,0,91000003,0,地狱,6,深渊矿井,使用AOE技能快速击杀召唤出来的炸弹，防止炸弹爆炸
1,8,420108,66,91000002,100,91000032,1740,0,0,30308,91000032,580,0,0,91000003,0,噩梦,6,深渊矿井,使用AOE技能快速击杀召唤出来的炸弹，防止炸弹爆炸
1,9,420109,69,91000002,100,91000032,1860,0,0,30309,91000032,620,0,0,91000003,0,传说,6,深渊矿井,使用AOE技能快速击杀召唤出来的炸弹，防止炸弹爆炸
2,1,420201,17,91000002,100,91000033,9000,0,0,30201,91000033,3000,0,0,91000003,0,简单,1,巫妖陵寝,根据自身队伍的防御属性，快速的集火其中一个目标
2,2,420202,26,91000002,100,91000033,13500,0,0,30202,91000033,4500,0,0,91000003,0,普通,2,巫妖陵寝,根据自身队伍的防御属性，快速的集火其中一个目标
2,3,420203,35,91000002,100,91000033,18000,0,0,30203,91000033,6000,0,0,91000003,0,困难,3,巫妖陵寝,根据自身队伍的防御属性，快速的集火其中一个目标
2,4,420204,44,91000002,100,91000033,22500,0,0,30204,91000033,7500,0,0,91000003,0,专家,4,巫妖陵寝,根据自身队伍的防御属性，快速的集火其中一个目标
2,5,420205,51,91000002,100,91000033,27000,0,0,30205,91000033,9000,0,0,91000003,0,大师,5,巫妖陵寝,根据自身队伍的防御属性，快速的集火其中一个目标
2,6,420206,57,91000002,100,91000033,31500,0,0,30206,91000033,10500,0,0,91000003,0,王者,6,巫妖陵寝,根据自身队伍的防御属性，快速的集火其中一个目标
2,7,420207,63,91000002,100,91000033,36000,0,0,30207,91000033,12000,0,0,91000003,0,地狱,6,巫妖陵寝,根据自身队伍的防御属性，快速的集火其中一个目标
2,8,420208,67,91000002,100,91000033,40500,0,0,30208,91000033,13500,0,0,91000003,0,噩梦,6,巫妖陵寝,根据自身队伍的防御属性，快速的集火其中一个目标
2,9,420209,70,91000002,100,91000033,45000,0,0,30209,91000033,15000,0,0,91000003,0,传说,6,巫妖陵寝,根据自身队伍的防御属性，快速的集火其中一个目标
3,1,420301,20,91000002,100,91000001,300000,0,0,30101,91000001,150000,0,0,91000003,0,简单,1,魔灵禁地,使用单体输出英雄，快速击杀目标
3,2,420302,29,91000002,100,91000001,340000,0,0,30102,91000001,170000,0,0,91000003,0,普通,2,魔灵禁地,使用单体输出英雄，快速击杀目标
3,3,420303,38,91000002,100,91000001,380000,0,0,30103,91000001,190000,0,0,91000003,0,困难,3,魔灵禁地,使用单体输出英雄，快速击杀目标
3,4,420304,47,91000002,100,91000001,420000,0,0,30104,91000001,210000,0,0,91000003,0,专家,4,魔灵禁地,使用单体输出英雄，快速击杀目标
3,5,420305,53,91000002,100,91000001,460000,0,0,30105,91000001,230000,0,0,91000003,0,大师,5,魔灵禁地,使用单体输出英雄，快速击杀目标
3,6,420306,59,91000002,100,91000001,500000,0,0,30106,91000001,250000,0,0,91000003,0,王者,6,魔灵禁地,使用单体输出英雄，快速击杀目标
3,7,420307,65,91000002,100,91000001,540000,0,0,30107,91000001,270000,0,0,91000003,0,地狱,6,魔灵禁地,使用单体输出英雄，快速击杀目标
3,8,420308,68,91000002,100,91000001,600000,0,0,30108,91000001,300000,0,0,91000003,0,噩梦,6,魔灵禁地,使用单体输出英雄，快速击杀目标
3,9,420309,71,91000002,100,91000001,660000,0,0,30109,91000001,330000,0,0,91000003,0,传说,6,魔灵禁地,使用单体输出英雄，快速击杀目标
