id,group,isteam,prize,prizenum,p
1,1,0,91000002,1000,3300
2,1,0,91000044,12,3300
3,1,0,91000001,15000,3400
4,2,0,91000002,1000,2000
5,2,0,91000044,12,1500
6,2,0,13000001,5,500
7,2,0,91000001,22000,3000
8,2,0,91000001,26000,3000
9,3,0,91000002,2000,2000
10,3,0,91000044,24,2000
11,3,0,13000001,7,1200
12,3,0,91000001,30000,800
13,3,0,91000001,34000,800
14,3,0,91000001,38000,1600
15,3,0,91000001,45000,800
16,3,0,91000001,53000,400
17,3,0,91000001,56000,400
18,4,0,91000002,4000,2000
19,4,0,91000044,48,2000
20,4,0,13000001,10,1200
21,4,0,91000001,61000,800
22,4,0,91000001,63000,800
23,4,0,91000001,76000,1600
24,4,0,91000001,97000,800
25,4,0,91000001,104000,400
26,4,0,91000001,112000,400
27,5,0,91000002,6000,2000
28,5,0,91000044,150,2000
29,5,0,13000001,15,1200
30,5,0,91000001,114000,800
31,5,0,91000001,146000,800
32,5,0,91000001,155000,800
33,5,0,91000001,168000,1600
34,5,0,91000001,175000,400
35,5,0,91000001,181000,400
36,6,0,91000002,10000,2000
37,6,0,91000044,500,2000
38,6,0,13000001,25,2000
39,6,0,91000001,237400,1000
40,6,0,91000001,238200,2000
41,6,0,91000001,239000,500
42,6,0,91000001,247000,500
43,7,0,91000002,15000,3000
44,7,0,91000044,800,1000
45,7,0,13000001,40,1000
46,7,0,91000001,317000,5000
47,1,1,91000002,2000,2000
48,1,1,91000044,24,2000
49,1,1,13000001,10,2000
50,1,1,91000001,37000,2000
51,1,1,91000001,45000,2000
52,2,1,91000002,2000,2000
53,2,1,91000044,24,2000
54,2,1,13000001,10,2000
55,2,1,91000001,37000,2000
56,2,1,91000001,45000,2000
57,3,1,91000002,4000,2000
58,3,1,91000044,50,2000
59,3,1,13000001,14,2000
60,3,1,91000001,60000,2000
61,3,1,91000001,78000,2000
62,4,1,91000002,8000,2000
63,4,1,91000044,100,2000
64,4,1,13000001,20,2000
65,4,1,91000001,91000,2000
66,4,1,91000001,127000,2000
67,5,1,91000002,12000,2000
68,5,1,91000044,160,2000
69,5,1,13000001,30,2000
70,5,1,91000001,179000,2000
71,5,1,91000001,209000,2000
72,6,1,91000002,20000,2500
73,6,1,91000044,500,2500
74,6,1,13000001,50,2500
75,6,1,91000001,309000,2500
76,7,1,91000002,30000,2500
77,7,1,91000044,800,2500
78,7,1,13000001,80,2500
79,7,1,91000001,400000,2500
