id,gourp,level,type,parm1,parm2,parm3,parm4,attribute_type1,value1,attribute_type2,value2,player_level,cost_id,cost_num,complete_time,describe,label
1,342,0,0,0,0,0,0,106,0,99,0,0,91000033,100,60,0,3
2,342,1,0,0,0,0,0,106,100,99,50000,0,91000033,500,600,0,3
3,342,2,0,0,0,0,0,106,150,99,75000,17,91000033,5000,1800,0,3
4,342,3,0,0,0,0,0,106,200,99,100000,19,91000033,12000,3600,0,3
5,342,4,0,0,0,0,0,106,250,99,125000,21,91000033,18000,5400,0,3
6,342,5,0,0,0,0,0,106,300,99,150000,23,91000033,0,0,0,3
7,442,0,0,0,0,0,0,106,0,99,0,0,91000033,24000,7200,0,4
8,442,1,0,0,0,0,0,106,50,99,25000,0,91000033,36000,10800,0,4
9,442,2,0,0,0,0,0,106,100,99,50000,27,91000033,48000,14400,0,4
10,442,3,0,0,0,0,0,106,150,99,75000,29,91000033,60000,18000,0,4
11,442,4,0,0,0,0,0,106,200,99,100000,31,91000033,72000,21600,0,4
12,442,5,0,0,0,0,0,106,270,99,135000,33,91000033,0,0,0,4
13,542,11,0,0,0,0,0,106,620,99,310000,35,91000033,120000,36000,0,5
14,542,12,0,0,0,0,0,106,670,99,335000,37,91000033,144000,43200,0,5
15,542,13,0,0,0,0,0,106,730,99,365000,39,91000033,168000,50400,0,5
16,542,14,0,0,0,0,0,106,790,99,395000,41,91000033,192000,57600,0,5
17,542,15,0,0,0,0,0,106,850,99,425000,43,91000033,228000,68400,0,5
18,542,16,0,0,0,0,0,106,910,99,455000,45,91000033,264000,79200,0,5
19,542,17,0,0,0,0,0,106,970,99,485000,47,91000033,300000,90000,0,5
20,542,18,0,0,0,0,0,106,1040,99,520000,49,91000033,336000,100800,0,5
21,542,19,0,0,0,0,0,106,1110,99,555000,51,91000033,372000,111600,0,5
22,542,20,0,0,0,0,0,106,1180,99,590000,53,91000033,420000,126000,0,5
23,542,21,0,0,0,0,0,106,1250,99,625000,55,91000033,468000,140400,0,5
24,542,22,0,0,0,0,0,106,1330,99,665000,57,91000033,516000,154800,0,5
25,542,23,0,0,0,0,0,106,1400,99,700000,59,91000033,564000,169200,0,5
26,542,24,0,0,0,0,0,106,1480,99,740000,61,91000033,612000,183600,0,5
27,542,25,0,0,0,0,0,106,1570,99,785000,63,91000033,660000,198000,0,5
28,542,26,0,0,0,0,0,106,1650,99,825000,65,91000033,708000,212400,0,5
29,542,27,0,0,0,0,0,106,1730,99,865000,67,91000033,756000,226800,0,5
30,542,28,0,0,0,0,0,106,1820,99,910000,69,91000033,804000,241200,0,5
31,542,29,0,0,0,0,0,106,1910,99,955000,71,91000033,852000,255600,0,5
32,542,30,0,0,0,0,0,106,2000,99,1000000,73,91000033,0,0,0,5
33,351,0,0,0,0,0,0,107,0,99,0,0,91000033,100,60,0,3
34,351,1,0,0,0,0,0,107,100,99,50000,0,91000033,500,600,0,3
35,351,2,0,0,0,0,0,107,150,99,75000,17,91000033,5000,1800,0,3
36,351,3,0,0,0,0,0,107,200,99,100000,19,91000033,12000,3600,0,3
37,351,4,0,0,0,0,0,107,250,99,125000,21,91000033,18000,5400,0,3
38,351,5,0,0,0,0,0,107,300,99,150000,23,91000033,0,0,0,3
39,451,0,0,0,0,0,0,107,0,99,0,0,91000033,24000,7200,0,4
40,451,1,0,0,0,0,0,107,50,99,25000,0,91000033,36000,10800,0,4
41,451,2,0,0,0,0,0,107,100,99,50000,27,91000033,48000,14400,0,4
42,451,3,0,0,0,0,0,107,150,99,75000,29,91000033,60000,18000,0,4
43,451,4,0,0,0,0,0,107,200,99,100000,31,91000033,72000,21600,0,4
44,451,5,0,0,0,0,0,107,270,99,135000,33,91000033,0,0,0,4
45,551,11,0,0,0,0,0,107,620,99,310000,35,91000033,120000,36000,0,5
46,551,12,0,0,0,0,0,107,670,99,335000,37,91000033,144000,43200,0,5
47,551,13,0,0,0,0,0,107,730,99,365000,39,91000033,168000,50400,0,5
48,551,14,0,0,0,0,0,107,790,99,395000,41,91000033,192000,57600,0,5
49,551,15,0,0,0,0,0,107,850,99,425000,43,91000033,228000,68400,0,5
50,551,16,0,0,0,0,0,107,910,99,455000,45,91000033,264000,79200,0,5
51,551,17,0,0,0,0,0,107,970,99,485000,47,91000033,300000,90000,0,5
52,551,18,0,0,0,0,0,107,1040,99,520000,49,91000033,336000,100800,0,5
53,551,19,0,0,0,0,0,107,1110,99,555000,51,91000033,372000,111600,0,5
54,551,20,0,0,0,0,0,107,1180,99,590000,53,91000033,420000,126000,0,5
55,551,21,0,0,0,0,0,107,1250,99,625000,55,91000033,468000,140400,0,5
56,551,22,0,0,0,0,0,107,1330,99,665000,57,91000033,516000,154800,0,5
57,551,23,0,0,0,0,0,107,1400,99,700000,59,91000033,564000,169200,0,5
58,551,24,0,0,0,0,0,107,1480,99,740000,61,91000033,612000,183600,0,5
59,551,25,0,0,0,0,0,107,1570,99,785000,63,91000033,660000,198000,0,5
60,551,26,0,0,0,0,0,107,1650,99,825000,65,91000033,708000,212400,0,5
61,551,27,0,0,0,0,0,107,1730,99,865000,67,91000033,756000,226800,0,5
62,551,28,0,0,0,0,0,107,1820,99,910000,69,91000033,804000,241200,0,5
63,551,29,0,0,0,0,0,107,1910,99,955000,71,91000033,852000,255600,0,5
64,551,30,0,0,0,0,0,107,2000,99,1000000,73,91000033,0,0,0,5
65,352,0,0,0,0,0,0,109,0,99,0,0,91000033,100,60,0,3
66,352,1,0,0,0,0,0,109,100,99,50000,0,91000033,500,600,0,3
67,352,2,0,0,0,0,0,109,150,99,75000,17,91000033,5000,1800,0,3
68,352,3,0,0,0,0,0,109,200,99,100000,19,91000033,12000,3600,0,3
69,352,4,0,0,0,0,0,109,250,99,125000,21,91000033,18000,5400,0,3
70,352,5,0,0,0,0,0,109,300,99,150000,23,91000033,0,0,0,3
71,452,0,0,0,0,0,0,109,0,99,0,0,91000033,24000,7200,0,4
72,452,1,0,0,0,0,0,109,50,99,25000,0,91000033,36000,10800,0,4
73,452,2,0,0,0,0,0,109,100,99,50000,27,91000033,48000,14400,0,4
74,452,3,0,0,0,0,0,109,150,99,75000,29,91000033,60000,18000,0,4
75,452,4,0,0,0,0,0,109,200,99,100000,31,91000033,72000,21600,0,4
76,452,5,0,0,0,0,0,109,270,99,135000,33,91000033,0,0,0,4
77,552,11,0,0,0,0,0,109,620,99,310000,35,91000033,120000,36000,0,5
78,552,12,0,0,0,0,0,109,670,99,335000,37,91000033,144000,43200,0,5
79,552,13,0,0,0,0,0,109,730,99,365000,39,91000033,168000,50400,0,5
80,552,14,0,0,0,0,0,109,790,99,395000,41,91000033,192000,57600,0,5
81,552,15,0,0,0,0,0,109,850,99,425000,43,91000033,228000,68400,0,5
82,552,16,0,0,0,0,0,109,910,99,455000,45,91000033,264000,79200,0,5
83,552,17,0,0,0,0,0,109,970,99,485000,47,91000033,300000,90000,0,5
84,552,18,0,0,0,0,0,109,1040,99,520000,49,91000033,336000,100800,0,5
85,552,19,0,0,0,0,0,109,1110,99,555000,51,91000033,372000,111600,0,5
86,552,20,0,0,0,0,0,109,1180,99,590000,53,91000033,420000,126000,0,5
87,552,21,0,0,0,0,0,109,1250,99,625000,55,91000033,468000,140400,0,5
88,552,22,0,0,0,0,0,109,1330,99,665000,57,91000033,516000,154800,0,5
89,552,23,0,0,0,0,0,109,1400,99,700000,59,91000033,564000,169200,0,5
90,552,24,0,0,0,0,0,109,1480,99,740000,61,91000033,612000,183600,0,5
91,552,25,0,0,0,0,0,109,1570,99,785000,63,91000033,660000,198000,0,5
92,552,26,0,0,0,0,0,109,1650,99,825000,65,91000033,708000,212400,0,5
93,552,27,0,0,0,0,0,109,1730,99,865000,67,91000033,756000,226800,0,5
94,552,28,0,0,0,0,0,109,1820,99,910000,69,91000033,804000,241200,0,5
95,552,29,0,0,0,0,0,109,1910,99,955000,71,91000033,852000,255600,0,5
96,552,30,0,0,0,0,0,109,2000,99,1000000,73,91000033,0,0,0,5
97,353,0,0,0,0,0,0,129,0,99,0,0,91000033,100,60,0,3
98,353,1,0,0,0,0,0,129,100,99,50000,0,91000033,500,600,0,3
99,353,2,0,0,0,0,0,129,150,99,75000,17,91000033,5000,1800,0,3
100,353,3,0,0,0,0,0,129,200,99,100000,19,91000033,12000,3600,0,3
101,353,4,0,0,0,0,0,129,250,99,125000,21,91000033,18000,5400,0,3
102,353,5,0,0,0,0,0,129,300,99,150000,23,91000033,0,0,0,3
103,453,0,0,0,0,0,0,129,0,99,0,0,91000033,24000,7200,0,4
104,453,1,0,0,0,0,0,129,50,99,25000,25,91000033,36000,10800,0,4
105,453,2,0,0,0,0,0,129,100,99,50000,27,91000033,48000,14400,0,4
106,453,3,0,0,0,0,0,129,150,99,75000,29,91000033,60000,18000,0,4
107,453,4,0,0,0,0,0,129,200,99,100000,31,91000033,72000,21600,0,4
108,453,5,0,0,0,0,0,129,270,99,135000,33,91000033,0,0,0,4
109,553,11,0,0,0,0,0,129,620,99,310000,35,91000033,120000,36000,0,5
110,553,12,0,0,0,0,0,129,670,99,335000,37,91000033,144000,43200,0,5
111,553,13,0,0,0,0,0,129,730,99,365000,39,91000033,168000,50400,0,5
112,553,14,0,0,0,0,0,129,790,99,395000,41,91000033,192000,57600,0,5
113,553,15,0,0,0,0,0,129,850,99,425000,43,91000033,228000,68400,0,5
114,553,16,0,0,0,0,0,129,910,99,455000,45,91000033,264000,79200,0,5
115,553,17,0,0,0,0,0,129,970,99,485000,47,91000033,300000,90000,0,5
116,553,18,0,0,0,0,0,129,1040,99,520000,49,91000033,336000,100800,0,5
117,553,19,0,0,0,0,0,129,1110,99,555000,51,91000033,372000,111600,0,5
118,553,20,0,0,0,0,0,129,1180,99,590000,53,91000033,420000,126000,0,5
119,553,21,0,0,0,0,0,129,1250,99,625000,55,91000033,468000,140400,0,5
120,553,22,0,0,0,0,0,129,1330,99,665000,57,91000033,516000,154800,0,5
121,553,23,0,0,0,0,0,129,1400,99,700000,59,91000033,564000,169200,0,5
122,553,24,0,0,0,0,0,129,1480,99,740000,61,91000033,612000,183600,0,5
123,553,25,0,0,0,0,0,129,1570,99,785000,63,91000033,660000,198000,0,5
124,553,26,0,0,0,0,0,129,1650,99,825000,65,91000033,708000,212400,0,5
125,553,27,0,0,0,0,0,129,1730,99,865000,67,91000033,756000,226800,0,5
126,553,28,0,0,0,0,0,129,1820,99,910000,69,91000033,804000,241200,0,5
127,553,29,0,0,0,0,0,129,1910,99,955000,71,91000033,852000,255600,0,5
128,553,30,0,0,0,0,0,129,2000,99,1000000,73,91000033,0,0,0,5
129,361,0,0,0,0,0,0,108,0,99,0,0,91000033,100,60,0,3
130,361,1,0,0,0,0,0,108,100,99,50000,0,91000033,500,600,0,3
