id,stage,need_point,item_id1,num1,hero_show,jineng_show,title_show
1,1,200,11500601,1,5006,font_zhousi_01,font_zhousi_02
2,1,400,30200107,1,5006,font_zhousi_01,font_zhousi_02
3,1,800,11500601,1,5006,font_zhousi_01,font_zhousi_02
4,1,1200,30200108,1,5006,font_zhousi_01,font_zhousi_02
5,1,1600,30020047,1,5006,font_zhousi_01,font_zhousi_02
6,1,2000,30200109,1,5006,font_zhousi_01,font_zhousi_02
7,2,200,42010003,10,2001,0,font_zhousi_03
8,2,400,40000003,30,2001,0,font_zhousi_03
9,2,800,40000003,60,2001,0,font_zhousi_03
10,2,1200,40000004,20,2001,0,font_zhousi_03
11,2,1600,40000004,40,2001,0,font_zhousi_03
12,2,2000,30200107,1,2001,0,font_zhousi_03
13,3,200,30020049,1,5004,0,font_zhousi_04
14,3,400,30020050,1,5004,0,font_zhousi_04
15,3,800,30020051,1,5004,0,font_zhousi_04
16,3,1000,30020052,1,5004,0,font_zhousi_04
17,3,1200,30020043,1,5004,0,font_zhousi_04
18,3,1400,30020043,2,5004,0,font_zhousi_04
