id,shop,grid1,grid2,grid3,grid4,level_limit1,level_shield1,discount1,chance1,level_limit2,level_shield2,discount2,chance2,level_limit3,level_shield3,discount3,chance3,level_limit4,level_shield4,discount4,chance4
1,1,1,0,0,0,0,110511,100,1,110511,0,90,1,0,0,0,0,0,0,0,0
2,1,2,3,4,0,0,110404,90,1,110404,111021,80,1,111021,0,60,1,0,0,0,0
3,1,7,8,0,0,0,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,11,12,0,0,0,111740,100,1,111740,0,80,1,0,0,0,0,0,0,0,0
5,4,11,12,0,0,0,110640,90,1,110640,111021,80,1,111021,0,60,1,0,0,0,0
6,6,1,0,0,0,0,112160,90,1,112160,0,80,1,0,0,0,0,0,0,0,0
7,6,2,3,0,0,0,111840,90,1,111840,0,80,1,0,0,0,0,0,0,0,0
8,6,4,0,0,0,0,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0
9,7,1,0,0,0,0,110404,90,1,110404,111021,80,1,111021,0,60,1,0,0,0,0
10,7,2,0,0,0,0,110404,90,1,110404,111021,80,1,111021,0,60,1,0,0,0,0
11,7,3,0,0,0,0,110404,90,1,110404,111021,80,1,111021,0,60,1,0,0,0,0
12,7,4,0,0,0,0,0,60,2,0,0,70,4,0,0,80,4,0,0,0,0
13,8,1,0,0,0,0,110404,90,1,110404,111021,80,1,111021,0,60,1,0,0,0,0
14,8,2,0,0,0,0,0,80,1,0,0,90,1,0,0,0,0,0,0,0,0
15,8,3,0,0,0,0,110404,90,1,110404,111021,80,1,111021,0,60,1,0,0,0,0
16,8,4,0,0,0,0,0,80,3,0,0,70,1,0,0,0,0,0,0,0,0
17,9,1,0,0,0,0,112160,80,1,112160,0,70,1,0,0,0,0,0,0,0,0
18,9,2,0,0,0,0,111840,80,1,111840,0,70,1,0,0,0,0,0,0,0,0
19,9,3,0,0,0,0,0,50,1,0,0,60,2,0,0,0,0,0,0,0,0
20,9,4,0,0,0,0,0,60,1,0,0,70,2,0,0,0,0,0,0,0,0
