id,name,target,scope,target_number,effect,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,type12,type13
1,LV1邪魔·亡-第1段攻击伤害,1,1,1,1,1,160,1,3,73,201,2,1,0,0,0,0,0
2,LV1邪魔·亡-第1段攻击伤害附加,1,1,1,1,1,146,201,2,0,0,0,0,0,0,0,0,0
3,LV1邪魔·亡-生命判断,1,1,1,6,202,30,1,2,0,0,0,0,0,0,0,0,0
4,LV1邪魔·亡-第2段效果伤害,1,1,1,1,1,30,2,2,0,0,0,0,400,1,1,1,0
11,怒击-第1段伤害,1,1,1,1,1,150,1,3,0,0,0,0,0,0,0,0,0
12,怒击-第2段伤害,1,1,1,1,1,170,1,3,0,0,0,0,0,0,0,0,0
13,怒击-判断BUFF,3,1,1,3,100,3,0,5,0,0,0,0,0,0,0,0,0
14,怒击-第3段伤害-未结束,1,1,1,1,1,190,1,3,0,0,0,0,0,0,0,0,0
15,怒击-第3段伤害-结束,1,1,1,1,1,190,1,3,0,0,0,0,0,0,0,0,2
16,怒击-判断BUFF,3,1,1,3,100,3,0,5,0,0,0,0,0,0,0,0,0
17,怒击-第4段伤害-未结束,1,1,1,1,1,210,1,3,0,0,0,0,0,0,0,0,0
18,怒击-第4段伤害-结束,1,1,1,1,1,210,1,3,0,0,0,0,0,0,0,0,2
19,怒击-清除BUFF,3,1,1,8,100,3,0,0,0,0,0,0,0,0,0,0,0
20,怒击-第5段伤害-结束,1,1,1,1,1,230,1,3,0,0,0,0,0,0,0,0,2
21,怒击-清除BUFF,3,1,1,8,100,10,0,0,0,0,0,0,0,0,0,0,0
51,驱散全部负面效果,0,0,0,15,2,99,0,0,0,0,0,0,0,0,0,0,0
52,驱散全部增益效果,0,0,0,15,1,99,0,0,0,0,0,0,0,0,0,0,0
53,驱散自身全部负面效果,3,1,1,15,2,99,0,0,0,0,0,0,0,0,0,0,0
54,驱散一个队友的全部负面效果,2,1,1,15,2,99,0,0,0,0,0,0,0,0,0,0,0
61,无法复活2回合,0,0,0,2,10201,2,1,0,0,0,0,0,0,0,0,0,0
62,回复自身生命上限2%,3,1,1,11,200,2,1,1,0,0,0,0,0,0,0,0,0
