id,min_num,max_num,cost_item,cost_num
1,0,10,91000002,60
2,11,20,91000002,80
3,21,30,91000002,100
4,31,40,91000002,120
5,41,50,91000002,140
6,51,60,91000002,160
7,61,70,91000002,180
8,71,80,91000002,200
9,81,90,91000002,220
10,91,100,91000002,240
11,101,110,91000002,260
12,111,120,91000002,280
13,121,130,91000002,300
14,131,140,91000002,320
15,141,150,91000002,340
16,151,160,91000002,360
17,161,170,91000002,380
18,171,180,91000002,400
19,181,190,91000002,420
20,191,200,91000002,440
21,201,210,91000002,460
22,211,220,91000002,480
23,221,230,91000002,500
24,231,240,91000002,520
25,241,250,91000002,540
26,251,260,91000002,560
27,261,270,91000002,580
28,271,99999,91000002,600
