id,type,limit,item1,num1,item2,num2,item3,num3,item4,num4,limit_time,sale,tasktypes,n1,n2,n3,n4,name,rebate_show,hero_show,value_show,describe
1,1,999,91000002,4900,43000002,120,72000004,5,91000022,1000,7200,98,73,1,225,0,0,太学院礼包,200%,2011,88888,剩余时间结束后，礼包将永久消失。
2,1,999,91000002,4900,43000002,120,72000004,5,91000022,1000,7200,98,73,1,225,0,0,勋章礼包,200%,2011,88888,剩余时间结束后，礼包将永久消失。
3,1,999,91000002,4900,43000002,120,72000004,5,91000022,1000,7200,98,73,1,225,0,0,助战礼包,200%,2011,88888,剩余时间结束后，礼包将永久消失。
4,1,999,91000002,4900,43000002,120,72000004,5,91000022,1000,7200,98,73,1,225,0,0,宝石礼包,200%,2011,88888,剩余时间结束后，礼包将永久消失。
5,1,999,91000002,4900,43000002,120,72000004,5,91000022,1000,7200,98,73,1,225,0,0,宝石礼包,200%,2011,88888,剩余时间结束后，礼包将永久消失。
6,1,999,91000002,4900,43000002,120,72000004,5,91000022,1000,7200,98,73,1,225,0,0,兵法礼包,200%,2011,88888,剩余时间结束后，礼包将永久消失。
7,1,999,91000002,4900,43000002,120,72000004,5,91000022,1000,7200,98,73,1,225,0,0,华容道礼包,200%,2011,88888,剩余时间结束后，礼包将永久消失。
8,1,999,91000002,4900,43000002,120,72000004,5,91000022,1000,7200,98,73,1,225,0,0,专属神兵礼包,200%,2011,88888,剩余时间结束后，礼包将永久消失。
9,1,999,91000002,4900,43000002,120,72000004,5,91000022,1000,7200,98,73,1,225,0,0,附魔礼包,200%,2011,88888,剩余时间结束后，礼包将永久消失。
10,1,999,91000002,4900,43000002,120,72000004,5,91000022,1000,7200,98,73,1,225,0,0,神器礼包,200%,2011,88888,剩余时间结束后，礼包将永久消失。
11,1,999,91000002,4900,43000002,120,72000004,5,91000022,1000,7200,98,73,1,225,0,0,宠物礼包,200%,2011,88888,剩余时间结束后，礼包将永久消失。
12,1,999,91000002,4900,43000002,120,72000004,5,91000022,1000,7200,98,73,1,225,0,0,八阵图礼包,200%,2011,88888,剩余时间结束后，礼包将永久消失。
13,1,999,91000002,4900,43000002,120,72000004,5,91000022,1000,7200,98,73,1,225,0,0,30级礼包,200%,2011,88888,剩余时间结束后，礼包将永久消失。
14,1,999,91000002,4900,43000002,120,72000004,5,91000022,1000,7200,98,73,1,225,0,0,40级礼包,200%,2011,88888,剩余时间结束后，礼包将永久消失。
15,1,999,91000002,4900,43000002,120,72000004,5,91000022,1000,7200,98,73,1,225,0,0,50级礼包,200%,2011,88888,剩余时间结束后，礼包将永久消失。
