dec,str
STR_ITEM_ERROR,道具表错误
STR_CAMP_1,圣堂
STR_CAMP_2,帝国
STR_CAMP_3,联邦
STR_CAMP_HOUSE,兵营
STR_SOUTH_MISSION,南关隘
STR_ARMY_WEAPON,军械库
STR_EAST_MISSION,东关隘
STR_ERROR,错误
STR_WOOD_HOUSE,伐木场
STR_FIGHT_CAMP_RECORD,守方胜利：|%s%s|固守|%s%s|！
STR_FIGHT_ATTACK_WIN,攻方胜利：|%s%s|攻克|%s%s|！
STR_FIGHT_DEFENCE_FAIL,守城失败：%s丢失了|%s%s|！
STR_FIGHT_ATTACK_WIN2,攻方胜利：|%s%s|攻克|%s%s|！
STR_FIGHT_FRIEND_ARMY,的援军
STR_FIGHT_CHAT_TAKEN,【|%s%s|】成功占领了【|%s%s|】！
STR_FIGHT_MAIL_AWARD,您在【%s】攻防战中表现杰出，获得个人排行第%d名奖励。
STR_FIGHT_MAIL_TITLE,个人排行榜奖励
STR_GM,督军帕奇
STR_FIGHT_UNION_AWARD,您的军团在【%s】攻防战中表现卓越，获得军团排名第%d名奖励。
STR_FIGHT_UNION_RANK,军团排行榜奖励
STR_FIGHT_FAIL,%s战失败
STR_FIGHT_HAPPY_NOTICE,胜败乃兵家常事，请再接再厉！
STR_FIGHT_START,%s决战开启！
STR_HELPFUN_NEAR,近战
STR_HELPFUN_FAR,远程
STR_ACT_RANK_MAIL,第%d名：%s-%d
STR_ACT_RANK_TITLE,%s奖励
STR_ACT_RANK_CONTENT,恭喜%s榜达成第%d名，获得以下奖励玩家：%s
STR_SYS,系统管理员
STR_TOP_NULL,无
STR_CITY_CAMP_LOSE,势力灭亡
STR_GVG_FIGHT_TITLE1,压制城池时被击败
STR_GVG_FIGHT_TITLE2,驻扎部队撤退
STR_GVG_FIGHT_TITLE3,驻扎城池产出
STR_GVG_FIGHT_TITLE4,强制撤离
STR_GVG_FIGHT_TITLE5,驻扎部队撤离
STR_GVG_FIGHT_TITLE6,压制部队战败
STR_GVG_FIGHT_CONTENT1,您驻扎在【%s】的部队被【%s】击败，撤退时顺便带回了驻扎奖励。
STR_GVG_FIGHT_CONTENT2,【%s】所属因国战而变化，您的部队在混乱中撤离并带回的驻扎奖励。
STR_GVG_FIGHT_CONTENT3,您的部队从【%s】更换到【%s】，顺路带回了驻扎奖励。
STR_GVG_FIGHT_CONTENT4,您的部队从【%s】强制撤离，并带回了驻扎奖励。
STR_GVG_FIGHT_CONTENT5,【%s】人满为患，您的驻扎部队被赶离【%s】，并带回了驻扎奖励。
STR_GVG_FIGHT_CONTENT6,您的部队从【%s】强制撤离，并带回了驻扎奖励。
STR_GVG_FIGHT_ASSIST,您的部队正在压制%s的%s，请前往%s手动撤离压制部队，再执行驻扎行为
STR_GVG_FIGHT_QUIT,已经驻扎在%s，是否要放弃并驻扎到%s
STR_GVG_FIGHT_PRESS,您的部队正在压制%s的%s，无法再压制其他城池，请前往%s手动撤离压制部队
STR_GVG_FIGHT_Exist,您的部队正在压制%s的%s，是否离开%s并压制%s
STR_FANG,副官方将军
STR_GVG_FIGHT_LUCK,【%s】机遇
STR_GVG_FIGHT_MAIL_CONTENT,【%s】在【%s】机遇中获得最佳手气【%s】*【%d】。您在本次机遇中获得奖励排第%d。
STR_CONSUME_KILL,成功击杀
STR_CONSUME_MAIL_CONTENT,你帮助击杀了神【%s】，获得了奖励！
STR_CONSUME_CHAT_KILL,|%s%s|在诸神黄昏活动中，击杀了|%s%s(%d级)|！
