id,type,order,scale,item1,num1,item2,num2,item3,num3
1,1,1,100,30000003,1,0,0,0,0
2,1,2,100,30020003,1,0,0,0,0
3,1,3,100,30010003,1,0,0,0,0
4,1,4,100,91000052,1,0,0,0,0
5,1,5,100,30000003,1,0,0,0,0
6,1,6,100,30020003,1,0,0,0,0
7,1,7,100,30010003,1,0,0,0,0
8,1,8,100,91000052,1,0,0,0,0
9,1,9,100,30000003,1,0,0,0,0
10,1,10,100,30020003,1,0,0,0,0
11,1,11,100,30010003,1,0,0,0,0
12,1,12,100,91000052,1,0,0,0,0
13,1,13,100,30000003,1,0,0,0,0
14,1,14,100,30020003,1,0,0,0,0
15,1,15,100,30010003,1,0,0,0,0
16,1,16,100,91000052,1,0,0,0,0
17,1,17,100,30000003,1,0,0,0,0
18,1,18,100,30020003,1,0,0,0,0
19,1,19,100,30010003,1,0,0,0,0
20,1,20,100,91000052,1,0,0,0,0
21,2,1,100,40000003,20,0,0,0,0
22,2,2,100,40000003,30,0,0,0,0
23,2,3,100,40000003,20,40000004,30,0,0
24,2,4,100,91000052,1,0,0,0,0
25,2,5,100,40000003,20,0,0,0,0
26,2,6,100,40000003,30,0,0,0,0
27,2,7,100,40000003,20,30020008,20,0,0
28,2,8,100,91000052,1,0,0,0,0
