id,lable,lable_name,type,class,sub_type,show_type,openlevel_id,title,describe_type1,describe_state1,describe_type2,describe_state2,describe_type3,describe_state3,describe_state_end,percentage,item1,item2,item3,quality1,quality2,quality3,icon
1,2,个人玩法,1000,0,0,1,70,神奇炼金,1,免费次数：%d,1,购买次数：%d,0,0,0,1,金币,0,0,4,0,0,elogo11100101.png
2,2,0,1010,0,0,1,71,诸神祝福,1,免费次数：%d,1,购买次数：%d,0,0,0,0,体力,0,0,4,0,0,elogo11100201.png
3,2,0,1020,0,0,1,24,地下城挑战,2,%s次数:%d,0,0,0,0,0,0,装备,0,0,6,0,0,elogo11100301.png
4,2,0,1030,0,0,1,21,斗技场,1,免费次数：%d,1,购买次数：%d,0,0,0,1,斗技币,0,0,4,0,0,elogo11100501.png
5,2,0,1040,0,0,1,16,魔龙洞窟,1,扫荡次数：%d,0,0,0,0,0,1,宝石,0,0,5,0,0,elogo11100601.png
6,2,0,1050,0,0,1,34,王座之战,4,尚无军团,1,免费次数：%d,1,购买次数：%d,0,2,金币,0,0,4,0,0,elogo11100701.png
7,2,0,1060,0,0,1,42,每日试炼,1,挑战次数：%d,0,0,0,0,0,1,英雄勋章,贤者水晶,金币,4,4,4,elogo11100801.png
8,2,0,1070,0,0,1,69,赏金任务,3,91000002,0,0,0,0,0,0,装备,0,0,6,0,0,elogo11100901.png
9,2,0,1080,0,0,1,34,军团副本,4,尚无军团,1,挑战次数：%d,0,0,0,2,贡献币,0,0,4,0,0,elogo11101001.png
10,2,0,1090,0,0,1,26,圣物传说,4,可挑战,0,0,0,0,0,0,圣物,圣物部件,,5,5,0,elogo11101101.png
11,2,0,1100,0,0,1,27,时空秘境,1,重置次数：%d,0,0,0,0,0,1,远征币,0,0,4,0,0,elogo11200101.png
12,2,0,1110,0,0,1,22,镇魂塔,1,重置次数：%d,1,购买次数：%d,0,0,0,1,镇魂币,0,0,4,0,0,elogo11200201.png
13,2,0,1111,0,0,1,22,镇魂塔精英,1,免费次数：%d,1,购买次数：%d,0,0,0,1,镇魂币,0,0,4,0,0,elogo11200301.png
14,2,0,1120,0,0,1,58,佣兵挑战,1,免费次数：%d,1,全力一击：%d,0,0,0,1,佣兵,军旗,0,5,4,0,elogo11200401.png
15,3,召唤玩法,2010,0,0,1,0,基础召唤,1,免费召唤：%d,3,81400601,0,0,0,1,英雄,英雄碎片,0,6,3,0,elogo11200601.png
16,3,0,2011,0,0,1,0,高级召唤,1,免费召唤：%d,3,81400602,3,91000002,0,1,英雄,英雄碎片,0,6,3,0,elogo11200701.png
17,3,0,2000,0,0,1,65,神殿祈祷,1,免费祈祷：%d,3,91000002,0,0,0,1,纹章晶石,0,0,5,0,0,elogo11200501.png
18,3,0,2020,0,0,1,26,圣物搜索,1,免费搜索：%d,3,91000002,0,0,0,1,圣物,圣物部件,圣水,5,5,3,elogo11200801.png
19,3,0,2021,0,0,1,45,普通水晶,1,普通次数：%d,0,0,0,0,0,1,普通水晶,0,0,3,0,0,elogo11200901.png
20,3,0,2030,0,0,1,45,高级水晶,3,15100105,1,购买次数：%d,0,0,0,0,高级水晶,0,0,4,0,0,elogo11201001.png
21,3,0,2040,0,0,1,83,普通探索,1,免费召唤：%d,3,81400701,0,0,0,1,神圣之血,低级神砾,0,4,4,0,elogo11200301.png
22,3,0,2050,0,0,1,83,高级探索,3,81400702,0,0,0,0,0,0,神圣之血,高级神砾,0,4,6,0,elogo11200401.png
23,4,商店刷新,3010,0,0,1,38,勋章商店,3,79000008,1,刷新次数：%d,0,0,0,0,升星材料,英雄碎片,英雄,3,3,6,elogo11201101.png
24,4,0,3020,0,0,1,34,军团商店,3,79000008,1,刷新次数：%d,0,0,0,0,英雄碎片,升星材料,0,3,3,0,elogo11300101.png
25,4,0,3030,0,0,1,21,斗技商店,3,79000008,1,刷新次数：%d,0,0,0,0,英雄碎片,佣兵,军旗,3,5,4,elogo11300201.png
26,4,0,3040,0,0,1,27,秘境商店,3,79000008,1,刷新次数：%d,0,0,0,0,英雄碎片,纹章晶石,宝石,3,5,5,elogo11300301.png
27,1,限时玩法,4010,1,1,2,58,佣兵组队,4,刷新时间 10:00,1,剩余挑战次数:%d,0,0,刷新时间 10:00,0,佣兵,军旗,0,5,4,0,elogo11300401.png
28,1,0,4020,1,1,2,24,地下城组队,4,刷新时间 12:00,2,%s次数:%d,4,全服疯狂组队中。。。,刷新时间 12:00,0,装备,0,0,6,0,0,elogo11300501.png
29,1,0,4030,1,27,2,0,领取午餐,4,领取时间 12:00,4,领取时间 12:00-14:00,0,0,领取时间 12:00,0,体力,0,0,4,0,0,elogo11300601.png
30,1,0,4010,2,2,2,58,佣兵组队,4,刷新时间 16:00,1,剩余挑战次数:%d,0,0,刷新时间 16:00,0,佣兵,军旗,0,5,4,0,elogo11300701.png
31,1,0,4020,2,2,2,24,地下城组队,4,刷新时间 18:00,2,%s次数:%d,4,全服疯狂组队中。。。,刷新时间 18:00,0,装备,0,0,6,0,0,elogo11300801.png
32,1,0,4030,2,28,2,0,领取晚餐,4,领取时间 18:00,4,领取时间 18:00-20:00,0,0,领取时间 18:00,0,体力,0,0,4,0,0,elogo11300901.png
33,1,0,4070,0,2,2,53,矿点争夺,4,开战时间 20:00,4,活动时间 20:00-21:00,0,0,开战时间 20:00,0,纹章晶石,星魂,金币,5,3,4,elogo11301001.png
34,1,0,4080,0,1,2,77,开疆扩土,4,开战时间 20:00,4,激烈战斗中。。。,0,0,开战时间 20:00,0,高级佣兵,高级军旗,金币,6,6,4,elogo11301101.png
35,1,0,4090,0,4,2,56,孤山夺宝,4,开战时间 20:00,4,激烈战斗中。。。,0,0,开战时间 20:00,0,圣物部件,圣水,金币,5,3,4,elogo11301201.png
36,1,0,4100,0,3,2,78,军团领地,4,开战时间 20:00,4,激烈战斗中。。。,0,0,开战时间 20:00,0,宝石,英雄勋章,金币,5,4,4,elogo11400101.png
37,1,0,4020,3,3,2,24,地下城组队,4,刷新时间 21:00,2,%s次数:%d,4,全服疯狂组队中。。。,刷新时间 21:00,0,装备,0,0,6,0,0,elogo11300901.png
38,1,0,4030,3,29,2,0,领取宵夜,4,领取时间 21:00,4,领取时间 21:00-24:00,0,0,领取时间 21:00,0,体力,0,0,4,0,0,elogo11400201.png
