id,group,type,rank1,rank2,costitem1,costnum1,costitem2,costnum2,costitem3,costnum3,costitem4,costnum4,costitem5,costnum5,getitem1,getnum1,getitem2,getnum2,des
1,1,1,1,1,40000001,1,0,0,0,0,0,0,0,0,0,0,0,0,竞技场挑战消耗
2,1,2,1,1,40000002,1,0,0,0,0,0,0,0,0,0,0,0,0,高阶竞技场挑战消耗
3,1,3,1,1,91000002,12000,0,0,0,0,0,0,0,0,40000001,1,0,0,竞技场购买消耗
4,1,4,1,1,91000002,36000,0,0,0,0,0,0,0,0,40000002,5,0,0,高阶竞技场购买消耗
5,1,4,2,2,91000002,54000,0,0,0,0,0,0,0,0,40000002,5,0,0,高阶竞技场购买消耗
6,1,4,3,3,91000002,72000,0,0,0,0,0,0,0,0,40000002,5,0,0,高阶竞技场购买消耗
7,1,4,4,4,91000002,90000,0,0,0,0,0,0,0,0,40000002,5,0,0,高阶竞技场购买消耗
8,1,4,5,5,91000002,108000,0,0,0,0,0,0,0,0,40000002,5,0,0,高阶竞技场购买消耗
9,1,4,6,6,91000002,126000,0,0,0,0,0,0,0,0,40000002,5,0,0,高阶竞技场购买消耗
10,1,4,7,7,91000002,144000,0,0,0,0,0,0,0,0,40000002,5,0,0,高阶竞技场购买消耗
11,1,4,8,8,91000002,162000,0,0,0,0,0,0,0,0,40000002,5,0,0,高阶竞技场购买消耗
12,1,4,9,9,91000002,180000,0,0,0,0,0,0,0,0,40000002,5,0,0,高阶竞技场购买消耗
13,1,4,10,10,91000002,198000,0,0,0,0,0,0,0,0,40000002,5,0,0,高阶竞技场购买消耗
14,1,4,11,99999,91000002,216000,0,0,0,0,0,0,0,0,40000002,5,0,0,高阶竞技场购买消耗
15,1,5,1,1,91000002,6000,0,0,0,0,0,0,0,0,0,0,0,0,悬赏刷新消耗
16,2,6,1,1,91000002,60000,0,0,0,0,0,0,0,0,0,0,0,0,大圣堂回退消耗
17,1,7,1,1,91000002,0,0,0,0,0,0,0,0,0,0,0,0,0,快速挂机消耗
18,1,7,2,2,91000002,6000,0,0,0,0,0,0,0,0,0,0,0,0,快速挂机消耗
19,1,7,3,3,91000002,9600,0,0,0,0,0,0,0,0,0,0,0,0,快速挂机消耗
20,1,7,4,4,91000002,12000,0,0,0,0,0,0,0,0,0,0,0,0,快速挂机消耗
21,1,7,5,5,91000002,12000,0,0,0,0,0,0,0,0,0,0,0,0,快速挂机消耗
22,1,7,6,6,91000002,24000,0,0,0,0,0,0,0,0,0,0,0,0,快速挂机消耗
23,1,7,7,7,91000002,36000,0,0,0,0,0,0,0,0,0,0,0,0,快速挂机消耗
24,1,7,8,8,91000002,48000,0,0,0,0,0,0,0,0,0,0,0,0,快速挂机消耗
25,1,7,9,9,91000002,60000,0,0,0,0,0,0,0,0,0,0,0,0,快速挂机消耗
26,1,7,10,10,91000002,72000,0,0,0,0,0,0,0,0,0,0,0,0,快速挂机消耗
27,1,7,11,11,91000002,96000,0,0,0,0,0,0,0,0,0,0,0,0,快速挂机消耗
28,1,7,12,12,91000002,120000,0,0,0,0,0,0,0,0,0,0,0,0,快速挂机消耗
29,1,8,1,2,91000002,12000,0,0,0,0,0,0,0,0,0,0,0,0,商铺刷新价格
30,1,8,3,4,91000002,24000,0,0,0,0,0,0,0,0,0,0,0,0,商铺刷新价格
31,1,8,5,6,91000002,48000,0,0,0,0,0,0,0,0,0,0,0,0,商铺刷新价格
32,1,8,7,8,91000002,72000,0,0,0,0,0,0,0,0,0,0,0,0,商铺刷新价格
33,1,8,9,10,91000002,96000,0,0,0,0,0,0,0,0,0,0,0,0,商铺刷新价格
34,1,8,11,99999,91000002,120000,0,0,0,0,0,0,0,0,0,0,0,0,商铺刷新价格
35,1,9,1,2,91000002,12000,0,0,0,0,0,0,0,0,0,0,0,0,公会商店刷新价格
36,1,9,3,4,91000002,24000,0,0,0,0,0,0,0,0,0,0,0,0,公会商店刷新价格
37,1,9,5,6,91000002,48000,0,0,0,0,0,0,0,0,0,0,0,0,公会商店刷新价格
38,1,9,7,8,91000002,72000,0,0,0,0,0,0,0,0,0,0,0,0,公会商店刷新价格
39,1,9,9,10,91000002,96000,0,0,0,0,0,0,0,0,0,0,0,0,公会商店刷新价格
40,1,9,11,99999,91000002,120000,0,0,0,0,0,0,0,0,0,0,0,0,公会商店刷新价格
41,1,10,1,99999,91000002,120000,0,0,0,0,0,0,0,0,0,0,0,0,遣散商店刷新价格
