id,beastid,beastname,name,fighting,beastskill,txt,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,levelid,prepose,chapter,xaxis,yaxis
1,5001,font_shijierenwu_yxwd_07,驷马战车,100000,500104,对前方目标造成[7]150%物理伤害[0]，并有20%几率击晕目标，持续2秒,91000002,91000001,20000102,20000103,20000104,20000105,20000106,79000008,81400601,30101000,110406,110405,4,41,21
2,5002,font_shijierenwu_yxwd_08,井阑,180000,500204,对前方两个目标造成[8]160%战法伤害[0]，并有20%几率让目标中毒，每秒造成[7]本次伤害20%的中毒伤害[0]，持续8秒,91000002,91000001,11400801,60000212,60000213,79000008,81400601,60000211,30101000,60000221,110806,110805,8,42,16
3,5003,font_shijierenwu_yxwd_09,吕公车,350000,500304,发射一道冰息和一道火息对前方2个单位造成[8]170%战法伤害[0]，并有20%几率灼烧目标，每秒造成[7]本次伤害20%的灼烧伤害[0]，持续8秒,91000002,91000001,20001001,20001002,20001006,60000222,79000008,81400601,60000211,30101000,111106,111105,11,35,19
4,5004,font_shijierenwu_yxwd_10,冲车,500000,500404,对前方的三个目标，造成[8]200%战法伤害[0]，同时有15%几率对目标造成[6]30%额外伤害,91000002,91000001,43000003,20001003,20001004,60000224,79000008,81400601,60000211,30101000,111306,111305,13,30,17
5,5005,font_shijierenwu_yxwd_11,弩车,700000,500504,攻击4个单位，造成[7]250%物理伤害[0]，并有20%几率对目标造成[6]50%额外伤害[0]，有5%几率击退目标,91000002,91000001,81400701,81400702,42000001,31000101,31000102,31000103,79000008,81400601,111506,111508,15,24,24
6,5006,font_shijierenwu_yxwd_13,刀车,1000000,500604,攻击敌方所有单位，造成[7]200%战法伤害[0]，并有20%几率对目标造成[6]50%额外伤害[0]，有10%几率冰冻目标3秒,91000002,91000001,60000215,43000003,60000200,80000011,79000008,81400601,60000211,30101000,111806,111805,18,37,16
7,5007,font_shijierenwu_yxwd_12,霹雳车,1300000,500704,对地面上所有的敌方目标喷出[8]300%战法伤害[0]的灼热的气息，气息有5%几率造成两次伤害，第2次伤害是第1次的一半,91000002,91000001,15100105,15100101,91000030,30101000,79000008,81400601,60000211,30101000,112106,112105,21,39,16
8,5001,font_shijierenwu_yxwd_07,驷马战车,1600000,500104,对前方目标造成[7]150%物理伤害[0]，并有20%几率击晕目标，持续2秒,91000002,91000001,60000231,81400701,41000004,41000003,79000008,81400601,60000211,30101000,112406,112408,24,41,23
9,5002,font_shijierenwu_yxwd_08,井阑,2000000,500204,对前方两个目标造成[8]160%战法伤害[0]，并有20%几率让目标中毒，每秒造成[7]本次伤害20%的中毒伤害[0]，持续8秒,91000002,91000001,60000215,43000003,60000200,79000008,81400601,30101000,60000221,60000223,112806,112808,28,44,18
10,5003,font_shijierenwu_yxwd_09,吕公车,2500000,500304,喷射一道冰息和一道火息对前方2个单位造成[8]170%战法伤害[0]，并有20%几率灼烧目标，每秒造成[7]本次伤害20%的灼烧伤害[0]，持续8秒,91000002,91000001,15100105,15100101,15100104,79000008,81400601,30101000,60000221,60000223,113206,113205,32,38,18
