taskid,system,group,preposegroup,condition,position,txt,tasktypes,n1,n2,n3,n4,item1,num1,item2,num2,item3,num3,item4,num4,prepose,itemlv1,numlv1,itemlv2,numlv2,itemlv3,numlv3,itemlv4,numlv4,itemlv5,numlv5
100101,1,1001,0,0,1,通关冒险关卡第1章,43,1,0,0,0,91000022,60,91000002,300,0,0,0,0,0,91000002,30000,0,0,0,0,0,0,0,0
100102,1,1001,0,0,2,通关冒险关卡1-3,42,3,0,0,0,91000002,3000,0,0,0,0,0,0,0,91000002,3000,0,0,0,0,0,0,0,0
100103,1,1001,0,0,2,通关冒险关卡1-5,42,5,0,0,0,91000002,3000,0,0,0,0,0,0,0,91000002,3000,0,0,0,0,0,0,0,0
100104,1,1001,0,0,2,通关冒险关卡1-7,42,7,0,0,0,91000002,3000,0,0,0,0,0,0,0,91000002,3000,0,0,0,0,0,0,0,0
100105,1,1001,0,0,2,通关冒险关卡1-9,42,9,0,0,0,91000002,3000,0,0,0,0,0,0,0,91000002,3000,0,0,0,0,0,0,0,0
100106,1,1001,0,0,2,通关冒险关卡1-12,42,12,0,0,0,91000002,6000,0,0,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100201,1,1002,1001,0,1,通关冒险关卡第2章,43,2,0,0,0,91000022,6000,42010001,2,11201102,1,0,0,0,91000002,35000,0,0,0,0,0,0,0,0
100202,1,1002,1001,0,2,通关冒险关卡2-4,42,16,0,0,0,91000002,6000,60210010,1,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100203,1,1002,1001,0,2,通关冒险关卡2-8,42,20,0,0,0,91000002,6000,60430010,1,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100204,1,1002,1001,0,2,通关冒险关卡2-12,42,24,0,0,0,42010001,2,60620010,1,0,0,0,0,0,91000002,12000,0,0,0,0,0,0,0,0
100205,1,1002,1001,0,2,通关冒险关卡2-16,42,28,0,0,0,91000002,6000,60110010,1,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100206,1,1002,1001,0,2,通关冒险关卡2-20,42,32,0,0,0,91000002,6000,60620010,1,60540010,1,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100207,1,1002,1001,0,2,通关冒险关卡2-24,42,36,0,0,0,91000002,6000,60420010,1,60310010,1,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100208,1,1002,1001,0,2,通关冒险关卡2-28,42,40,0,0,0,42010001,2,60530010,1,60630010,1,0,0,0,91000002,18000,0,0,0,0,0,0,0,0
100301,1,1003,1002,0,1,通关冒险关卡第3章,43,3,0,0,0,91000022,60,42010001,3,11401202,1,0,0,0,91000002,40000,0,0,0,0,0,0,0,0
100302,1,1003,1002,0,2,通关冒险关卡3-4,42,44,0,0,0,91000002,6000,60540010,1,60430010,1,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100303,1,1003,1002,0,2,通关冒险关卡3-8,42,48,0,0,0,91000002,6000,60440010,1,60630010,1,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100304,1,1003,1002,0,2,通关冒险关卡3-12,42,52,0,0,0,91000002,6000,60310020,1,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100305,1,1003,1002,0,2,通关冒险关卡3-16,42,56,0,0,0,91000002,6000,0,0,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100306,1,1003,1002,0,2,通关冒险关卡3-20,42,60,0,0,0,42010001,2,0,0,0,0,0,0,0,91000002,12000,0,0,0,0,0,0,0,0
100307,1,1003,1002,0,2,通关冒险关卡3-24,42,64,0,0,0,91000002,6000,60620020,1,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100308,1,1003,1002,0,2,通关冒险关卡3-28,42,68,0,0,0,91000002,6000,0,0,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100309,1,1003,1002,0,2,通关冒险关卡3-32,42,72,0,0,0,91000002,6000,0,0,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100310,1,1003,1002,0,2,通关冒险关卡3-36,42,76,0,0,0,42010001,2,60430020,1,0,0,0,0,0,91000002,18000,0,0,0,0,0,0,0,0
100401,1,1004,1003,0,1,通关冒险关卡第4章,43,4,0,0,0,91000022,60,42010001,4,11301102,1,0,0,0,91000002,45000,0,0,0,0,0,0,0,0
100402,1,1004,1003,0,2,通关冒险关卡4-4,42,80,0,0,0,91000002,6000,0,0,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100403,1,1004,1003,0,2,通关冒险关卡4-8,42,84,0,0,0,91000002,6000,0,0,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100404,1,1004,1003,0,2,通关冒险关卡4-12,42,88,0,0,0,91000002,6000,60210020,1,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100405,1,1004,1003,0,2,通关冒险关卡4-16,42,92,0,0,0,91000002,6000,0,0,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100406,1,1004,1003,0,2,通关冒险关卡4-20,42,96,0,0,0,42010001,2,0,0,0,0,0,0,0,91000002,12000,0,0,0,0,0,0,0,0
100407,1,1004,1003,0,2,通关冒险关卡4-24,42,100,0,0,0,91000002,6000,60530020,1,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100408,1,1004,1003,0,2,通关冒险关卡4-28,42,104,0,0,0,91000002,6000,0,0,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100409,1,1004,1003,0,2,通关冒险关卡4-32,42,108,0,0,0,91000002,6000,0,0,0,0,0,0,0,91000002,6000,0,0,0,0,0,0,0,0
100410,1,1004,1003,0,2,通关冒险关卡4-36,42,112,0,0,0,42010001,2,60640020,1,0,0,0,0,0,91000002,18000,0,0,0,0,0,0,0,0
100501,1,1005,1004,0,1,通关冒险关卡第5章,43,5,0,0,0,91000022,80,42010001,5,11101302,1,0,0,0,91000002,50000,0,0,0,0,0,0,0,0
100502,1,1005,1004,0,2,通关冒险关卡5-4,42,116,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100503,1,1005,1004,0,2,通关冒险关卡5-8,42,120,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100504,1,1005,1004,0,2,通关冒险关卡5-12,42,124,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100505,1,1005,1004,0,2,通关冒险关卡5-16,42,128,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100506,1,1005,1004,0,2,通关冒险关卡5-20,42,132,0,0,0,42010001,2,60310030,1,0,0,0,0,0,91000002,18000,0,0,0,0,0,0,0,0
100507,1,1005,1004,0,2,通关冒险关卡5-24,42,136,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100508,1,1005,1004,0,2,通关冒险关卡5-28,42,140,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100509,1,1005,1004,0,2,通关冒险关卡5-32,42,144,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100510,1,1005,1004,0,2,通关冒险关卡5-36,42,148,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100511,1,1005,1004,0,2,通关冒险关卡5-40,42,152,0,0,0,42010001,2,60110030,1,0,0,0,0,0,91000002,18000,0,0,0,0,0,0,0,0
100601,1,1006,1005,0,1,通关冒险关卡第6章,43,6,0,0,0,91000022,80,42010001,6,11200201,1,0,0,0,91000002,55000,0,0,0,0,0,0,0,0
100602,1,1006,1005,0,2,通关冒险关卡6-4,42,156,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100603,1,1006,1005,0,2,通关冒险关卡6-8,42,160,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100604,1,1006,1005,0,2,通关冒险关卡6-12,42,164,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100605,1,1006,1005,0,2,通关冒险关卡6-16,42,168,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100606,1,1006,1005,0,2,通关冒险关卡6-20,42,172,0,0,0,42010001,2,60620030,1,0,0,0,0,0,91000002,18000,0,0,0,0,0,0,0,0
100607,1,1006,1005,0,2,通关冒险关卡6-24,42,176,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100608,1,1006,1005,0,2,通关冒险关卡6-28,42,180,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100609,1,1006,1005,0,2,通关冒险关卡6-32,42,184,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100610,1,1006,1005,0,2,通关冒险关卡6-36,42,188,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100611,1,1006,1005,0,2,通关冒险关卡6-40,42,192,0,0,0,42010001,2,60420030,1,0,0,0,0,0,91000002,18000,0,0,0,0,0,0,0,0
100701,1,1007,1006,0,1,通关冒险关卡第7章,43,7,0,0,0,91000022,80,42010001,8,11400101,1,0,0,0,91000002,60000,0,0,0,0,0,0,0,0
100702,1,1007,1006,0,2,通关冒险关卡7-4,42,196,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100703,1,1007,1006,0,2,通关冒险关卡7-8,42,200,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100704,1,1007,1006,0,2,通关冒险关卡7-12,42,204,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100705,1,1007,1006,0,2,通关冒险关卡7-16,42,208,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100706,1,1007,1006,0,2,通关冒险关卡7-20,42,212,0,0,0,42010001,2,60210040,1,0,0,0,0,0,91000002,18000,0,0,0,0,0,0,0,0
100707,1,1007,1006,0,2,通关冒险关卡7-24,42,216,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100708,1,1007,1006,0,2,通关冒险关卡7-28,42,220,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100709,1,1007,1006,0,2,通关冒险关卡7-32,42,224,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100710,1,1007,1006,0,2,通关冒险关卡7-36,42,228,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100711,1,1007,1006,0,2,通关冒险关卡7-40,42,232,0,0,0,42010001,2,60620040,1,0,0,0,0,0,91000002,18000,0,0,0,0,0,0,0,0
100801,1,1008,1007,0,1,通关冒险关卡第8章,43,8,0,0,0,91000022,80,42010001,10,11300101,1,0,0,0,91000002,65000,0,0,0,0,0,0,0,0
100802,1,1008,1007,0,2,通关冒险关卡8-4,42,236,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100803,1,1008,1007,0,2,通关冒险关卡8-8,42,240,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100804,1,1008,1007,0,2,通关冒险关卡8-12,42,244,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100805,1,1008,1007,0,2,通关冒险关卡8-16,42,248,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100806,1,1008,1007,0,2,通关冒险关卡8-20,42,252,0,0,0,42010001,3,60530040,1,0,0,0,0,0,91000002,24000,0,0,0,0,0,0,0,0
100807,1,1008,1007,0,2,通关冒险关卡8-24,42,256,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100808,1,1008,1007,0,2,通关冒险关卡8-28,42,260,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100809,1,1008,1007,0,2,通关冒险关卡8-32,42,264,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100810,1,1008,1007,0,2,通关冒险关卡8-36,42,268,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100811,1,1008,1007,0,2,通关冒险关卡8-40,42,272,0,0,0,42010001,3,60520040,1,0,0,0,0,0,91000002,24000,0,0,0,0,0,0,0,0
100901,1,1009,1008,0,1,通关冒险关卡第9章,43,9,0,0,0,91000022,80,42010001,10,11100201,1,0,0,0,91000002,70000,0,0,0,0,0,0,0,0
100902,1,1009,1008,0,2,通关冒险关卡9-4,42,276,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100903,1,1009,1008,0,2,通关冒险关卡9-8,42,280,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100904,1,1009,1008,0,2,通关冒险关卡9-12,42,284,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100905,1,1009,1008,0,2,通关冒险关卡9-16,42,288,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100906,1,1009,1008,0,2,通关冒险关卡9-20,42,292,0,0,0,42010001,3,60310040,1,0,0,0,0,0,91000002,24000,0,0,0,0,0,0,0,0
100907,1,1009,1008,0,2,通关冒险关卡9-24,42,296,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100908,1,1009,1008,0,2,通关冒险关卡9-28,42,300,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100909,1,1009,1008,0,2,通关冒险关卡9-32,42,304,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100910,1,1009,1008,0,2,通关冒险关卡9-36,42,308,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
100911,1,1009,1008,0,2,通关冒险关卡9-40,42,312,0,0,0,42010001,3,60640040,1,0,0,0,0,0,91000002,24000,0,0,0,0,0,0,0,0
101001,1,1010,1009,0,1,通关冒险关卡第10章,43,10,0,0,0,91000022,100,42010002,10,11200101,1,0,0,0,91000002,75000,0,0,0,0,0,0,0,0
101002,1,1010,1009,0,2,通关冒险关卡10-4,42,316,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
101003,1,1010,1009,0,2,通关冒险关卡10-8,42,320,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
101004,1,1010,1009,0,2,通关冒险关卡10-12,42,324,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
101005,1,1010,1009,0,2,通关冒险关卡10-16,42,328,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
101006,1,1010,1009,0,2,通关冒险关卡10-20,42,332,0,0,0,42010001,3,60210050,1,0,0,0,0,0,91000002,24000,0,0,0,0,0,0,0,0
101007,1,1010,1009,0,2,通关冒险关卡10-24,42,336,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
101008,1,1010,1009,0,2,通关冒险关卡10-28,42,340,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
101009,1,1010,1009,0,2,通关冒险关卡10-32,42,344,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
101010,1,1010,1009,0,2,通关冒险关卡10-36,42,348,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
101011,1,1010,1009,0,2,通关冒险关卡10-40,42,352,0,0,0,42010001,3,60620050,1,0,0,0,0,0,91000002,24000,0,0,0,0,0,0,0,0
101101,1,1011,1010,0,1,通关冒险关卡第11章,43,11,0,0,0,91000022,100,42010002,10,11400201,1,0,0,0,91000002,80000,0,0,0,0,0,0,0,0
101102,1,1011,1010,0,2,通关冒险关卡11-4,42,356,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
101103,1,1011,1010,0,2,通关冒险关卡11-8,42,360,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
101104,1,1011,1010,0,2,通关冒险关卡11-12,42,364,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
101105,1,1011,1010,0,2,通关冒险关卡11-16,42,368,0,0,0,91000002,9000,0,0,0,0,0,0,0,91000002,9000,0,0,0,0,0,0,0,0
