teamlv,teamexplv,teamtotolexp,getphysical,getlimit,physicallimit,Recommendedstrength,powerlimit,item1,num1,item2,num2
1,400,400,0,1,100,930,150,91000002,10,0,0
2,460,860,0,1,100,1000,150,91000002,10,0,0
3,560,1420,0,1,100,3900,150,91000002,10,0,0
4,700,2120,0,1,100,5400,150,91000002,10,0,0
5,880,3000,0,1,100,5400,150,91000002,10,0,0
6,1100,4100,0,1,100,5800,150,91000002,10,0,0
7,1360,5460,0,1,100,9500,150,91000002,10,0,0
8,1660,7120,0,1,100,9500,150,91000002,10,0,0
9,2000,9120,0,1,100,10000,150,91000002,10,0,0
10,2380,11500,0,1,100,13400,150,91000002,10,0,0
11,2800,14300,0,1,100,14200,150,91000002,10,0,0
12,3260,17560,0,1,100,18500,150,91000002,10,0,0
13,3760,21320,0,1,100,27000,150,91000002,10,0,0
14,4300,25620,0,1,100,29600,150,91000002,10,0,0
15,4880,30500,0,1,100,37000,150,91000002,10,0,0
16,5500,36000,0,1,100,40000,150,91000002,10,0,0
17,6160,42160,0,1,100,44800,150,91000002,10,0,0
18,6860,49020,0,1,100,45300,150,91000002,10,0,0
19,7600,56620,0,1,100,46000,150,91000002,10,0,0
20,8380,65000,0,1,100,55000,150,91000002,10,0,0
21,9200,74200,0,1,100,57000,150,91000002,10,0,0
22,10060,84260,0,1,100,67000,150,91000002,10,0,0
23,10960,95220,0,1,100,67500,150,91000002,10,0,0
24,11900,107120,0,1,100,68100,150,91000002,10,0,0
25,12880,120000,0,1,100,72000,150,91000002,10,0,0
26,13900,133900,0,1,100,85000,150,91000002,10,0,0
27,14960,148860,0,1,100,100000,150,91000002,10,0,0
28,16060,164920,0,1,100,120000,150,91000002,10,0,0
29,17200,182120,0,1,100,130000,150,91000002,10,0,0
30,18380,200500,0,1,100,150000,150,91000002,10,0,0
31,19600,220100,0,1,100,160000,150,91000002,10,0,0
32,20860,240960,0,1,100,170000,150,91000002,10,0,0
33,22160,263120,0,1,100,180000,150,91000002,10,0,0
34,23500,286620,0,1,100,190000,150,91000002,10,0,0
35,24880,311500,0,1,100,200000,150,91000002,10,0,0
36,26300,337800,0,1,100,210000,150,91000002,10,0,0
37,27760,365560,0,1,100,220000,150,91000002,10,0,0
38,29260,394820,0,1,100,230000,150,91000002,10,0,0
39,30800,425620,0,1,100,240000,150,91000002,10,0,0
40,32380,458000,0,1,100,250000,150,91000002,10,0,0
41,34000,492000,0,1,100,260000,150,91000002,10,0,0
42,35660,527660,0,1,100,270000,150,91000002,10,0,0
43,37360,565020,0,1,100,280000,150,91000002,10,0,0
44,39100,604120,0,1,100,290000,150,91000002,10,0,0
45,40880,645000,0,1,100,300000,150,91000002,10,0,0
46,42700,687700,0,1,100,320000,150,91000002,10,0,0
47,44560,732260,0,1,100,340000,150,91000002,10,0,0
48,46460,778720,0,1,100,360000,150,91000002,10,0,0
49,48400,827120,0,1,100,380000,150,91000002,10,0,0
50,50380,877500,0,1,100,400000,150,91000002,10,0,0
51,52400,929900,0,1,100,420000,150,91000002,10,0,0
52,54460,984360,0,1,100,440000,150,91000002,10,0,0
53,56560,1040920,0,1,100,460000,150,91000002,10,0,0
54,58700,1099620,0,1,100,480000,150,91000002,10,0,0
55,60880,1160500,0,1,100,550000,150,91000002,10,0,0
56,63100,1223600,0,1,100,570000,150,91000002,10,0,0
57,65360,1288960,0,1,100,590000,150,91000002,10,0,0
58,67660,1356620,0,1,100,610000,150,91000002,10,0,0
59,70000,1426620,0,1,100,630000,150,91000002,10,0,0
60,72380,1499000,0,1,100,650000,150,91000002,10,0,0
61,74800,1573800,0,1,100,670000,150,91000002,10,0,0
62,77260,1651060,0,1,100,690000,150,91000002,10,0,0
63,79760,1730820,0,1,100,710000,150,91000002,10,0,0
64,82300,1813120,0,1,100,730000,150,91000002,10,0,0
65,84880,1898000,0,1,100,800000,150,91000002,10,0,0
66,87500,1985500,0,1,100,830000,150,91000002,10,0,0
67,90160,2075660,0,1,100,860000,150,91000002,10,0,0
68,92860,2168520,0,1,100,890000,150,91000002,10,0,0
69,95600,2264120,0,1,100,920000,150,91000002,10,0,0
70,98380,2362500,0,1,100,1000000,150,91000002,10,0,0
71,101200,2463700,0,1,100,1100000,150,91000002,10,0,0
72,104060,2567760,0,1,100,1200000,150,91000002,10,0,0
73,106960,2674720,0,1,100,1300000,150,91000002,10,0,0
74,109900,2784620,0,1,100,1400000,150,91000002,10,0,0
75,112880,2897500,0,1,100,1500000,150,91000002,10,0,0
76,115900,3013400,0,1,100,1600000,150,91000002,10,0,0
77,118960,3132360,0,1,100,1650000,150,91000002,10,0,0
78,122060,3254420,0,1,100,1700000,150,91000002,10,0,0
79,125200,3379620,0,1,100,1750000,150,91000002,10,0,0
80,128380,3508000,0,1,100,1800000,150,91000002,10,0,0
81,131600,3639600,0,1,100,1850000,150,91000002,10,0,0
82,134860,3774460,0,1,100,1900000,150,91000002,10,0,0
83,138160,3912620,0,1,100,1950000,150,91000002,10,0,0
84,141500,4054120,0,1,100,2000000,150,91000002,10,0,0
85,144880,4199000,0,1,100,2050000,150,91000002,10,0,0
86,148300,4347300,0,1,100,2100000,150,91000002,10,0,0
87,151760,4499060,0,1,100,2150000,150,91000002,10,0,0
88,155260,4654320,0,1,100,2200000,150,91000002,10,0,0
89,158800,4813120,0,1,100,2250000,150,91000002,10,0,0
90,162380,4975500,0,1,100,2300000,150,91000002,10,0,0
91,166000,5141500,0,1,100,2300000,150,91000002,10,0,0
92,169660,5311160,0,1,100,2300000,150,91000002,10,0,0
93,173360,5484520,0,1,100,2300000,150,91000002,10,0,0
94,177100,5661620,0,1,100,2300000,150,91000002,10,0,0
95,180880,5842500,0,1,100,2300000,150,91000002,10,0,0
96,184700,6027200,0,1,100,2300000,150,91000002,10,0,0
97,188560,6215760,0,1,100,2300000,150,91000002,10,0,0
98,192460,6408220,0,1,100,2300000,150,91000002,10,0,0
99,196400,6604620,0,1,100,2300000,150,91000002,10,0,0
100,200380,6805000,0,1,100,2300000,150,91000002,10,0,0
101,204400,7009400,0,1,100,2300000,150,91000002,10,0,0
102,208460,7217860,0,1,100,2300000,150,91000002,10,0,0
103,212560,7430420,0,1,100,2300000,150,91000002,10,0,0
104,216700,7647120,0,1,100,2300000,150,91000002,10,0,0
105,220880,7868000,0,1,100,2300000,150,91000002,10,0,0
106,225100,8093100,0,1,100,2300000,150,91000002,10,0,0
107,229360,8322460,0,1,100,2300000,150,91000002,10,0,0
108,233660,8556120,0,1,100,2300000,150,91000002,10,0,0
109,238000,8794120,0,1,100,2300000,150,91000002,10,0,0
110,242380,9036500,0,1,100,2300000,150,91000002,10,0,0
111,246800,9283300,0,1,100,2300000,150,91000002,10,0,0
112,251260,9534560,0,1,100,2300000,150,91000002,10,0,0
113,255760,9790320,0,1,100,2300000,150,91000002,10,0,0
114,260300,10050620,0,1,100,2300000,150,91000002,10,0,0
115,264880,10315500,0,1,100,2300000,150,91000002,10,0,0
116,269500,10585000,0,1,100,2300000,150,91000002,10,0,0
117,274160,10859160,0,1,100,2300000,150,91000002,10,0,0
118,278860,11138020,0,1,100,2300000,150,91000002,10,0,0
119,283600,11421620,0,1,100,2300000,150,91000002,10,0,0
120,288380,11710000,0,1,100,2300000,150,91000002,10,0,0
121,293200,12003200,0,1,100,2300000,150,91000002,10,0,0
122,298060,12301260,0,1,100,2300000,150,91000002,10,0,0
123,302960,12604220,0,1,100,2300000,150,91000002,10,0,0
124,307900,12912120,0,1,100,2300000,150,91000002,10,0,0
125,312880,13225000,0,1,100,2300000,150,91000002,10,0,0
126,317900,13542900,0,1,100,2300000,150,91000002,10,0,0
127,322960,13865860,0,1,100,2300000,150,91000002,10,0,0
128,328060,14193920,0,1,100,2300000,150,91000002,10,0,0
129,333200,14527120,0,1,100,2300000,150,91000002,10,0,0
130,338380,14865500,0,1,100,2300000,150,91000002,10,0,0
131,343600,15209100,0,1,100,2300000,150,91000002,10,0,0
132,348860,15557960,0,1,100,2300000,150,91000002,10,0,0
133,354160,15912120,0,1,100,2300000,150,91000002,10,0,0
134,359500,16271620,0,1,100,2300000,150,91000002,10,0,0
135,364880,16636500,0,1,100,2300000,150,91000002,10,0,0
136,370300,17006800,0,1,100,2300000,150,91000002,10,0,0
137,375760,17382560,0,1,100,2300000,150,91000002,10,0,0
138,381260,17763820,0,1,100,2300000,150,91000002,10,0,0
139,386800,18150620,0,1,100,2300000,150,91000002,10,0,0
140,392380,18543000,0,1,100,2300000,150,91000002,10,0,0
141,398000,18941000,0,1,100,2300000,150,91000002,10,0,0
142,403660,19344660,0,1,100,2300000,150,91000002,10,0,0
143,409360,19754020,0,1,100,2300000,150,91000002,10,0,0
144,415100,20169120,0,1,100,2300000,150,91000002,10,0,0
145,420880,20590000,0,1,100,2300000,150,91000002,10,0,0
146,426700,21016700,0,1,100,2300000,150,91000002,10,0,0
147,432560,21449260,0,1,100,2300000,150,91000002,10,0,0
