id,lv_limits,stage,level,advanced_group,cost_item1,cost_num1,cost_item2,cost_num2,slot_type1,slot_value1,slot_type2,slot_value2,slot_type3,slot_value3,slot_type4,slot_value4,slot_type5,slot_value5,slot_type6,slot_value6,slot_type7,slot_value7,fight1,fight2,fight3,fight4,fight5,fight6,fight7
1,0,0,1,0,91000031,100,0,0,6,40,7,10,8,10,9,10,10,10,29,10,30,10,800,1000,1000,500,500,1000,1000
2,0,0,2,0,91000031,100,0,0,6,150,7,20,8,20,9,30,10,30,29,20,30,20,3000,2000,2000,1500,1500,2000,2000
3,0,0,3,0,91000031,200,0,0,6,320,7,40,8,40,9,70,10,70,29,40,30,40,6400,4000,4000,3500,3500,4000,4000
4,0,0,4,0,91000031,200,0,0,6,530,7,60,8,60,9,110,10,110,29,60,30,60,10600,6000,6000,5500,5500,6000,6000
5,0,0,5,0,91000031,300,0,0,6,780,7,80,8,80,9,160,10,160,29,80,30,80,15600,8000,8000,8000,8000,8000,8000
6,0,0,6,0,91000031,300,0,0,6,1050,7,110,8,110,9,220,10,220,29,110,30,110,21000,11000,11000,11000,11000,11000,11000
7,0,0,7,0,91000031,400,0,0,6,1340,7,140,8,140,9,270,10,270,29,140,30,140,26800,14000,14000,13500,13500,14000,14000
8,0,0,8,0,91000031,400,0,0,6,1660,7,170,8,170,9,340,10,340,29,170,30,170,33200,17000,17000,17000,17000,17000,17000
9,0,0,9,0,91000031,500,0,0,6,1990,7,200,8,200,9,400,10,400,29,200,30,200,39800,20000,20000,20000,20000,20000,20000
10,0,0,10,0,91000031,500,0,0,6,2340,7,240,8,240,9,470,10,470,29,240,30,240,46800,24000,24000,23500,23500,24000,24000
11,0,0,11,0,91000031,600,0,0,6,2710,7,280,8,280,9,550,10,550,29,280,30,280,54200,28000,28000,27500,27500,28000,28000
12,0,0,12,0,91000031,600,0,0,6,3090,7,310,8,310,9,620,10,620,29,310,30,310,61800,31000,31000,31000,31000,31000,31000
13,0,0,13,0,91000031,700,0,0,6,3480,7,350,8,350,9,700,10,700,29,350,30,350,69600,35000,35000,35000,35000,35000,35000
14,0,0,14,0,91000031,700,0,0,6,3890,7,390,8,390,9,780,10,780,29,390,30,390,77800,39000,39000,39000,39000,39000,39000
15,0,0,15,0,91000031,800,0,0,6,4310,7,440,8,440,9,870,10,870,29,440,30,440,86200,44000,44000,43500,43500,44000,44000
16,0,0,16,0,91000031,800,0,0,6,4740,7,480,8,480,9,950,10,950,29,480,30,480,94800,48000,48000,47500,47500,48000,48000
17,0,0,17,0,91000031,900,0,0,6,5190,7,520,8,520,9,1040,10,1040,29,520,30,520,103800,52000,52000,52000,52000,52000,52000
18,0,0,18,0,91000031,900,0,0,6,5640,7,570,8,570,9,1130,10,1130,29,570,30,570,112800,57000,57000,56500,56500,57000,57000
19,0,0,19,0,91000031,1000,0,0,6,6110,7,620,8,620,9,1230,10,1230,29,620,30,620,122200,62000,62000,61500,61500,62000,62000
20,0,0,20,0,91000031,1000,0,0,6,6590,7,660,8,660,9,1320,10,1320,29,660,30,660,131800,66000,66000,66000,66000,66000,66000
21,0,0,21,0,91000031,1100,0,0,6,7080,7,710,8,710,9,1420,10,1420,29,710,30,710,141600,71000,71000,71000,71000,71000,71000
22,0,0,22,0,91000031,1200,0,0,6,7570,7,760,8,760,9,1520,10,1520,29,760,30,760,151400,76000,76000,76000,76000,76000,76000
23,0,0,23,0,91000031,1300,0,0,6,8080,7,810,8,810,9,1620,10,1620,29,810,30,810,161600,81000,81000,81000,81000,81000,81000
24,0,0,24,0,91000031,1400,0,0,6,8600,7,860,8,860,9,1720,10,1720,29,860,30,860,172000,86000,86000,86000,86000,86000,86000
25,0,0,25,0,91000031,1500,0,0,6,9120,7,920,8,920,9,1830,10,1830,29,920,30,920,182400,92000,92000,91500,91500,92000,92000
26,0,0,26,0,91000031,1600,0,0,6,9660,7,970,8,970,9,1940,10,1940,29,970,30,970,193200,97000,97000,97000,97000,97000,97000
