id,group,points,award1,num1,award2,num2,award3,num3,award4,num4,describe
1,1,200,12500701,30,40000003,50,91000056,30,0,0,孙悟空积分奖励
2,1,1000,12500701,30,60210085,1,91000056,30,0,0,孙悟空积分奖励
3,1,2000,12500701,60,40000019,2,91000056,60,0,0,孙悟空积分奖励
4,1,4500,12500701,90,60420085,1,91000056,60,0,0,孙悟空积分奖励
5,1,6000,12500701,90,40000019,2,91000056,60,0,0,孙悟空积分奖励
6,1,9000,12500701,120,60430085,1,60440085,1,91000056,125,孙悟空积分奖励
7,1,12000,12500701,180,40000024,4,91000056,135,0,0,孙悟空积分奖励
8,10001,200,12500701,30,40000003,50,91000056,30,0,0,孙悟空积分奖励
9,10001,1000,12500701,30,60210085,1,91000056,30,0,0,孙悟空积分奖励
10,10001,2000,12500701,60,40000019,2,91000056,60,0,0,孙悟空积分奖励
11,10001,4500,12500701,90,60420085,1,91000056,60,0,0,孙悟空积分奖励
12,10001,6000,12500701,90,40000019,2,91000056,60,0,0,孙悟空积分奖励
13,10001,9000,12500701,120,60430085,1,60440085,1,91000056,125,孙悟空积分奖励
14,10001,12000,12500701,180,40000024,4,91000056,135,0,0,孙悟空积分奖励
15,10002,200,12600701,30,40000003,50,91000056,30,0,0,萨卡涅积分奖励
16,10002,1000,12600701,30,60310086,1,91000056,30,0,0,萨卡涅积分奖励
17,10002,2000,12600701,60,40000021,2,91000056,60,0,0,萨卡涅积分奖励
18,10002,4500,12600701,90,60520086,1,91000056,60,0,0,萨卡涅积分奖励
19,10002,6000,12600701,90,40000021,2,91000056,60,0,0,萨卡涅积分奖励
20,10002,9000,12600701,120,60530086,1,60540086,1,91000056,125,萨卡涅积分奖励
21,10002,12000,12600701,180,40000026,4,91000056,135,0,0,萨卡涅积分奖励
22,10003,200,12600301,30,40000003,50,91000056,30,0,0,丽尔敏积分奖励
23,10003,1000,12600301,30,60110086,1,91000056,30,0,0,丽尔敏积分奖励
24,10003,2000,12600301,60,40000020,2,91000056,60,0,0,丽尔敏积分奖励
25,10003,4500,12600301,90,60620086,1,91000056,60,0,0,丽尔敏积分奖励
26,10003,6000,12600301,90,40000020,2,91000056,60,0,0,丽尔敏积分奖励
27,10003,9000,12600301,120,60630086,1,60640086,1,91000056,125,丽尔敏积分奖励
28,10003,12000,12600301,180,40000025,4,91000056,135,0,0,丽尔敏积分奖励
29,10004,200,12600901,30,40000003,50,91000056,30,0,0,哈奴曼积分奖励
30,10004,1000,12600901,30,60210086,1,91000056,30,0,0,哈奴曼积分奖励
31,10004,2000,12600901,60,40000019,2,91000056,60,0,0,哈奴曼积分奖励
32,10004,4500,12600901,90,60420086,1,91000056,60,0,0,哈奴曼积分奖励
33,10004,6000,12600901,90,40000019,2,91000056,60,0,0,哈奴曼积分奖励
34,10004,9000,12600901,120,60430086,1,60440086,1,91000056,125,哈奴曼积分奖励
35,10004,12000,12600901,180,40000024,4,91000056,135,0,0,哈奴曼积分奖励
36,10005,200,12500501,30,40000003,50,91000056,30,0,0,湿婆积分奖励
37,10005,1000,12500501,30,60310085,1,91000056,30,0,0,湿婆积分奖励
38,10005,2000,12500501,60,40000021,2,91000056,60,0,0,湿婆积分奖励
39,10005,4500,12500501,90,60520085,1,91000056,60,0,0,湿婆积分奖励
40,10005,6000,12500501,90,40000021,2,91000056,60,0,0,湿婆积分奖励
41,10005,9000,12500501,120,60530085,1,60540085,1,91000056,125,湿婆积分奖励
42,10005,12000,12500501,180,40000026,4,91000056,135,0,0,湿婆积分奖励
43,10006,200,12500401,30,40000003,50,91000056,30,0,0,米迦勒积分奖励
44,10006,1000,12500401,30,60110085,1,91000056,30,0,0,米迦勒积分奖励
45,10006,2000,12500401,60,40000020,2,91000056,60,0,0,米迦勒积分奖励
46,10006,4500,12500401,90,60630085,1,91000056,60,0,0,米迦勒积分奖励
47,10006,6000,12500401,90,40000020,2,91000056,60,0,0,米迦勒积分奖励
48,10006,9000,12500401,120,60620085,1,60640085,1,91000056,125,米迦勒积分奖励
49,10006,12000,12500401,180,40000025,4,91000056,135,0,0,米迦勒积分奖励
