id,system,timetype,time1,time2,time3,time4,time5,continue,cd,des
1,4,3,1577826000,0,0,0,0,1209600,0,竞技场周期
2,5,3,1578430800,0,0,0,0,1209600,0,高阶竞技场周期
3,30,2,1,5,7,0,0,0,0,塔1周期
4,31,2,2,5,7,0,0,0,0,塔2周期
5,32,2,3,6,7,0,0,0,0,塔3周期
6,33,2,4,6,7,0,0,0,0,塔4周期
7,35,1,1,0,0,0,0,86400,0,商铺刷新周期
8,36,1,1,0,0,0,0,86400,0,公会商店刷新周期
9,37,1,1,0,0,0,0,604800,0,遣散商店刷新周期
10,38,1,1,0,0,0,0,604800,0,地牢商店刷新周期
11,39,1,1,0,0,0,0,86400,0,高阶竞技场商店刷新周期
12,13,3,1577826000,0,0,0,0,86400,259200,1阵营召唤
13,14,3,1577912400,0,0,0,0,86400,259200,2阵营召唤
14,15,3,1577998800,0,0,0,0,86400,259200,3阵营召唤
15,16,3,1578085200,0,0,0,0,86400,259200,4阵营召唤
16,6,3,1578517200,0,0,0,0,1209600,0,巅峰竞技场周期
17,51,4,1577826000,0,0,0,0,0,0,占星起始时间判断
18,21,3,1577826000,0,0,0,0,172800,691200,扭曲梦境1
19,22,3,1577998800,0,0,0,0,172800,691200,扭曲梦境2
20,23,3,1578171600,0,0,0,0,172800,691200,扭曲梦境3
21,24,3,1578344400,0,0,0,0,172800,691200,扭曲梦境4
22,25,3,1578517200,0,0,0,0,172800,691200,扭曲梦境5
23,26,3,1546290000,0,0,0,0,172800,0,地牢刷新时间
