id,lv,monsterid
1,1,9301001
2,2,9301002
3,3,9301003
4,4,9301004
5,5,9301005
6,6,9301006
7,7,9301007
8,8,9301008
9,9,9301009
10,10,9301010
11,11,9301011
12,12,9301012
13,13,9301013
14,14,9301014
15,15,9301015
16,16,9301016
17,17,9301017
18,18,9301018
19,19,9301019
20,20,9301020
21,21,9301021
22,22,9301022
23,23,9301023
24,24,9301024
25,25,9301025
26,26,9301026
27,27,9301027
28,28,9301028
29,29,9301029
30,30,9301030
31,31,9301031
32,32,9301032
33,33,9301033
34,34,9301034
35,35,9301035
36,36,9301036
37,37,9301037
38,38,9301038
39,39,9301039
40,40,9301040
41,41,9301041
42,42,9301042
43,43,9301043
44,44,9301044
45,45,9301045
46,46,9301046
47,47,9301047
48,48,9301048
49,49,9301049
50,50,9301050
51,51,9301051
52,52,9301052
53,53,9301053
54,54,9301054
55,55,9301055
56,56,9301056
57,57,9301057
58,58,9301058
59,59,9301059
60,60,9301060
61,61,9301061
62,62,9301062
63,63,9301063
64,64,9301064
65,65,9301065
66,66,9301066
67,67,9301067
68,68,9301068
69,69,9301069
70,70,9301070
71,71,9301071
72,72,9301072
73,73,9301073
74,74,9301074
75,75,9301075
76,76,9301076
77,77,9301077
78,78,9301078
79,79,9301079
80,80,9301080
81,81,9301081
82,82,9301082
83,83,9301083
84,84,9301084
85,85,9301085
86,86,9301086
87,87,9301087
88,88,9301088
89,89,9301089
90,90,9301090
91,91,9301091
92,92,9301092
93,93,9301093
94,94,9301094
95,95,9301095
96,96,9301096
97,97,9301097
98,98,9301098
99,99,9301099
100,100,9301100
101,101,9301101
102,102,9301102
103,103,9301103
104,104,9301104
105,105,9301105
106,106,9301106
107,107,9301107
108,108,9301108
109,109,9301109
110,110,9301110
111,111,9301111
112,112,9301112
113,113,9301113
114,114,9301114
115,115,9301115
116,116,9301116
117,117,9301117
118,118,9301118
119,119,9301119
120,120,9301120
121,121,9301121
122,122,9301122
123,123,9301123
124,124,9301124
125,125,9301125
126,126,9301126
127,127,9301127
128,128,9301128
129,129,9301129
130,130,9301130
131,131,9301131
132,132,9301132
133,133,9301133
134,134,9301134
135,135,9301135
136,136,9301136
137,137,9301137
138,138,9301138
139,139,9301139
140,140,9301140
141,141,9301141
142,142,9301142
143,143,9301143
144,144,9301144
145,145,9301145
146,146,9301146
147,147,9301147
148,148,9301148
149,149,9301149
150,150,9301150
151,151,9301151
152,152,9301152
153,153,9301153
154,154,9301154
155,155,9301155
156,156,9301156
157,157,9301157
158,158,9301158
159,159,9301159
160,160,9301160
161,161,9301161
162,162,9301162
163,163,9301163
164,164,9301164
165,165,9301165
166,166,9301166
167,167,9301167
168,168,9301168
169,169,9301169
170,170,9301170
171,171,9301171
172,172,9301172
173,173,9301173
174,174,9301174
175,175,9301175
176,176,9301176
177,177,9301177
178,178,9301178
179,179,9301179
180,180,9301180
181,181,9301181
182,182,9301182
183,183,9301183
184,184,9301184
185,185,9301185
186,186,9301186
187,187,9301187
188,188,9301188
189,189,9301189
190,190,9301190
191,191,9301191
192,192,9301192
193,193,9301193
194,194,9301194
195,195,9301195
196,196,9301196
197,197,9301197
198,198,9301198
199,199,9301199
200,200,9301200
201,201,9301201
202,202,9301202
203,203,9301203
204,204,9301204
205,205,9301205
206,206,9301206
207,207,9301207
208,208,9301208
209,209,9301209
210,210,9301210
211,211,9301211
212,212,9301212
213,213,9301213
214,214,9301214
215,215,9301215
216,216,9301216
217,217,9301217
218,218,9301218
219,219,9301219
220,220,9301220
221,221,9301221
222,222,9301222
223,223,9301223
224,224,9301224
225,225,9301225
226,226,9301226
227,227,9301227
228,228,9301228
229,229,9301229
230,230,9301230
231,231,9301231
232,232,9301232
233,233,9301233
234,234,9301234
235,235,9301235
236,236,9301236
237,237,9301237
238,238,9301238
239,239,9301239
240,240,9301240
241,241,9301241
242,242,9301242
243,243,9301243
244,244,9301244
245,245,9301245
246,246,9301246
247,247,9301247
248,248,9301248
249,249,9301249
250,250,9301250
251,251,9301251
252,252,9301252
253,253,9301253
254,254,9301254
255,255,9301255
256,256,9301256
257,257,9301257
258,258,9301258
259,259,9301259
260,260,9301260
261,261,9301261
262,262,9301262
263,263,9301263
264,264,9301264
265,265,9301265
266,266,9301266
267,267,9301267
268,268,9301268
269,269,9301269
270,270,9301270
271,271,9301271
272,272,9301272
273,273,9301273
274,274,9301274
275,275,9301275
276,276,9301276
277,277,9301277
278,278,9301278
279,279,9301279
280,280,9301280
281,281,9301281
282,282,9301282
283,283,9301283
284,284,9301284
285,285,9301285
286,286,9301286
287,287,9301287
288,288,9301288
289,289,9301289
290,290,9301290
291,291,9301291
292,292,9301292
293,293,9301293
294,294,9301294
295,295,9301295
296,296,9301296
297,297,9301297
298,298,9301298
299,299,9301299
300,300,9301300
301,301,9301301
302,302,9301302
303,303,9301303
304,304,9301304
305,305,9301305
306,306,9301306
307,307,9301307
308,308,9301308
309,309,9301309
310,310,9301310
311,311,9301311
312,312,9301312
313,313,9301313
314,314,9301314
315,315,9301315
316,316,9301316
317,317,9301317
318,318,9301318
319,319,9301319
320,320,9301320
321,321,9301321
322,322,9301322
323,323,9301323
324,324,9301324
325,325,9301325
326,326,9301326
327,327,9301327
328,328,9301328
329,329,9301329
330,330,9301330
331,331,9301331
332,332,9301332
333,333,9301333
334,334,9301334
335,335,9301335
336,336,9301336
337,337,9301337
338,338,9301338
339,339,9301339
340,340,9301340
341,341,9301341
342,342,9301342
343,343,9301343
344,344,9301344
345,345,9301345
346,346,9301346
347,347,9301347
348,348,9301348
349,349,9301349
350,350,9301350
351,351,9301351
352,352,9301352
353,353,9301353
354,354,9301354
355,355,9301355
356,356,9301356
357,357,9301357
358,358,9301358
359,359,9301359
360,360,9301360
361,361,9301361
362,362,9301362
363,363,9301363
