hero_id,class,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,suit_group,awaken_group
1001,3,106,107,108,109,16,10,1,1
1002,3,106,107,108,109,16,10,1,1
1003,3,106,107,108,109,16,10,1,1
1004,3,106,107,108,109,16,10,1,1
1005,3,106,107,108,109,16,10,1,1
1006,3,106,107,108,109,16,10,1,1
1007,3,106,107,108,109,16,10,1,1
1008,3,106,107,108,109,16,10,1,1
1009,3,106,107,108,109,16,10,1,1
1010,3,106,107,108,109,16,10,1,1
2001,3,106,107,108,109,16,10,2,2
2002,3,106,107,108,109,16,10,2,2
2003,3,106,107,108,109,16,10,2,2
2004,3,106,107,108,109,16,10,2,2
2005,3,106,107,108,109,16,10,2,2
2006,3,106,107,108,109,16,10,2,2
2007,3,106,107,108,109,16,10,2,2
2008,3,106,107,108,109,16,10,2,2
2009,3,106,107,108,109,16,10,2,2
2010,3,106,107,108,109,16,10,2,2
2011,3,106,107,108,109,16,10,2,2
3001,3,106,107,108,109,16,10,3,3
3002,3,106,107,108,109,16,10,3,3
3003,3,106,107,108,109,16,10,3,3
3004,3,106,107,108,109,16,10,3,3
3005,3,106,107,108,109,16,10,3,3
3006,3,106,107,108,109,16,10,3,3
3007,3,106,107,108,109,16,10,3,3
3008,3,106,107,108,109,16,10,3,3
3009,3,106,107,108,109,16,10,3,3
3010,3,106,107,108,109,16,10,3,3
3011,3,106,107,108,109,16,10,3,3
3012,3,106,107,108,109,16,10,3,3
3013,3,106,107,108,109,16,10,3,3
4001,3,106,107,108,109,16,10,3,3
4002,3,106,107,108,109,16,10,3,3
4003,3,106,107,108,109,16,10,3,3
4004,3,106,107,108,109,16,10,3,3
4005,3,106,107,108,109,16,10,3,3
4006,3,106,107,108,109,16,10,3,3
4007,3,106,107,108,109,16,10,3,3
4008,3,106,107,108,109,16,10,3,3
4009,3,106,107,108,109,16,10,3,3
4010,3,106,107,108,109,16,10,3,3
4011,3,106,107,108,109,16,10,3,3
