id,shoptype,sort,type,time,item,num,cost,costnum,level_limit,recommend,discount,tips,hot_label
1001,6,1,1,0,10101003,1,91000018,1000,0,1,0,0,1
1002,6,2,1,0,10102003,1,91000018,1000,0,2,0,0,0
1003,6,3,1,0,10103003,1,91000018,1000,0,3,0,0,0
1004,6,4,1,0,10104003,1,91000018,1000,0,4,5,0,1
1005,6,5,1,0,10105003,1,91000018,1000,0,1,1,0,1
1006,6,6,1,0,30101000,1,91000018,200,0,1,1,0,0
1007,6,7,1,0,80500101,1,91000018,2000,0,0,0,0,1
1008,6,8,1,0,80500201,1,91000018,2000,0,0,0,0,0
1009,6,9,1,0,80500301,1,91000018,2000,0,0,0,0,1
1010,6,10,2,1,80500401,1,91000018,2000,0,0,0,0,0
1011,6,11,3,1,80500501,1,91000018,2000,0,1,1,0,1
1012,6,12,2,1,80500601,1,91000018,2000,0,1,1,0,0
1013,6,13,2,1,80500701,1,91000018,2000,0,0,0,0,0
1014,6,14,2,1,80500801,1,91000018,2000,0,0,0,0,0
1015,6,15,3,10,42100904,1,91000018,5000,0,0,0,0,0
1016,6,16,3,10,42200904,1,91000018,5000,0,0,0,0,1
1017,6,17,3,5,42300604,1,91000018,5000,0,1,1,0,0
1018,6,18,2,1,42301204,1,91000018,5000,0,1,1,0,1
1019,10,1,2,20,31000101,1,91000035,20,0,0,0,0,0
1020,10,2,2,10,31000102,1,91000035,50,320003,0,0,通关镇魂精英5解锁,0
1021,10,3,2,5,31000103,1,91000035,100,320006,0,0,通关镇魂精英8解锁,0
1022,10,4,1,0,12200301,10,91000035,2000,0,0,0,0,1
1023,10,5,1,0,12300901,10,91000035,800,0,0,0,0,1
1024,10,6,1,0,12200301,30,91000002,1500,0,0,0,0,1
1025,10,7,1,0,12300901,30,91000002,600,0,0,0,0,1
1026,10,8,1,0,60000200,1,91000035,800,0,0,0,0,1
1027,10,9,1,0,60000214,1,91000035,540,0,0,0,0,0
1028,10,10,1,0,31000101,1,91000035,40,0,0,0,0,0
1029,10,11,1,0,31000102,1,91000035,100,320003,0,0,通关镇魂精英5解锁,0
1030,10,12,1,0,31000103,1,91000035,200,320006,0,0,通关镇魂精英8解锁,0
1031,10,13,1,0,31000104,1,91000035,400,320012,0,0,通关镇魂精英12解锁,0
1032,10,14,1,0,31000105,1,91000035,600,320018,0,0,通关镇魂精英18解锁,1
1033,10,15,1,0,31000106,1,91000035,800,320024,0,0,通关镇魂精英24解锁,1
