id,type,txt,level,item_id,item_num,open_skill1,open_skill2,open_skill3,value1,num1,increase1,value2,num2,increase2,value3,num3,increase3,value4,num4,increase4,value5,num5,increase5,value6,num6,increase6,value7,num7,increase7,value8,num8,increase8,value9,num9,increase9
41000000,41,坦克-不朽毅力,0,91000056,50,0,0,0,1,0,608,2,0,38,3,0,8,501,0,0,502,0,0,503,0,0,19,0,0,0,0,0,0,0,2000
41000001,41,坦克-不朽毅力,1,91000056,60,0,0,0,1,608,0,2,38,0,3,8,0,501,0,90,502,0,70,503,0,100,19,0,100,0,0,0,99,2000,2000
41000002,41,坦克-不朽毅力,2,91000056,70,0,0,0,1,608,912,2,38,56,3,8,12,501,90,0,502,70,0,503,100,0,19,100,0,0,0,0,99,4000,2000
41000003,41,坦克-不朽毅力,3,91000056,80,0,0,0,1,1520,0,2,94,0,3,20,0,501,90,90,502,70,60,503,100,90,19,100,0,0,0,0,99,6000,2000
41000004,41,坦克-不朽毅力,4,91000056,100,0,0,0,1,1520,0,2,94,0,3,20,0,501,180,0,502,130,0,503,190,0,19,100,0,0,0,0,99,8000,2000
41000005,41,坦克-不朽毅力,5,91000056,120,94004101,0,0,1,1520,1216,2,94,76,3,20,17,501,180,0,502,130,0,503,190,0,19,100,0,0,0,0,99,10000,2000
41000006,41,坦克-不朽毅力,6,91000056,140,94004101,0,0,1,2736,0,2,170,0,3,37,0,501,180,90,502,130,70,503,190,100,19,100,0,0,0,0,99,12000,2000
41000007,41,坦克-不朽毅力,7,91000056,160,94004101,0,0,1,2736,1520,2,170,94,3,37,20,501,270,0,502,200,0,503,290,0,19,100,0,0,0,0,99,14000,2000
41000008,41,坦克-不朽毅力,8,91000056,180,94004101,0,0,1,4256,0,2,264,0,3,57,0,501,270,90,502,200,60,503,290,90,19,100,0,0,0,0,99,16000,2000
41000009,41,坦克-不朽毅力,9,91000056,200,94004101,0,0,1,4256,0,2,264,0,3,57,0,501,360,0,502,260,0,503,380,0,19,100,0,0,0,0,99,18000,2000
41000010,41,坦克-不朽毅力,10,91000056,220,94004102,0,0,1,4256,1824,2,264,113,3,57,25,501,360,0,502,260,0,503,380,0,19,100,0,0,0,0,99,20000,2000
41000011,41,坦克-不朽毅力,11,91000056,240,94004102,0,0,1,6080,0,2,377,0,3,82,0,501,360,90,502,260,70,503,380,100,19,100,100,0,0,0,99,22000,2000
41000012,41,坦克-不朽毅力,12,91000056,260,94004102,0,0,1,6080,2128,2,377,132,3,82,28,501,450,0,502,330,0,503,480,0,19,200,0,0,0,0,99,24000,2000
41000013,41,坦克-不朽毅力,13,91000056,280,94004102,0,0,1,8208,0,2,509,0,3,110,0,501,450,90,502,330,60,503,480,90,19,200,0,0,0,0,99,26000,2000
41000014,41,坦克-不朽毅力,14,91000056,300,94004102,0,0,1,8208,0,2,509,0,3,110,0,501,540,0,502,390,0,503,570,0,19,200,0,0,0,0,99,28000,2000
41000015,41,坦克-不朽毅力,15,91000056,330,94004102,94004201,0,1,8208,2736,2,509,170,3,110,37,501,540,0,502,390,0,503,570,0,19,200,0,0,0,0,99,30000,2000
41000016,41,坦克-不朽毅力,16,91000056,360,94004102,94004201,0,1,10944,0,2,679,0,3,147,0,501,540,90,502,390,70,503,570,100,19,200,0,0,0,0,99,32000,2000
41000017,41,坦克-不朽毅力,17,91000056,390,94004102,94004201,0,1,10944,3344,2,679,207,3,147,45,501,630,0,502,460,0,503,670,0,19,200,0,0,0,0,99,34000,2000
41000018,41,坦克-不朽毅力,18,91000056,420,94004102,94004201,0,1,14288,0,2,886,0,3,192,0,501,630,90,502,460,60,503,670,90,19,200,0,0,0,0,99,36000,2000
41000019,41,坦克-不朽毅力,19,91000056,450,94004102,94004201,0,1,14288,0,2,886,0,3,192,0,501,720,0,502,520,0,503,760,0,19,200,0,0,0,0,99,38000,2000
41000020,41,坦克-不朽毅力,20,91000056,500,94004102,94004202,0,1,14288,3648,2,886,226,3,192,49,501,720,0,502,520,0,503,760,0,19,200,0,0,0,0,99,40000,2000
