level,wave,type,monster_id,skill_sketch1,skill_sketch2,features1,features2,flip,show_num
1,100,2,1010101,0,0,0,0,0,0
2,102,1,1010503,0,0,物理攻击,概率击退,0,0
3,100,1,1020501,0,0,魔法攻击,多次击退,0,0
4,100,1,1020803,0,0,魔法攻击,多次击退,0,0
5,100,1,1020903,0,0,物理攻击,单体攻击,0,0
6,100,1,1021003,0,0,物理攻击,击杀恐惧,0,0
7,100,2,1030101,0,0,0,0,0,0
8,102,2,1030302,0,0,0,0,0,0
9,102,1,1030603,0,0,魔法攻击,群体伤害,0,0
10,100,1,1030901,0,0,物理攻击,群体击退,1,0
11,102,1,1031001,0,0,魔法攻击,单体昏迷,0,0
12,100,1,1040302,0,0,魔法攻击,群体昏迷,0,0
13,100,1,1040501,0,0,物理攻击,群体流血,0,0
14,100,1,1040601,0,0,物理攻击,单体昏迷,0,0
15,100,2,1040801,0,0,0,0,0,0
16,102,1,1040803,0,0,单体辅助,急速回能,0,0
17,100,2,1050101,0,0,0,0,0,0
18,100,1,1050502,0,0,群体辅助,群体回血,0,0
19,100,2,1050601,0,0,0,0,0,1
20,102,1,1050603,0,0,物理攻击,群体伤害,0,0
21,100,2,1050801,0,0,0,0,0,0
22,100,2,1060101,0,0,0,0,0,0
23,100,1,1060503,0,0,物理攻击,群体伤害,0,0
24,102,1,1060601,0,0,物理攻击,概率击退,0,0
25,100,1,1061004,0,0,物理攻击,单体溅射,1,0
26,100,1,1070101,0,0,物理攻击,单体连击,0,0
27,100,1,1070301,0,0,物理攻击,概率眩晕,0,0
28,100,2,1070501,0,0,0,0,0,0
29,100,2,1070601,0,0,0,0,0,0
30,100,2,1070802,0,0,0,0,0,0
31,100,1,1071001,0,0,物理攻击,群体昏迷,0,0
32,100,1,1080102,0,0,群体辅助,生命链接,0,0
33,100,1,1080501,0,0,物理攻击,单体减伤,0,0
34,100,1,1080601,0,0,魔法攻击,持续灼烧,0,0
35,100,1,1090501,0,0,物理攻击,群体伤害,0,0
36,100,2,1100502,0,0,0,0,0,0
37,100,1,1100601,0,0,魔法攻击,持续中毒,0,0
38,100,1,1100801,0,0,神术攻击,攻击吸血,0,0
