id,type,need_point,free_award1,free_num1,free_award2,free_num2,gold_award1,gold_num1,gold_award2,gold_num2,gold_twinkle1,gold_twinkle2
1,1,0,13000001,240,0,0,13000002,120,91000002,120000,1,0
2,1,700,13000001,60,0,0,13000002,20,91000002,20000,0,0
3,1,1400,13000001,60,0,0,13000002,20,91000002,20000,0,0
4,1,2100,13000001,60,0,0,13000002,20,91000002,20000,0,0
5,1,2800,13000001,240,0,0,13000002,120,91000002,120000,1,0
6,1,3500,13000001,60,0,0,13000002,20,91000002,20000,0,0
7,1,4200,13000001,60,0,0,13000002,20,91000002,20000,0,0
8,1,4900,13000001,60,0,0,13000002,20,91000002,20000,0,0
9,1,5600,13000001,60,0,0,13000002,20,91000002,20000,0,0
10,1,6300,13000001,240,0,0,13000002,120,91000002,120000,1,0
11,1,7000,13000001,60,0,0,13000002,20,91000002,20000,0,0
12,1,7700,13000001,60,0,0,13000002,20,91000002,20000,0,0
13,1,8400,13000001,60,0,0,13000002,20,91000002,20000,0,0
14,1,9100,13000001,60,0,0,13000002,20,91000002,20000,0,0
15,1,9800,13000001,240,0,0,13000002,120,91000002,120000,1,0
16,1,10500,13000001,60,0,0,13000002,20,91000002,20000,0,0
17,1,11200,13000001,60,0,0,13000002,20,91000002,20000,0,0
18,1,11900,13000001,60,0,0,13000002,20,91000002,20000,0,0
19,1,12600,13000001,60,0,0,13000002,20,91000002,20000,0,0
20,1,13300,13000001,240,0,0,13000002,120,91000002,120000,1,0
21,1,14000,13000001,60,0,0,13000002,20,91000002,20000,0,0
22,1,14700,13000001,60,0,0,13000002,20,91000002,20000,0,0
23,1,15400,13000001,60,0,0,13000002,20,91000002,20000,0,0
24,1,16100,13000001,60,0,0,13000002,20,91000002,20000,0,0
25,1,16800,13000001,240,0,0,13000002,120,91000002,120000,1,0
26,2,0,91000044,150,0,0,91000044,2000,91000002,90000,1,2
27,2,480,30020001,5,0,0,30020003,5,91000002,15000,0,0
28,2,960,30020001,5,0,0,30020003,5,91000002,15000,0,0
29,2,1440,30020001,5,0,0,30020003,5,91000002,15000,0,0
30,2,1920,91000044,300,0,0,91000044,3000,91000002,90000,1,2
31,2,2400,30020001,5,0,0,30020003,5,91000002,15000,0,0
32,2,2880,30020001,5,0,0,30020003,5,91000002,15000,0,0
33,2,3360,30020001,5,0,0,30020003,5,91000002,15000,0,0
34,2,3840,30020001,5,0,0,30020003,5,91000002,15000,0,0
35,2,4320,91000044,450,0,0,91000044,4000,91000002,90000,1,2
36,2,4800,30020001,5,0,0,30020003,5,91000002,15000,0,0
37,2,5280,30020001,5,0,0,30020003,5,91000002,15000,0,0
38,2,5760,30020001,5,0,0,30020003,5,91000002,15000,0,0
39,2,6240,30020001,5,0,0,30020003,5,91000002,15000,0,0
40,2,6720,91000044,600,0,0,91000044,5000,91000002,90000,1,2
41,2,7200,30020001,5,0,0,30020003,5,91000002,15000,0,0
42,2,7680,30020001,5,0,0,30020003,5,91000002,15000,0,0
43,2,8160,30020001,5,0,0,30020003,5,91000002,15000,0,0
44,2,8640,30020001,5,0,0,30020003,5,91000002,15000,0,0
45,2,9120,91000044,750,0,0,91000044,6000,91000002,90000,1,2
46,2,9600,30020001,5,0,0,30020003,5,91000002,15000,0,0
47,2,10080,30020001,5,0,0,30020003,5,91000002,15000,0,0
48,2,10560,30020001,5,0,0,30020003,5,91000002,15000,0,0
49,2,11040,30020001,5,0,0,30020003,5,91000002,15000,0,0
50,2,11520,91000044,1500,0,0,91000044,12000,91000002,90000,1,2
