id,sort,taskname,content,level,checkpoint,tasktypes,n1,n2,n3,n4,reward1,number1,reward2,number2,group
1,1,连续登录,连续登录7天,0,0,192,5,100,0,0,91000041,30,0,0,1
2,2,消耗体力,消耗1500体力,0,0,49,1500,91000003,0,0,91000041,40,0,0,1
3,3,消耗元宝,消耗2100元宝,0,0,49,2100,91000002,0,0,91000041,40,0,0,1
4,4,高级召唤,高级召唤10次,0,0,26,10,2,0,0,91000041,30,0,0,1
5,5,普通召唤,普通召唤14次,0,0,26,14,1,0,0,91000041,30,0,0,1
6,6,领取好友体力,赠送好友体力60次,10,0,216,60,0,0,0,91000041,20,0,0,1
7,7,购买铜钱,购买铜钱18次,0,0,24,20,2,0,0,91000041,40,0,0,1
8,8,购买体力,购买体力18次,0,0,24,20,1,0,0,91000041,40,0,0,1
9,9,斗技场挑战,斗技场挑战30次,0,110305,193,30,1,0,0,91000041,30,0,0,1
10,10,经典战役组队,组队挑战15次,0,110310,188,15,0,1,0,91000041,40,0,0,1
11,11,试炼挑战,试炼挑战30次,0,110403,155,30,0,0,0,91000041,30,0,0,1
12,12,同盟副本,同盟副本20次,0,110408,137,20,1,0,0,91000041,40,0,0,1
13,13,权谋之争,参与权谋之争7次,0,110408,165,7,0,0,0,91000041,40,0,0,1
14,14,名将历练,名将历练扫荡7次,0,110803,235,7,0,0,0,91000041,30,0,0,1
15,15,鼓舞士气,任意国战鼓舞10次,0,110908,236,10,0,0,0,91000041,60,0,0,1
16,16,攻城掠地,击杀30次敌军,0,110908,237,30,1,0,0,91000041,140,0,0,1
17,17,联军伐董,击杀精英10次,0,110908,238,10,1,2,0,91000041,140,0,0,1
18,18,联军伐董,击杀首领10次,0,110908,238,10,1,3,0,91000041,140,0,0,1
19,19,兵法挑战,兵法挑战210次,0,111103,217,210,0,0,0,91000041,40,0,0,1
20,20,兵法组队,兵法挑战组队20次,0,111103,188,20,0,2,0,91000041,40,0,0,1
21,21,华容道,击杀60次敌军,0,111203,190,60,0,0,0,91000041,100,0,0,1
22,22,观星台探索,执行任意10连探索,0,111403,233,1,0,0,0,91000041,20,0,0,1
23,23,铜雀台,精英闯关10次,0,111503,197,10,0,0,0,91000041,30,0,0,1
24,24,神器搜索,神器搜索7次,0,111603,143,14,0,0,0,91000041,30,0,0,1
25,25,悬赏任务,完成10次悬赏任务,0,111608,41,10,3,0,0,91000041,40,0,0,1
26,26,普通召唤,普通召唤140次,0,112003,157,140,1,0,0,91000041,30,0,0,1
27,27,高级召唤,高级召唤10次,0,112003,157,10,2,0,0,91000041,30,0,0,1
28,28,宠物高阶召唤,战马高阶召唤7次,0,112003,158,7,2,0,0,91000041,40,0,0,1
29,29,五兵曹兑换功劳,换取功劳次数10次,0,112403,176,10,0,0,0,91000041,40,0,0,1
