id,worldlv,npclv,ragerate,cablerange,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11
1,1,20,3000,1000,1,3000,2,300,3,60,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,198600
2,2,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
3,3,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
4,4,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
5,5,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
6,6,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
7,7,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
8,8,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
9,9,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
10,10,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
11,11,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
12,12,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
13,13,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
14,14,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
15,15,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
16,16,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
17,17,20,3000,1000,1,4965,2,496,3,99,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,328300
18,18,27,3000,1000,1,6630,2,663,3,132,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,438600
19,19,28,3000,1000,1,6757,2,675,3,135,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,446900
20,20,29,3000,1000,1,6885,2,688,3,137,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,455200
21,21,30,3000,1000,1,7012,2,701,3,140,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,464000
22,22,31,3000,1000,1,7140,2,714,3,142,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,472300
23,23,32,3000,1000,1,7267,2,726,3,145,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,480600
24,24,33,3000,1000,1,7395,2,739,3,147,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,488900
25,25,34,3000,1000,1,7522,2,752,3,150,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,497600
26,26,35,3000,1000,1,7650,2,765,3,153,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,506400
27,27,36,3000,1000,1,7777,2,777,3,155,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,514300
28,28,37,3000,1000,1,7905,2,790,3,158,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,523000
29,29,38,3000,1000,1,8032,2,803,3,160,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,531300
30,30,39,3000,1000,1,8160,2,816,3,163,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,540100
31,31,40,3000,1000,1,8287,2,828,3,165,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,548000
32,32,41,3000,1000,1,9937,2,993,3,198,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,657200
33,33,42,3000,1000,1,10117,2,1011,3,202,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,669300
34,34,43,3000,1000,1,10297,2,1029,3,205,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,680900
35,35,44,3000,1000,1,10477,2,1047,3,209,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,693000
36,36,45,3000,1000,1,10657,2,1065,3,213,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,705100
37,37,46,3000,1000,1,10837,2,1083,3,216,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,716800
38,38,47,3000,1000,1,11017,2,1101,3,220,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,728900
39,39,48,3000,1000,1,11197,2,1119,3,223,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,740500
40,40,49,3000,1000,1,11377,2,1137,3,227,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,752600
41,41,50,3000,1000,1,11557,2,1155,3,231,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,764700
42,42,51,3000,1000,1,11737,2,1173,3,234,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,776300
43,43,52,3000,1000,1,11917,2,1191,3,238,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,788400
44,44,53,3000,1000,1,12097,2,1209,3,241,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,800100
45,45,54,3000,1000,1,12277,2,1227,3,245,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,812200
46,46,55,3000,1000,1,12457,2,1245,3,249,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,824300
47,47,56,3000,1000,1,12637,2,1263,3,252,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,835900
48,48,57,3000,1000,1,12817,2,1281,3,256,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,848000
49,49,58,3000,1000,1,12997,2,1299,3,259,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,859700
50,50,59,3000,1000,1,13177,2,1317,3,263,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,871800
51,51,60,3000,1000,1,13357,2,1335,3,267,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,883900
52,52,61,3000,1000,1,15757,2,1575,3,315,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1042700
53,53,62,3000,1000,1,16005,2,1600,3,320,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1059300
54,54,63,3000,1000,1,16252,2,1625,3,325,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1075700
55,55,64,3000,1000,1,16500,2,1650,3,330,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1092300
56,56,65,3000,1000,1,16747,2,1674,3,334,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1107900
57,57,66,3000,1000,1,16995,2,1699,3,339,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1124400
58,58,67,3000,1000,1,17242,2,1724,3,344,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1140900
59,59,68,3000,1000,1,17490,2,1749,3,349,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1157400
60,60,69,3000,1000,1,17737,2,1773,3,354,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1173500
61,61,70,3000,1000,1,17985,2,1798,3,359,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1190100
62,62,71,3000,1000,1,18232,2,1823,3,364,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1206500
63,63,72,3000,1000,1,18480,2,1848,3,369,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1223100
64,64,73,3000,1000,1,18727,2,1872,3,374,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1239200
65,65,74,3000,1000,1,18975,2,1897,3,379,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1255700
66,66,75,3000,1000,1,19222,2,1922,3,384,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1272200
67,67,76,3000,1000,1,19470,2,1947,3,389,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1288700
68,68,77,3000,1000,1,19717,2,1971,3,394,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1304800
69,69,78,3000,1000,1,19965,2,1996,3,399,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1321300
70,70,79,3000,1000,1,20212,2,2021,3,404,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1337800
71,71,80,3000,1000,1,20460,2,2046,3,409,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1354300
72,72,81,3000,1000,1,23760,2,2376,3,475,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1572800
73,73,82,3000,1000,1,24120,2,2412,3,482,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1596500
74,74,83,3000,1000,1,24480,2,2448,3,489,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1620300
75,75,84,3000,1000,1,24840,2,2484,3,496,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1644000
76,76,85,3000,1000,1,25200,2,2520,3,503,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1667700
77,77,86,3000,1000,1,25560,2,2556,3,511,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1691900
78,78,87,3000,1000,1,25920,2,2592,3,518,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1715700
79,79,88,3000,1000,1,26280,2,2627,3,525,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1739000
80,80,89,3000,1000,1,26639,2,2663,3,532,6,200,19,200,20,200,35,200,38,200,21,10000,22,250,99,1762800
