id,name,first,citystate,cityinitial,upper,weirange,weiarmy,shurange,shuarmy,wurange,wuarmy,npclv,npcarmy,size,sizedescribe,terrain,terraindescribe,initialid,initialdean,characteristic1,describe1,characteristic2,describe2,characteristic3,describe3,item,num,state,statename,stateday,statebox,statenum,sequence1,sequence2,sequence3,icon
1001,特博镇,3,2,10,10,20,50,11,50,5,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,5,雪落山,1,550002,11,0,0,0,city_001
1002,霍桑,3,2,10,10,19,50,11,50,4,50,50,50,2,城市,1,平原,0,0,40001,平原地形,0,0,0,0,91000002,20,5,雪落山,1,550002,11,0,0,0,city_001
1003,日炎堡,3,2,10,10,20,50,10,50,5,50,50,50,3,要塞,2,山地,0,0,40002,山地地形,0,0,0,0,91000031,1000,5,雪落山,1,550002,11,0,0,0,city_001
1004,阿尔镇,3,2,10,10,21,50,10,50,6,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,5,雪落山,1,550002,11,0,0,0,city_001
1005,纳湾镇,3,2,10,10,21,50,9,50,6,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,5,雪落山,1,550002,11,0,0,0,city_001
1006,犹亚镇,3,2,10,10,21,50,9,50,6,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,5,雪落山,1,550002,11,0,0,0,city_001
1007,莱戈镇,3,2,10,10,18,50,12,50,3,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1008,泽罗镇,3,2,10,10,18,50,12,50,3,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1009,蒙根,3,2,10,10,17,50,13,50,2,50,50,50,2,城市,2,山地,0,0,40002,山地地形,0,0,0,0,91000002,20,4,泰瑞亚,1,550003,21,0,0,0,city_001
1010,莫安镇,3,2,10,10,18,50,13,50,3,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1011,兰塔镇,3,2,10,10,17,50,14,50,2,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1012,克塞镇,3,2,10,10,16,50,15,50,1,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1013,兹莱镇,3,2,15,15,18,50,15,50,3,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1014,德里镇,3,2,10,10,17,50,16,50,4,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1015,科里镇,3,2,10,10,16,50,16,50,3,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1016,亚波镇,3,2,10,10,15,50,17,50,2,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1017,比拉镇,3,2,10,10,15,50,16,50,1,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1018,彩虹城,3,1,10,10,15,50,15,50,0,500,50,50,1,主城,1,平原,3006,议长,40001,平原地形,0,0,0,0,0,0,0,联邦主城,0,0,0,0,0,0,city_001
1019,多班镇,3,2,10,10,16,50,14,50,1,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1020,斯特镇,3,2,10,10,15,50,16,50,1,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1021,大瓦镇,3,2,10,10,15,50,15,50,2,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1022,巴特镇,3,2,10,10,14,50,15,50,3,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1023,塔廉镇,3,2,10,10,14,50,16,50,1,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1024,比斯镇,3,2,10,10,14,50,17,50,2,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1025,泽洛,3,2,10,10,13,50,16,50,2,50,50,50,2,城市,1,平原,0,0,40001,平原地形,0,0,0,0,91000002,20,4,泰瑞亚,1,550003,21,0,0,0,city_001
1026,米考镇,3,2,10,10,13,50,18,50,3,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,3,沉默沼泽,1,550002,11,0,0,0,city_001
1027,美罗镇,3,2,10,10,14,50,18,50,3,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,3,沉默沼泽,1,550002,11,0,0,0,city_001
1028,尤纳镇,3,2,10,10,13,50,19,50,4,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,3,沉默沼泽,1,550002,11,0,0,0,city_001
1029,加纳,3,2,15,15,12,50,19,50,4,50,50,50,2,城市,2,山地,0,0,40002,山地地形,0,0,0,0,91000002,20,3,沉默沼泽,1,550002,11,0,0,0,city_001
1030,特伊镇,3,2,10,10,11,50,18,50,4,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,3,沉默沼泽,1,550002,11,0,0,0,city_001
1031,特姆镇,3,2,10,10,12,50,17,50,3,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,3,沉默沼泽,1,550002,11,0,0,0,city_001
1032,费尼镇,3,2,10,10,11,50,16,50,4,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,3,沉默沼泽,1,550002,11,0,0,0,city_001
1033,阿提卡,3,2,10,10,10,50,17,50,5,50,50,50,2,城市,2,山地,0,0,40002,山地地形,0,0,0,0,91000002,20,3,沉默沼泽,1,550002,11,0,0,0,city_001
1034,地灵堡,3,2,10,10,9,50,18,50,6,50,50,50,3,要塞,2,山地,0,0,40002,山地地形,0,0,0,0,91000031,1000,3,沉默沼泽,1,550002,11,0,0,0,city_001
1035,奥巴镇,3,2,10,10,10,50,19,50,7,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,3,沉默沼泽,1,550002,11,0,0,0,city_001
1036,圣宾镇,3,2,10,10,11,50,20,50,8,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,3,沉默沼泽,1,550002,11,0,0,0,city_001
1037,图普镇,2,2,10,10,9,50,20,50,8,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,2,铁钩岛,1,550002,11,0,0,0,city_001
1038,安纳镇,2,2,10,10,8,50,20,50,8,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,2,铁钩岛,1,550002,11,0,0,0,city_001
1039,普垒镇,2,2,10,10,8,50,19,50,7,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,2,铁钩岛,1,550002,11,0,0,0,city_001
1040,瓦西镇,2,2,10,10,7,50,20,50,8,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,2,铁钩岛,1,550002,11,0,0,0,city_001
1041,拉来亚,2,2,10,10,7,50,21,50,9,50,50,50,2,城市,2,山地,0,0,40002,山地地形,0,0,0,0,91000002,20,2,铁钩岛,1,550002,11,0,0,0,city_001
1042,雷利镇,2,2,10,10,6,50,21,50,9,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,2,铁钩岛,1,550002,11,0,0,0,city_001
1043,黑岩堡,2,2,10,10,5,50,20,50,10,50,50,50,3,要塞,2,山地,0,0,40002,山地地形,0,0,0,0,91000031,1000,2,铁钩岛,1,550002,11,0,0,0,city_001
1044,努尔镇,3,2,10,10,13,50,14,50,4,50,20,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1045,蒂塔镇,3,2,10,10,12,50,15,50,3,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,4,泰瑞亚,1,550003,21,0,0,0,city_001
1046,内特镇,2,2,15,15,5,50,20,50,12,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,2,铁钩岛,1,550002,11,0,0,0,city_001
1047,塔伦,2,2,10,10,4,50,19,50,11,50,50,50,2,城市,1,平原,0,0,40001,平原地形,0,0,0,0,91000002,20,2,铁钩岛,1,550002,11,0,0,0,city_001
1048,巴埔镇,2,2,10,10,3,50,18,50,12,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,2,铁钩岛,1,550002,11,0,0,0,city_001
1049,圣加镇,2,2,10,10,3,50,18,50,13,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,2,铁钩岛,1,550002,11,0,0,0,city_001
1050,科兰镇,2,2,10,10,4,50,19,50,15,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1051,德普镇,2,2,10,10,5,50,20,50,16,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1052,塞威镇,2,2,10,10,4,50,19,50,15,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1053,阿兰尼,2,2,10,10,3,50,18,50,14,50,50,50,2,城市,1,平原,0,0,40001,平原地形,0,0,0,0,91000002,20,1,熔炉领,1,550003,21,0,0,0,city_001
1054,瓦尔镇,2,2,10,10,2,50,17,50,13,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1055,苏内镇,2,2,10,10,3,50,18,50,14,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1056,布古镇,2,2,10,10,1,50,16,50,14,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1057,拉利镇,2,2,10,10,2,50,17,50,13,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1058,魁赛镇,2,2,10,10,1,50,16,50,14,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1059,铁翼城,2,1,10,10,0,500,15,50,15,50,50,50,1,主城,3,森林,2009,皇帝,40003,森林地形,0,0,0,0,0,0,0,帝国主城,0,0,0,0,0,0,city_001
1060,巴宾镇,2,2,10,10,1,50,15,50,15,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1061,克斯镇,2,2,0,0,2,50,14,50,16,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1062,兰莫镇,2,2,0,0,2,50,15,50,15,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1063,尼巴镇,2,2,0,0,1,50,15,50,16,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1064,西加镇,2,2,5,5,1,50,14,50,16,50,50,50,4,村镇,3,森林,0,0,40003,森林地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1065,哈西镇,2,2,5,5,2,50,13,50,16,50,50,50,4,村镇,2,山地,0,0,40002,山地地形,0,0,0,0,91000001,10000,1,熔炉领,1,550003,21,0,0,0,city_001
1066,廉巴镇,2,2,5,5,3,50,13,50,15,50,50,50,4,村镇,1,平原,0,0,40001,平原地形,0,0,0,0,91000001,10000,9,岩流峡谷,1,550002,11,0,0,0,city_001
