id,type,xy
1,1,109001
2,1,111001
3,1,113001
4,1,115001
5,1,109003
6,1,111003
7,1,113003
8,1,115003
9,1,109005
10,1,111005
11,1,113005
12,1,115005
13,1,109007
14,1,111007
15,1,113007
16,1,115007
17,1,109009
18,1,111009
19,1,113009
20,1,115009
21,1,107011
22,1,109011
23,1,111011
24,1,113011
25,1,105013
26,1,107013
27,1,109013
28,1,111013
29,1,103015
30,1,105015
31,1,107015
32,1,109015
33,1,101017
34,1,103017
35,1,105017
36,1,107017
37,1,99019
38,1,101019
39,1,103019
40,1,105019
41,1,99021
42,1,101021
43,1,103021
44,1,105021
45,1,99023
46,1,101023
47,1,103023
48,1,105023
49,1,99025
50,1,101025
51,1,103025
52,1,105025
53,1,99027
54,1,101027
55,1,103027
56,1,105027
57,1,99029
58,1,101029
59,1,103029
60,1,105029
61,1,97031
62,1,99031
63,1,101031
64,1,103031
65,1,95033
66,1,97033
67,1,99033
68,1,101033
69,1,93035
70,1,95035
71,1,97035
72,1,99035
73,1,91037
74,1,93037
75,1,95037
76,1,97037
77,1,89039
78,1,91039
79,1,93039
80,1,95039
81,1,89041
82,1,91041
83,1,93041
84,1,95041
85,1,89043
86,1,91043
87,1,93043
88,1,95043
89,1,89045
90,1,91045
91,1,93045
92,1,95045
93,1,89047
94,1,91047
95,1,93047
96,1,95047
97,1,89049
98,1,91049
99,1,93049
100,1,95049
101,3,87051
102,3,89051
103,3,91051
104,3,93051
105,3,85053
106,3,87053
107,3,89053
108,3,91053
109,3,83055
110,3,85055
111,3,87055
112,3,89055
113,3,81057
114,3,83057
115,3,85057
116,3,87057
117,3,79059
118,3,81059
119,3,83059
120,3,85059
121,3,79061
122,3,81061
123,3,83061
124,3,85061
125,3,79063
126,3,81063
127,3,83063
128,3,85063
129,3,79065
130,3,81065
131,3,83065
132,3,85065
133,3,79067
134,3,81067
135,3,83067
136,3,85067
137,3,79069
138,3,81069
139,3,83069
140,3,85069
141,3,77071
142,3,79071
143,3,81071
144,3,83071
145,3,75073
146,3,77073
147,3,79073
148,3,81073
149,3,73075
150,3,75075
151,3,77075
152,3,79075
153,3,71077
154,3,73077
155,3,75077
156,3,77077
157,3,69079
158,3,71079
159,3,73079
160,3,75079
161,3,69081
162,3,71081
163,3,73081
164,3,75081
165,3,69083
166,3,71083
167,3,73083
168,3,75083
169,3,69085
170,3,71085
171,3,73085
172,3,75085
173,3,69087
174,3,71087
175,3,73087
176,3,75087
177,3,69089
178,3,71089
179,3,73089
180,3,75089
181,3,67091
182,3,69091
183,3,71091
184,3,73091
185,3,65093
186,3,67093
187,3,69093
188,3,71093
189,3,63095
190,3,65095
191,3,67095
192,3,69095
193,3,61097
194,3,63097
195,3,65097
196,3,67097
197,3,59099
198,3,61099
199,3,63099
200,3,65099
201,3,59101
202,3,61101
203,3,63101
204,3,65101
205,3,59103
206,3,61103
207,3,63103
208,3,65103
209,3,59105
