id,tab,taskid,tasktypes,n1,n2,n3,n4,headline,explain,title,txt,itemtype1,itemnum1,itemtype2,itemnum2,itemtype3,itemnum3,taskindexes,condition,icon
1,1,10001,222,1000,0,0,0,加入同盟,可获海量铜钱奖励,初入天下,俗话说：“一个好汉三个帮，一个篱笆三个桩”。项羽个人再勇武也难免乌江自刎，加入一个同盟才是一切良好的开端。#18|A82B05|建立或加入一个同盟#开始真正的“天下”吧！,91000001,10000,0,0,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
2,1,10002,222,900,0,0,0,参与同盟贡献,可获海量铜钱奖励,积微成著,冰冻三尺，非一日之寒，只有不断的累积势力，才能真正在需要的时候一鸣惊人。#18|A82B05|在同盟中贡献达到750。#,91000001,150000,0,0,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
3,1,10003,222,800,0,0,0,参与同盟贡献,可获海量元宝奖励,跬步千里,积累的过程不会那么简单。请继续在同盟中出一份力。#18|A82B05|在同盟贡献中个人贡献次数达到10次。#,91000002,100,91000001,10000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
4,1,10004,222,700,0,0,0,参与城池争夺,可获海量元宝奖励,初次尝试,当队伍拥有了一定的积累后，就可以尝试着踏出第一步，在整个世界上发出自己的声音。#18|A82B05|参与城防战，进行5次破坏或者修补。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
5,1,10005,222,600,0,0,0,参与同盟贡献,可获海量元宝奖励,铢积寸累,继续累积前行的物品，只有这样才能在战场上得到更好的结果。#18|A82B05|在同盟中个人贡献20次。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
6,1,10006,222,500,0,0,0,参与城池争夺,可获海量元宝奖励,雏鸟初啼,树欲静而风不止，局势已经开始动荡不安。是时候尝试着改变这一切了。#18|A82B05|参与任意国战1次。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
7,1,10007,222,400,0,0,0,参与城池争夺,可获海量元宝奖励,锋芒毕露,参与过战争才会明白，只有以战止战！继续前进的步伐不要犹豫！#18|A82B05|参与破坏或修补城防20次。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
8,1,10008,222,300,0,0,0,参与城池争夺,可获海量元宝奖励,小有势力,在各位的努力下，势力越来越强大。但是当前的这些还远远不够，#18|A82B05|协助势力占领天下15座城池。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
9,1,10009,222,200,0,0,0,参与同盟贡献,可获海量元宝奖励,稳步发展,不断前进的同时也不要忘记了自身的发展。只有一个稳固的后方才能更好的前行。#18|A82B05|在同盟中个人贡献达1500。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
10,1,10010,222,150,0,0,0,参与城池争夺,可获海量元宝奖励,名动一方,此时，我们势力已经是在此处极为强大的存在了，但是这还远远不够。远处还有更多的敌人需要我们去征服他们。#18|A82B05|参与国战10次。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
11,2,20001,222,100,0,0,0,参与同盟贡献,可获海量元宝奖励,聚沙成塔,获得了跟多的城池也意味着更长的补给线。在战争的间歇期继续发展自身吧。#18|A82B05|协助同盟等级达到3级。#,91000002,200,91000001,20000,0,0,"ui_mgr.openUI(""arena_hallUI"")",return mod_base.issysopen(21),bg_baye_q3_01
