id,name,color,star,isteam,time,dtime,needzy1,needzy2,needzy3,needzy4,needpz,pznum,intr,reward1,number1
1,发狂的野兽,1,1,0,3600,604800,1,2,3,0,1,2,这是一段描述,91000001,10
2,净化水源,1,1,0,3600,604800,2,3,4,0,1,2,这是一段描述,91000001,20
3,开垦农田,1,1,0,3600,604800,1,2,3,0,1,2,这是一段描述,91000001,30
4,清扫庭院,1,1,1,3600,604800,1,2,0,0,1,2,这是一段描述,91000001,40
5,祈福求雨,2,2,0,7200,604800,1,2,3,0,2,2,这是一段描述,91000001,50
6,元素波动,2,2,0,7200,604800,2,3,4,0,2,2,这是一段描述,91000001,60
7,野兽来袭,2,2,0,7200,604800,1,2,3,0,2,2,这是一段描述,91000001,70
8,侦查任务,2,2,1,7200,604800,1,2,0,0,2,2,这是一段描述,91000001,80
9,筹备物资,3,3,0,14400,604800,1,2,3,0,3,2,这是一段描述,91000001,90
10,永驻青春,3,3,0,14400,604800,2,3,4,0,3,2,这是一段描述,91000001,100
11,围剿猎物,3,3,0,14400,604800,1,2,3,0,3,2,这是一段描述,91000001,110
12,天空之石,3,3,1,14400,604800,1,2,0,0,3,2,这是一段描述,91000001,120
13,魔法水晶,4,4,0,28800,604800,1,2,3,0,4,2,这是一段描述,91000001,130
14,散落的遗迹,4,4,0,28800,604800,2,3,4,0,4,2,这是一段描述,91000001,140
15,远古的战旗,4,4,0,28800,604800,1,2,3,0,4,2,这是一段描述,91000001,150
16,炼金之灾,4,4,1,28800,604800,1,2,0,0,4,2,这是一段描述,91000001,160
17,瘟疫并发,5,5,0,57600,604800,1,2,3,0,5,2,这是一段描述,91000001,170
18,骸骨研究,5,5,0,57600,604800,2,3,4,0,5,2,这是一段描述,91000001,180
19,学无止境,5,5,0,57600,604800,1,2,3,0,5,2,这是一段描述,91000001,190
20,探索废墟,5,5,1,57600,604800,1,2,0,0,5,2,这是一段描述,91000001,200
21,妖言惑众,6,6,0,72000,604800,1,2,3,0,6,2,这是一段描述,91000001,210
22,一骑当先,6,6,0,72000,604800,2,3,4,0,6,2,这是一段描述,91000001,220
23,威震山河,6,6,0,72000,604800,1,2,3,0,6,2,这是一段描述,91000001,230
24,破釜沉舟,6,6,1,72000,604800,1,2,0,0,6,2,这是一段描述,91000001,240
