aid,img,time,sort,begin,end,Activity_type,title,open,continued,mode,status
5,hd_kf7r.png,开服基金,5,1,999,9026,开服基金,1,1382400,201,1
6,hd_kf7r.png,累充送礼,6,1,999,2003,累充送礼,1,1382400,1001,1
7,hd_kf7r.png,累计消费钻石,7,1,999,2007,累计消费元宝,1,1382400,701,1
8,hd_kf7r.png,累计登录,8,1,999,2013,累计登录,1,1382400,801,1
9,hd_kf7r.png,累充送礼,9,1,999,9007,众将降临,1,1382400,10101,1
10,hd_kf7r.png,累充送礼,10,1,999,9005,限时神将,1,1382400,10201,1
11,hd_kf7r.png,超值单充,11,1,999,2104,超值单充,1,1382400,901,1
12,hd_kf7r.png,累充送礼,12,1,999,9007,众将降临,1,1382400,10102,1
13,hd_kf7r.png,累充送礼,13,1,999,9007,众将降临,1,1382400,10103,1
14,hd_kf7r.png,累充送礼,14,1,999,9007,众将降临,1,1382400,10104,1
15,hd_kf7r.png,累充送礼,15,1,999,9007,众将降临,1,1382400,10105,1
16,hd_kf7r.png,累充送礼,16,1,999,9007,众将降临,1,1382400,10106,1
17,hd_kf7r.png,累充送礼,17,1,999,9007,众将降临,1,1382400,10107,1
18,hd_kf7r.png,累充送礼,18,1,999,9007,众将降临,1,1382400,10108,1
19,hd_kf7r.png,累充送礼,19,1,999,9007,众将降临,1,1382400,10109,1
20,hd_kf7r.png,累充送礼,20,1,999,9005,限时神将,1,1382400,10201,1
21,hd_kf7r.png,累充送礼,21,1,999,9005,限时神将,1,1382400,10202,1
22,hd_kf7r.png,累充送礼,22,1,999,9005,限时神将,1,1382400,10203,1
23,hd_kf7r.png,累充送礼,23,1,999,9005,限时神将,1,1382400,10204,1
24,hd_kf7r.png,累充送礼,24,1,999,9005,限时神将,1,1382400,10205,1
25,hd_kf7r.png,累充送礼,25,1,999,9005,限时神将,1,1382400,10206,1
26,hd_kf7r.png,累充送礼,26,1,999,9005,限时神将,1,1382400,10207,1
27,hd_kf7r.png,累充送礼,27,1,999,9005,限时神将,1,1382400,10208,1
28,hd_kf7r.png,累充送礼,28,1,999,9005,限时神将,1,1382400,10209,1
29,hd_kf7r.png,累充送礼,29,1,999,0,绝版福利,1,1382400,80101,1
30,hd_kf7r.png,累充送礼,29,1,999,0,满星宠物,1,1382400,80102,1
31,hd_kf7r.png,累充送礼,29,1,999,0,集结同盟,1,1382400,80103,1
