id,name,icon,icon_name,type,lv,need,fight,battle,item1,num1,item2,num2,item3,num3
1001,步兵训练所,city_buildinging_1001,city_buildinging_1001_name,1,1,3,1000,9501010,50000001,100,0,0,0,0
1002,步兵训练所,city_buildinging_1001,city_buildinging_1001_name,1,2,5,5000,9501020,50000001,200,0,0,0,0
1003,步兵训练所,city_buildinging_1001,city_buildinging_1001_name,1,3,7,10000,9501030,50000001,300,0,0,0,0
1004,步兵训练所,city_buildinging_1001,city_buildinging_1001_name,1,4,9,20000,9501040,50000001,400,0,0,0,0
1005,步兵训练所,city_buildinging_1001,city_buildinging_1001_name,1,5,11,30000,9501050,50000001,500,0,0,0,0
1006,步兵训练所,city_buildinging_1001,city_buildinging_1001_name,1,6,13,40000,9501060,50000001,600,0,0,0,0
1007,步兵训练所,city_buildinging_1001,city_buildinging_1001_name,1,7,15,50000,9501070,50000001,700,0,0,0,0
1008,步兵训练所,city_buildinging_1001,city_buildinging_1001_name,1,8,17,60000,9501080,50000001,800,0,0,0,0
1009,步兵训练所,city_buildinging_1001,city_buildinging_1001_name,1,9,19,70000,9501090,50000001,900,0,0,0,0
1010,步兵训练所,city_buildinging_1001,city_buildinging_1001_name,1,10,20,80000,9501100,50000001,1000,0,0,0,0
2001,弓兵训练所,city_buildinging_2001,city_buildinging_2001_name,2,1,3,1000,9503010,50000002,100,0,0,0,0
2002,弓兵训练所,city_buildinging_2001,city_buildinging_2001_name,2,2,5,5000,9503020,50000002,200,0,0,0,0
2003,弓兵训练所,city_buildinging_2001,city_buildinging_2001_name,2,3,7,10000,9503030,50000002,300,0,0,0,0
2004,弓兵训练所,city_buildinging_2001,city_buildinging_2001_name,2,4,9,20000,9503040,50000002,400,0,0,0,0
2005,弓兵训练所,city_buildinging_2001,city_buildinging_2001_name,2,5,11,30000,9503050,50000002,500,0,0,0,0
2006,弓兵训练所,city_buildinging_2001,city_buildinging_2001_name,2,6,13,40000,9503060,50000002,600,0,0,0,0
2007,弓兵训练所,city_buildinging_2001,city_buildinging_2001_name,2,7,15,50000,9503070,50000002,700,0,0,0,0
2008,弓兵训练所,city_buildinging_2001,city_buildinging_2001_name,2,8,17,60000,9503080,50000002,800,0,0,0,0
2009,弓兵训练所,city_buildinging_2001,city_buildinging_2001_name,2,9,19,70000,9503090,50000002,900,0,0,0,0
2010,弓兵训练所,city_buildinging_2001,city_buildinging_2001_name,2,10,20,80000,9503100,50000002,1000,0,0,0,0
3001,骑兵训练所,city_buildinging_3001,city_buildinging_3001_name,3,1,3,1000,9502010,50000003,100,0,0,0,0
3002,骑兵训练所,city_buildinging_3001,city_buildinging_3001_name,3,2,5,5000,9502020,50000003,200,0,0,0,0
3003,骑兵训练所,city_buildinging_3001,city_buildinging_3001_name,3,3,7,10000,9502030,50000003,300,0,0,0,0
3004,骑兵训练所,city_buildinging_3001,city_buildinging_3001_name,3,4,9,20000,9502040,50000003,400,0,0,0,0
3005,骑兵训练所,city_buildinging_3001,city_buildinging_3001_name,3,5,11,30000,9502050,50000003,500,0,0,0,0
3006,骑兵训练所,city_buildinging_3001,city_buildinging_3001_name,3,6,13,40000,9502060,50000003,600,0,0,0,0
3007,骑兵训练所,city_buildinging_3001,city_buildinging_3001_name,3,7,15,50000,9502070,50000003,700,0,0,0,0
3008,骑兵训练所,city_buildinging_3001,city_buildinging_3001_name,3,8,17,60000,9502080,50000003,800,0,0,0,0
3009,骑兵训练所,city_buildinging_3001,city_buildinging_3001_name,3,9,19,70000,9502090,50000003,900,0,0,0,0
3010,骑兵训练所,city_buildinging_3001,city_buildinging_3001_name,3,10,20,80000,9502100,50000003,1000,0,0,0,0
