id,min,max,type,world,intensity,citytype,citynum,txt,text,camp1,camp2,camp3,personal1,personal2,personal3,time
1,1,9,1,0,0,0,2,夺取####势力 2 个城池,诸君，我喜欢战争！各位，来创造地狱吧！,1001,0,0,2001,2002,0,72
2,1,9,1,0,0,0,3,夺取####势力 3 个城池,诸君，我喜欢战争！各位，来创造地狱吧！,1001,0,0,2001,2002,0,72
3,1,9,3,0,0,0,2,扩张势力城池数达到####,诸君，我喜欢战争！各位，来创造地狱吧！,1001,0,0,2001,2002,0,72
4,1,9,3,0,0,0,3,扩张势力城池数达到####,诸君，我喜欢战争！各位，来创造地狱吧！,1001,0,0,2001,2002,0,72
5,10,10,3,0,0,0,2,扩张势力城池数达到####,诸君，我喜欢战争！各位，来创造地狱吧！,1002,0,0,2001,2002,0,72
6,11,100,2,1,0,0,2,夺取####势力 2 个城池,诸君，我喜欢战争！各位，来创造地狱吧！,1003,1004,1005,2001,2002,0,72
7,11,100,2,1,0,2,1,夺取####势力 1 个郡城,诸君，我喜欢战争！各位，来创造地狱吧！,1003,1004,1005,2003,2004,2005,72
8,11,100,3,1,0,0,2,扩张势力城池数达到####,诸君，我喜欢战争！各位，来创造地狱吧！,1003,1004,1005,2003,2004,2005,72
9,11,100,3,2,1,0,2,扩张势力城池数达到####,诸君，我喜欢战争！各位，来创造地狱吧！,1003,1004,1005,2003,2004,2005,72
10,11,100,2,2,2,0,2,夺取####势力 2 个城池,诸君，我喜欢战争！各位，来创造地狱吧！,1003,1004,1005,2003,2004,2005,72
11,11,100,3,2,2,0,2,扩张势力城池数达到####,诸君，我喜欢战争！各位，来创造地狱吧！,1003,1004,1005,2003,2004,2005,72
12,11,100,2,3,1,0,2,夺取####势力 2 个城池,诸君，我喜欢战争！各位，来创造地狱吧！,1003,1004,1005,2003,2004,2005,72
13,11,100,2,3,1,2,1,夺取####势力 1 个郡城,诸君，我喜欢战争！各位，来创造地狱吧！,1003,1004,1005,2003,2004,2005,72
14,11,100,2,3,2,0,2,夺取####势力 2 个城池,诸君，我喜欢战争！各位，来创造地狱吧！,1003,1004,1005,2003,2004,2005,72
15,11,100,3,3,2,0,2,扩张势力城池数达到####,诸君，我喜欢战争！各位，来创造地狱吧！,1003,1004,1005,2003,2004,2005,72
