x,y,scale,rangey,rangex,offsetx,offsety
-160,40,0.5,10,15,30,30
-60,60,0.5,10,15,30,30
60,90,0.5,10,15,30,30
160,115,0.5,10,15,30,30
-190,15,0.5,10,15,70,70
-80,40,0.5,10,15,30,30
40,65,0.5,10,15,30,30
140,90,0.5,10,15,30,30
-130,40,0.5,10,15,30,30
-30,55,0.5,10,15,30,30
90,85,0.5,10,15,30,30
200,110,0.5,10,15,70,70
-150,10,0.5,10,15,30,30
-50,30,0.5,10,25,30,30
70,60,0.5,20,25,30,30
180,80,0.5,25,25,30,30
-175,-20,0.5,35,25,70,70
70,0,0.5,35,25,30,30
50,30,0.5,35,25,30,30
150,65,0.5,35,25,30,30
-120,0,0.5,35,25,30,30
-20,20,0.5,35,25,30,30
100,50,0.5,35,25,30,30
210,70,0.5,35,25,70,70
-140,-20,0.5,35,25,30,30
-40,-5,0.5,35,35,30,30
80,20,0.5,35,35,30,30
190,50,0.5,35,35,30,30
-120,-40,0.5,35,35,30,30
10,-20,0.5,35,35,30,30
140,20,0.5,35,35,30,30
-140,-60,0.5,35,35,30,30
-20,-50,0.5,35,35,30,30
120,-10,0.5,35,35,30,30
-90,-40,0.5,35,50,30,30
40,-20,0.5,35,50,30,30
170,15,0.5,35,50,70,70
-110,-70,0.5,40,50,30,30
20,-50,0.5,40,50,30,30
160,-10,0.5,40,50,30,30
