herolv,lvexp,totolexp,costitem1,costnum1,costitem2,costnum2,costitem3,costnum3,reset_item1,reset_num1,reset_item2,reset_num2,reset_item3,reset_num3,reset_costid,reset_costnum
1,0,0,91000001,0,91000041,0,0,0,0,0,0,0,0,0,0,0
2,89,89,91000001,46,91000041,178,0,0,91000001,46,91000041,178,0,0,91000002,2400
3,133,222,91000001,144,91000041,266,0,0,91000001,190,91000041,444,0,0,91000002,2400
4,159,292,91000001,268,91000041,340,0,0,91000001,458,91000041,784,0,0,91000002,2400
5,437,596,91000001,444,91000041,408,0,0,91000001,902,91000041,1192,0,0,91000002,2400
6,398,835,91000001,628,91000041,478,0,0,91000001,1530,91000041,1670,0,0,91000002,2400
7,710,1108,91000001,888,91000041,546,0,0,91000001,2418,91000041,2216,0,0,91000002,2400
8,705,1415,91000001,1200,91000041,614,0,0,91000001,3618,91000041,2830,0,0,91000002,2400
9,1053,1758,91000001,1480,91000041,686,0,0,91000001,5098,91000041,3516,0,0,91000002,2400
10,705,1758,91000001,1784,91000041,760,0,0,91000001,6882,91000041,4276,0,0,91000002,2400
11,1433,2138,91000001,2232,91000041,834,91000044,10,91000001,9114,91000041,5110,91000044,10,91000002,2400
12,1122,2555,91000001,2600,91000041,912,0,0,91000001,11714,91000041,6022,91000044,10,91000002,2400
13,1889,3011,91000001,3154,91000041,994,0,0,91000001,14868,91000041,7016,91000044,10,91000002,2400
14,2158,4047,91000001,3586,91000041,1078,0,0,91000001,18454,91000041,8094,91000044,10,91000002,2400
15,2472,4630,91000001,4252,91000041,1166,0,0,91000001,22706,91000041,9260,91000044,10,91000002,2400
16,2787,5259,91000001,4754,91000041,1258,0,0,91000001,27460,91000041,10518,91000044,10,91000002,2400
17,3148,5935,91000001,5276,91000041,1352,0,0,91000001,32736,91000041,11870,91000044,10,91000002,2400
18,3513,6661,91000001,6112,91000041,1452,0,0,91000001,38848,91000041,13322,91000044,10,91000002,2400
19,3926,7439,91000001,6706,91000041,1556,0,0,91000001,45554,91000041,14878,91000044,10,91000002,2400
20,4344,8270,91000001,7674,91000041,1662,0,0,91000001,53228,91000041,16540,91000044,10,91000002,2400
21,4814,9158,91000001,8344,91000041,1776,91000044,40,91000001,61572,91000041,18316,91000044,50,91000002,2400
22,5286,10100,91000001,8608,91000041,1892,0,0,91000001,70180,91000041,20208,91000044,50,91000002,2400
23,5824,11110,91000001,9270,91000041,2016,0,0,91000001,79450,91000041,22224,91000044,50,91000002,2400
24,6356,12180,91000001,9538,91000041,2142,0,0,91000001,88988,91000041,24366,91000044,50,91000002,2400
25,6964,13320,91000001,9802,91000041,2276,0,0,91000001,98790,91000041,26642,91000044,50,91000002,2400
26,7566,14530,91000001,10502,91000041,2416,0,0,91000001,109292,91000041,29058,91000044,50,91000002,2400
27,8244,15810,91000001,10772,91000041,2560,0,0,91000001,120064,91000041,31618,91000044,50,91000002,2400
28,8926,17170,91000001,11500,91000041,2712,0,0,91000001,131564,91000041,34330,91000044,50,91000002,2400
