type,pictureid,text,time,levelid,advertisement,resources,starttime,durationtime
1,101001,大争之世，群雄逐鹿，谁将加冕为王！,999,0,0,0,0,0
2,101001,大争之世，群雄逐鹿，谁将加冕为王！,999,0,0,0,0,0
3,101002,大争之世，群雄逐鹿，谁将加冕为王！,999,0,0,0,0,0
3,103001,招贤每天都有免费次数呢，万一偶遇武将了呢。,999,0,0,0,0,0
3,101001,奖励邮件都会通过驿站发送给您，别忘了查收。,999,0,0,0,0,0
3,101002,不要忘了每日签到哟，签到有礼哟~,999,0,0,0,0,0
3,101001,剧情是装备、材料的主要获取来源。,999,0,0,0,0,0
3,101002,世界战场中会不定时触发事件，限定时间内完成事件可以获得稀有物品。,999,0,0,0,0,0
4,104001,充值可以提高VIP等级，获得更多特权。,999,1200010,0,0,0,0
4,102001,剧情是装备、材料的主要获取来源。,999,1200020,0,0,0,0
4,101002,内政厅可获得大量货币。,999,1200030,0,0,0,0
4,101001,完成日常任务可领取丰厚奖励呢！,999,1200040,0,0,0,0
4,guanggao2,关羽勇冠三军，乃熊虎之将，为单挑之王。,999,10800,0,0,0,0
4,102001,奖励邮件都会通过驿站发送给您，别忘了查收。,999,1200060,0,0,0,0
4,101002,不要忘了每日签到哟，签到有礼哟~,999,1201010,0,0,0,0
4,104001,剧情是装备、材料的主要获取来源。,999,1201020,0,0,0,0
4,101002,世界战场中会不定时触发事件，限定时间内完成事件可以获得稀有物品。,999,1201030,0,0,0,0
4,102001,充值可以提高VIP等级，获得更多特权。,999,1201040,0,0,0,0
4,101002,剧情是装备、材料的主要获取来源。,999,1201050,0,0,0,0
4,104002,内政厅可获得大量货币。,999,1201060,0,0,0,0
4,103001,剧情是装备、材料的主要获取来源。,999,1201070,0,0,0,0
4,104001,世界战场中会不定时触发事件，限定时间内完成事件可以获得稀有物品。,999,1201080,0,0,0,0
4,104002,充值可以提高VIP等级，获得更多特权。,999,1201090,0,0,0,0
4,101001,剧情是装备、材料的主要获取来源。,999,1201100,0,0,0,0
4,103001,关羽勇冠三军，乃熊虎之将，为单挑之王。,999,1202010,0,0,0,0
4,101002,招贤每天都有免费次数呢，万一偶遇武将了呢。,999,1202020,0,0,0,0
4,102001,主公，不要忘记去培养麾下的武将哦。,999,1202030,0,0,0,0
4,102001,主公，杂货店也可以买到武将哦！,999,0,0,0,0,0
4,103001,主公，搜索除了可以获得丰厚奖励还能有机会获得特别武将呢！,999,0,0,0,0,0
4,103001,主公，充值可以提高VIP等级，获得更多特权。,999,0,0,0,0,0
4,103001,主公，背包中不需要的物品可以出售。,999,0,0,0,0,0
4,104002,主公，完成日常任务可获得大量经验哦！,999,0,0,0,0,0
4,104002,主公，完成成长任务可领取丰厚奖励呢！,999,0,0,0,0,0
4,102001,主公，没体力时可以用元宝购买呢。,999,0,0,0,0,0
4,104002,内政厅可获得大量货币。,999,0,0,0,0,0
5,102001,不要忘记去培养麾下的武将哦。,999,1200010,0,0,0,0
5,104001,不要忘记去培养麾下的武将哦。,999,1200020,0,0,0,0
5,103001,剧情是进阶材料的主要获取来源。,999,1200030,0,0,0,0
5,104001,武将进阶材料不足时，主公可以去杂货商店碰碰运气哟~,999,1200040,0,0,0,0
5,guanggao2,关羽勇冠三军，乃熊虎之将，为单挑之王。,999,10800,0,0,0,0
5,101001,提升技能后技能效果会有显著提升。,999,1200060,0,0,0,0
5,103001,主公，征收可以快速获得铜钱，以解燃眉之急。,999,1201010,0,0,0,0
5,101002,可以派出武将在城池建筑中工作获取奖励。,999,1201020,0,0,0,0
5,104001,周瑜雄烈，胆略兼人，擅长群战，是推图利器噢~,999,1201030,0,0,0,0
5,101002,剧情是进阶材料的主要获取来源。,0,1201040,0,0,0,0
5,103001,没体力时可以用元宝购买呢。,0,1201050,0,0,0,0
5,104001,关羽勇冠三军，乃熊虎之将，为单挑之王。,0,1201060,0,0,0,0
5,102001,提升技能后技能效果会有显著提升。,0,1201070,0,0,0,0
5,101002,主公，内政厅征收可以快速获得资源货币，以解燃眉之急。,0,1201080,0,0,0,0
5,103001,内政厅可获得大量货币。,0,1201090,0,0,0,0
5,104001,司马懿博学洽闻，多大略，擅长群体降属性，是推图利器噢~,0,1201100,0,0,0,0
5,103001,主公，后宫美女可不光是给你养眼的哦。,999,0,0,0,0,0
5,103001,主公，想要提升战斗力，同兵种属性加成可不少。,999,0,0,0,0,0
5,104002,主公，招贤可招集许多武将。,999,0,0,0,0,0
5,102001,主公，不要忘记去培养麾下的武将哦。,999,0,0,0,0,0
5,103001,主公，征收可以快速获得银两，以解燃眉之急。,999,0,0,0,0,0
5,103001,主公，军阵提升到后期能形成有效的兵种克制。,999,0,0,0,0,0
5,104002,主公，征收可以快速获得银两，以解燃眉之急。,999,0,0,0,0,0
6,106001,凭君莫话封侯事，一将功成万骨枯,999,0,0,0,0,0
7,107001,凭君莫话封侯事，一将功成万骨枯,999,0,0,0,0,0
8,108001,,999,0,0,0,0,0
9,109001,,999,0,0,0,0,0
