n4,id,step,txt,tasktypes,p1,p2,p3,p4,item1,num1,item2,num2,item3,num3,item4,num4
1,1,1,天下会武积分达到 20分,68,20,0,0,0,91000007,50,0,0,0,0,0,0
1,2,2,通关经验试炼 第1关,155,1,1,1,0,91000001,100000,0,0,0,0,0,0
1,3,3,剧情副本通关 50次,2,50,0,0,0,91000002,50,0,0,0,0,0,0
1,4,4,任意武将统兵练兵 30次,128,30,0,0,0,81900001,30,0,0,0,0,0,0
1,5,5,参与军团副本 3次,137,3,0,0,0,91000025,50,91000001,50000,0,0,0,0
1,6,6,远征累计击败 20个敌军,152,20,1,0,0,91000023,50,0,0,0,0,0,0
1,7,7,官职挑战胜利 5次,121,5,0,0,0,91000018,500,0,0,0,0,0,0
1,8,8,名仕寻访通关 25次,114,25,0,0,0,81900074,20,0,0,0,0,0,0
1,9,9,登录游戏,129,1,0,0,0,88800021,10,88800022,10,0,0,0,0
2,1,1,天下会武积分达到 20分,68,20,0,0,0,91000007,50,0,0,0,0,0,0
2,2,2,通关经验试炼 第1关,155,1,1,1,0,91000001,100000,0,0,0,0,0,0
2,3,3,剧情副本通关 50次,2,50,0,0,0,91000002,50,0,0,0,0,0,0
2,4,4,任意武将统兵练兵 30次,128,30,0,0,0,81900001,30,0,0,0,0,0,0
2,5,5,参与军团副本 3次,137,3,0,0,0,91000025,50,91000001,50000,0,0,0,0
2,6,6,远征累计击败 20个敌军,152,20,1,0,0,91000023,50,0,0,0,0,0,0
2,7,7,官职挑战胜利 5次,121,5,0,0,0,91000018,500,0,0,0,0,0,0
2,8,8,名仕寻访通关 25次,114,25,0,0,0,81900074,20,0,0,0,0,0,0
2,9,9,登录游戏,129,1,0,0,0,88800021,10,88800022,10,0,0,0,0
