ID,cityname,mainlevel,consumption,number,openbuilding1,buildingname1,openbuilding2,buildingname2,openbuilding3,buildingname3
1,壹阶关城,1,91000001,1030,301,制模室,101,采矿场,0,0
2,贰阶关城,2,91000001,1180,0,0,0,0,0,0
3,叁阶关城,3,91000001,1430,0,0,0,0,0,0
4,肆阶关城,4,91000001,1780,302,熔炼房,0,0,0,0
5,伍阶关城,5,91000001,2230,0,0,0,0,0,0
6,壹阶县城,6,91000001,2780,0,0,0,0,0,0
7,贰阶县城,7,91000001,3430,0,0,0,0,0,0
8,叁阶县城,8,91000001,4180,0,0,0,0,0,0
9,肆阶县城,9,91000001,5030,102,冶炼坊,0,0,0,0
10,伍阶县城,10,91000001,5980,0,0,0,0,0,0
11,壹阶郡城,11,91000001,7030,0,0,0,0,0,0
12,贰阶郡城,12,91000001,8180,0,0,0,0,0,0
13,叁阶郡城,13,91000001,9430,0,0,0,0,0,0
14,肆阶郡城,14,91000001,10780,103,淬火间,0,0,0,0
15,伍阶郡城,15,91000001,12230,0,0,0,0,0,0
16,壹阶州城,16,91000001,13780,0,0,0,0,0,0
17,贰阶州城,17,91000001,15430,0,0,0,0,0,0
18,叁阶州城,18,91000001,17180,303,浇筑房,0,0,0,0
19,肆阶州城,19,91000001,19030,0,0,0,0,0,0
20,伍阶州城,20,91000001,20980,0,0,0,0,0,0
21,壹阶都城,21,91000001,23030,0,0,0,0,0,0
22,贰阶都城,22,91000001,25180,104,冷锻房,0,0,0,0
23,叁阶都城,23,91000001,27430,0,0,0,0,0,0
24,肆阶都城,24,91000001,29780,0,0,0,0,0,0
25,伍阶都城,25,91000001,32230,0,0,0,0,0,0
26,皇城,26,91000001,34780,201,秘书阁,0,0,0,0
27,皇城,27,91000001,37430,0,0,0,0,0,0
28,皇城,28,91000001,40180,0,0,0,0,0,0
29,皇城,29,91000001,43030,0,0,0,0,0,0
30,皇城,30,91000001,45980,202,司天台,0,0,0,0
31,皇城,31,91000001,49030,0,0,0,0,0,0
32,皇城,32,91000001,52180,0,0,0,0,0,0
33,皇城,33,91000001,55430,203,钦天监,0,0,0,0
34,皇城,34,91000001,58780,0,0,0,0,0,0
35,皇城,35,91000001,62230,0,0,0,0,0,0
36,皇城,36,91000001,65780,304,范铸房,0,0,0,0
37,皇城,37,91000001,69430,0,0,0,0,0,0
38,皇城,38,91000001,73180,0,0,0,0,0,0
39,皇城,39,91000001,77030,105,热锻房,0,0,0,0
40,皇城,40,91000001,80980,0,0,0,0,0,0
41,皇城,41,91000001,85030,0,0,0,0,0,0
42,皇城,42,91000001,89180,204,观星台,0,0,0,0
43,皇城,43,91000001,93430,0,0,0,0,0,0
44,皇城,44,91000001,97780,0,0,0,0,0,0
45,皇城,45,91000001,102230,305,冷却室,0,0,0,0
46,皇城,46,91000001,106780,0,0,0,0,0,0
47,皇城,47,91000001,111430,0,0,0,0,0,0
48,皇城,48,91000001,116180,106,铸造间,0,0,0,0
49,皇城,49,91000001,121030,0,0,0,0,0,0
50,皇城,50,91000001,125980,0,0,0,0,0,0
51,皇城,51,91000001,131030,205,浑仪监,0,0,0,0
52,皇城,52,91000001,136180,0,0,0,0,0,0
53,皇城,53,91000001,141430,0,0,0,0,0,0
54,皇城,54,91000001,146780,306,打磨室,0,0,0,0
55,皇城,55,91000001,152230,0,0,0,0,0,0
56,皇城,56,91000001,157780,0,0,0,0,0,0
57,皇城,57,91000001,163430,206,浑天院,0,0,0,0
58,皇城,58,91000001,169180,0,0,0,0,0,0
59,皇城,59,91000001,175030,0,0,0,0,0,0
60,皇城,60,91000001,180980,0,0,0,0,0,0
61,皇城,61,91000001,187030,0,0,0,0,0,0
62,皇城,62,91000001,193180,0,0,0,0,0,0
63,皇城,63,91000001,199430,0,0,0,0,0,0
64,皇城,64,91000001,205780,0,0,0,0,0,0
65,皇城,65,91000001,212230,0,0,0,0,0,0
66,皇城,66,91000001,218780,0,0,0,0,0,0
67,皇城,67,91000001,225430,0,0,0,0,0,0
68,皇城,68,91000001,232180,0,0,0,0,0,0
69,皇城,69,91000001,239030,0,0,0,0,0,0
70,皇城,70,91000001,245980,0,0,0,0,0,0
71,皇城,71,91000001,253030,0,0,0,0,0,0
72,皇城,72,91000001,260180,0,0,0,0,0,0
73,皇城,73,91000001,267430,0,0,0,0,0,0
74,皇城,74,91000001,274780,0,0,0,0,0,0
75,皇城,75,91000001,282230,0,0,0,0,0,0
76,皇城,76,91000001,289780,0,0,0,0,0,0
77,皇城,77,91000001,297430,0,0,0,0,0,0
78,皇城,78,91000001,305180,0,0,0,0,0,0
79,皇城,79,91000001,313030,0,0,0,0,0,0
80,皇城,80,91000001,320980,0,0,0,0,0,0
