id,location,npcid,npcname,type,npcicon,background,storyid,say,nexte,position,soundtime,cdtime,probability,item,itemnum,open,close
1,14,100,沉鱼,2,1000,0,1000101,奖励邮件都会通过驿站发送给您，别忘了查收。,0,1,1,60,50,0,0,1,60
2,14,100,沉鱼,1,1000,0,1000201,传闻关羽勇冠三军，单挑无人能敌！,0,1,10,15,50,0,0,1,60
3,14,100,沉鱼,1,1000,0,1000301,不要忘了每日签到哟，奖品可不是摆设~,0,1,11,15,50,0,0,1,60
4,15,105,雁翎,1,1000,0,1050101,完成主线剧情，能获取大量奖励。,0,1,12,15,50,0,0,1,60
5,15,105,雁翎,1,1000,0,1050201,周瑜雄烈，擅长群战，是推图利器！,0,1,13,15,50,0,0,1,60
6,15,105,雁翎,2,1000,0,1050301,关卡除了战斗，还可以通过谈判过关。,0,1,1,60,50,0,0,1,60
7,16,101,贾书生,1,1000,0,1010101,据说，武将升星可以提升必杀技的等级。,0,1,14,15,50,0,0,1,60
8,16,101,贾书生,1,1000,0,1010201,内政厅征收可以快速获得资源货币。,0,1,15,15,50,0,0,1,60
9,16,101,贾书生,2,1000,0,1010301,有个节目叫“爸爸去哪儿”，影响太恶劣了，带娃出去了，难道就不怕姓王的邻居？,0,1,1,60,50,0,0,1,60
10,17,102,白富美,2,1000,0,1020101,充值可以提高VIP等级，获得更多特权。比如说，妹子的青睐~,0,1,1,60,50,0,0,1,60
11,17,102,白富美,1,1000,0,1020201,后宫美女不光养眼，还能增加战斗力。,0,1,10,15,50,0,0,1,60
12,17,102,白富美,1,1000,0,1020301,招贤每天都有免费次数，不用太可惜了。,0,1,11,15,50,0,0,1,60
13,17,102,白富美,2,1000,0,1020401,这世道可真是闹心呀~,1020404,1,1,60,50,0,0,1,60
14,18,103,元芳,2,1000,0,1030101,曾经有个傻逼大人总喜欢问我怎么看！,1030104,1,1,60,50,0,0,1,60
15,18,103,元芳,1,1000,0,1030201,唉~万事开头难，中间也难，最后更难！,0,1,12,15,50,0,0,1,60
16,18,103,元芳,1,1000,0,1030301,岁月是把杀猪刀，仅仅针对那些长得好看的。,0,1,13,15,50,0,0,1,60
17,18,103,元芳,1,1000,0,1030401,哪有什么选择恐惧症，还不是因为穷。,0,1,14,15,50,0,0,1,60
18,18,103,元芳,2,1000,0,1030501,来来来，干了这碗鸡汤。,1030502,1,1,60,50,0,0,1,60
19,19,104,老王,1,1000,0,1040101,自从“王叔叔”火了，都没人和我做邻居了。,0,1,15,15,50,0,0,1,60
20,19,104,老王,2,1000,0,1040201,“爸爸去哪儿”真是个好节目，可惜岁月不饶人呐，我这腰越来越不经用了。,0,1,1,60,50,0,0,1,60
21,19,104,老王,1,1000,0,1040301,其实，干我这行的，就一个要点：房要多！,0,1,10,15,50,0,0,1,60
22,19,104,老王,2,1000,0,1040401,大事不好，大事不妙啊！,1040404,1,1,60,50,0,0,1,60
