id,type,category,officer,officernum,officertype,topmod,npclv,npcquality,npcstar,armquality,armlv,npctitle,heroweaponlv,npc1,armtype1,npc2,armtype2,npc3,armtype3,npc4,armtype4,npc5,armtype5,npc6,armtype6,npc7,armtype7,npc8,armtype8,npc9,armtype9,npc10,armtype10,tabletype1,tablevalue1,num1,tabletype2,tablevalue2,num2,tabletype3,tablevalue3,num3,tabletype4,tablevalue4,num4,tabletype5,tablevalue5,num5
1,1,2,1,3,3,2009,36,8,0,0,0,0,1,4004,21006,3010,11006,1002,31006,2006,31005,3007,31006,0,0,0,0,0,0,0,0,0,0,6,24908,5,7,1868,5,8,623,5,9,1868,5,10,623,5
2,1,2,1,3,2,2009,36,8,0,0,0,0,1,1004,12006,4001,31006,1009,22006,2009,22005,3006,22006,0,0,0,0,0,0,0,0,0,0,6,24908,5,7,1868,5,8,623,5,9,1868,5,10,623,5
3,1,2,1,3,1,2009,36,8,0,0,0,0,1,2007,22006,1006,32006,1005,12005,3002,12006,2008,11006,0,0,0,0,0,0,0,0,0,0,6,24908,5,7,1868,5,8,623,5,9,1868,5,10,623,5
4,1,2,2,3,3,2008,35,8,0,0,0,0,1,4004,21006,3010,11006,2002,31005,2010,32006,3005,32006,0,0,0,0,0,0,0,0,0,0,6,23409,5,7,1756,5,8,585,5,9,1756,5,10,585,5
5,1,2,2,3,2,2008,35,8,0,0,0,0,1,1004,12006,4001,31006,1009,22006,3004,21006,3006,22006,0,0,0,0,0,0,0,0,0,0,6,23409,5,7,1756,5,8,585,5,9,1756,5,10,585,5
6,1,2,2,3,1,2008,35,8,0,0,0,0,1,2007,22006,1006,32006,1005,12005,3002,12006,2008,11006,0,0,0,0,0,0,0,0,0,0,6,23409,5,7,1756,5,8,585,5,9,1756,5,10,585,5
7,1,2,3,3,3,2005,34,7,0,0,0,0,1,4004,21006,3010,11006,3007,31006,2005,32006,4003,32005,0,0,0,0,0,0,0,0,0,0,6,21909,5,7,1643,5,8,548,5,9,1643,5,10,548,5
8,1,2,3,3,2,2005,34,7,0,0,0,0,1,1004,12006,4001,31006,1009,22006,1001,21006,3006,22006,0,0,0,0,0,0,0,0,0,0,6,21909,5,7,1643,5,8,548,5,9,1643,5,10,548,5
9,1,2,3,3,1,2005,34,7,0,0,0,0,1,2007,22006,1006,32006,1005,12005,3002,12006,2008,11006,0,0,0,0,0,0,0,0,0,0,6,21909,5,7,1643,5,8,548,5,9,1643,5,10,548,5
10,1,2,4,3,3,2006,33,7,0,0,0,0,1,4004,21006,3010,11006,1002,31006,2006,31005,4003,32005,0,0,0,0,0,0,0,0,0,0,6,20406,5,7,1530,5,8,510,5,9,1530,5,10,510,5
11,1,2,4,3,2,2006,33,7,0,0,0,0,1,1004,12006,4001,31006,3004,21006,1001,21006,1003,21005,0,0,0,0,0,0,0,0,0,0,6,20406,5,7,1530,5,8,510,5,9,1530,5,10,510,5
12,1,2,4,3,1,2006,33,7,0,0,0,0,1,2007,22006,1006,32006,3003,11005,3002,12006,2001,11005,0,0,0,0,0,0,0,0,0,0,6,20406,5,7,1530,5,8,510,5,9,1530,5,10,510,5
13,1,2,5,3,3,2007,32,7,0,0,0,0,1,4004,21006,3010,11006,3007,31006,2005,32006,2010,32006,0,0,0,0,0,0,0,0,0,0,6,19113,5,7,1433,5,8,478,5,9,1433,5,10,478,5
14,1,2,5,3,2,2007,32,7,0,0,0,0,1,1004,12006,4001,31006,1009,22006,1003,21005,3006,22006,0,0,0,0,0,0,0,0,0,0,6,19113,5,7,1433,5,8,478,5,9,1433,5,10,478,5
15,1,2,5,3,1,2007,32,7,0,0,0,0,1,2007,22006,1006,32006,3002,12006,2008,11006,3003,11005,0,0,0,0,0,0,0,0,0,0,6,19113,5,7,1433,5,8,478,5,9,1433,5,10,478,5
16,1,2,6,3,3,2010,31,7,0,0,0,0,1,1002,31006,2002,31005,2006,31005,3007,31006,2005,32006,2010,32006,3005,32006,4003,32005,0,0,0,0,6,17820,5,7,1337,5,8,446,5,9,1337,5,10,446,5
17,1,2,6,3,2,2010,31,7,0,0,0,0,1,1007,12006,4010,12006,1005,12005,3002,12006,2001,11005,2003,11006,2008,11006,3003,11005,3009,11004,0,0,6,17820,5,7,1337,5,8,446,5,9,1337,5,10,446,5
18,1,2,6,3,1,2010,31,7,0,0,0,0,1,1009,22006,2009,22005,3006,22006,3004,21006,1001,21006,1003,21005,4009,21006,0,0,0,0,0,0,6,17820,5,7,1337,5,8,446,5,9,1337,5,10,446,5
19,1,2,7,3,3,2002,30,7,0,0,0,0,1,1002,31006,2002,31005,2006,31005,3007,31006,2005,32006,2010,32006,3005,32006,4003,32005,0,0,0,0,6,16523,5,7,1239,5,8,413,5,9,1239,5,10,413,5
20,1,2,7,3,2,2002,30,7,0,0,0,0,1,1007,12006,4010,12006,1005,12005,3002,12006,2001,11005,2003,11006,2008,11006,3003,11005,3009,11004,0,0,6,16523,5,7,1239,5,8,413,5,9,1239,5,10,413,5
21,1,2,7,3,1,2002,30,7,0,0,0,0,1,1009,22006,2009,22005,3006,22006,3004,21006,1001,21006,1003,21005,4009,21006,0,0,0,0,0,0,6,16523,5,7,1239,5,8,413,5,9,1239,5,10,413,5
22,1,2,8,3,3,2003,29,6,0,0,0,0,1,1002,31006,2002,31005,2006,31005,3007,31006,2005,32006,2010,32006,3005,32006,4003,32005,0,0,0,0,6,18007,5,7,1350,5,8,450,5,9,1350,5,10,450,5
23,1,2,8,3,2,2003,29,6,0,0,0,0,1,1007,12006,4010,12006,1005,12005,3002,12006,2001,11005,2003,11006,2008,11006,3003,11005,3009,11004,0,0,6,18007,5,7,1350,5,8,450,5,9,1350,5,10,450,5
