id,name,icon,level,index,txt,skill1,skill_v1,skill2,skill_v2,skill3,skill_v3,skill4,skill_v4,upgrade_type1,upgrade_value1,upgrade_type2,upgrade_value2,upgrade_type3,upgrade_value3
500001,物理符文1,rune001,1,1,攻速极快/散射攻击,50000101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500002,物理符文2,rune002,1,2,攻速极快/单体攻击,50000101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500003,物理符文3,rune003,1,3,攻速极快/单体攻击,50000101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500004,物理符文4,rune004,1,4,攻速极快/单体攻击,50000101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500005,物理符文5,rune005,1,5,攻速极快/单体攻击,50000101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500006,物理符文6,rune006,1,6,攻速极快/单体攻击,50000101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500007,物理符文7,rune007,1,1,攻速极快/单体攻击,50000101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500008,物理符文8,rune008,1,2,攻速极快/单体攻击,50000101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500009,物理符文9,rune001,1,3,攻速极快/单体攻击,50000101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500010,物理符文10,rune002,1,4,暂无/暂无,50000101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500011,物理符文11,rune003,1,5,暂无/暂无,50000101,1,50000102,1,0,0,0,0,0,0,0,0,99,1000
500012,物理符文12,rune004,1,6,暂无/暂无,50000101,1,50000102,1,0,0,0,0,0,0,0,0,99,1000
500013,物理符文13,rune005,1,1,暂无/暂无,50000101,1,50000102,1,0,0,0,0,0,0,0,0,99,1000
500014,物理符文14,rune006,1,2,暂无/暂无,50000101,1,50000102,1,0,0,0,0,0,0,0,0,99,1000
500015,物理符文15,rune007,1,3,暂无/暂无,50000101,1,50000102,1,0,0,0,0,0,0,0,0,99,1000
500016,物理符文16,rune008,1,4,攻速极快/单体攻击,50000101,1,50000102,1,0,0,0,0,0,0,0,0,99,1000
500017,物理符文17,rune001,1,5,攻速极快/单体攻击,50000101,1,50000102,1,0,0,0,0,0,0,0,0,99,1000
500018,物理符文18,rune002,1,6,攻速极快/单体攻击,50000101,1,50000102,1,0,0,0,0,0,0,0,0,99,1000
500019,物理符文19,rune003,1,1,攻速极快/单体攻击,50000101,1,50000102,1,0,0,0,0,0,0,0,0,99,1000
500020,物理符文20,rune004,1,2,攻速极快/弹射攻击,50000101,1,50000102,1,0,0,0,0,0,0,0,0,99,1000
500101,魔法符文1,rune005,2,3,攻速极快/弹射攻击,50010101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500102,魔法符文2,rune006,2,4,攻速极快/散射攻击,50010101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500103,魔法符文3,rune007,2,5,攻速极快/散射攻击,50010101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500104,魔法符文4,rune008,2,6,暂无/暂无,50010101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500105,魔法符文5,rune001,2,1,暂无/暂无,50010101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500106,魔法符文6,rune002,2,2,暂无/暂无,50010101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500107,魔法符文7,rune003,2,3,暂无/暂无,50010101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500108,魔法符文8,rune004,2,4,暂无/暂无,50010101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500109,魔法符文9,rune005,2,5,暂无/暂无,50010101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500110,魔法符文10,rune006,2,6,攻速极快/范围攻击,50010101,1,0,0,0,0,0,0,0,0,0,0,99,1000
500111,魔法符文11,rune007,2,1,攻速极快/范围攻击,50010101,1,50010102,1,0,0,0,0,0,0,0,0,99,1000
500112,魔法符文12,rune008,2,2,攻速极快/单体攻击,50010101,1,50010102,1,0,0,0,0,0,0,0,0,99,1000
500113,魔法符文13,rune001,2,3,攻速极快/单体攻击,50010101,1,50010102,1,0,0,0,0,0,0,0,0,99,1000
500114,魔法符文14,rune002,2,4,攻速极快/单体攻击,50010101,1,50010102,1,0,0,0,0,0,0,0,0,99,1000
500115,魔法符文15,rune003,2,5,攻速极快/单体攻击,50010101,1,50010102,1,0,0,0,0,0,0,0,0,99,1000
500116,魔法符文16,rune004,2,6,攻速极快/溅射攻击,50010101,1,50010102,1,0,0,0,0,0,0,0,0,99,1000
500117,魔法符文17,rune005,2,1,攻速极快/溅射攻击,50010101,1,50010102,1,0,0,0,0,0,0,0,0,99,1000
500118,魔法符文18,rune006,2,2,暂无/暂无,50010101,1,50010102,1,0,0,0,0,0,0,0,0,99,1000
500119,魔法符文19,rune007,2,3,暂无/暂无,50010101,1,50010102,1,0,0,0,0,0,0,0,0,99,1000
500120,魔法符文20,rune008,2,4,暂无/暂无,50010101,1,50010102,1,0,0,0,0,0,0,0,0,99,1000
500201,辅助符文1,rune001,3,5,暂无/暂无,50010201,1,0,0,0,0,0,0,0,0,0,0,99,1000
500202,辅助符文2,rune002,3,6,暂无/暂无,50010201,1,0,0,0,0,0,0,0,0,0,0,99,1000
500203,辅助符文3,rune003,3,1,暂无/暂无,50010201,1,0,0,0,0,0,0,0,0,0,0,99,1000
500204,辅助符文4,rune004,3,2,暂无/暂无,50010201,1,0,0,0,0,0,0,0,0,0,0,99,1000
500205,辅助符文5,rune005,3,3,暂无/暂无,50010201,1,0,0,0,0,0,0,0,0,0,0,99,1000
500206,辅助符文6,rune006,3,4,暂无/暂无,50010201,1,0,0,0,0,0,0,0,0,0,0,99,1000
500207,辅助符文7,rune007,3,5,暂无/暂无,50010201,1,0,0,0,0,0,0,0,0,0,0,99,1000
500208,辅助符文8,rune008,3,6,暂无/暂无,50010201,1,0,0,0,0,0,0,0,0,0,0,99,1000
500209,辅助符文9,rune001,3,1,暂无/暂无,50010201,1,0,0,0,0,0,0,0,0,0,0,99,1000
500210,辅助符文10,rune002,3,2,暂无/暂无,50010201,1,0,0,0,0,0,0,0,0,0,0,99,1000
500211,辅助符文11,rune003,3,3,暂无/暂无,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
500212,辅助符文12,rune004,3,4,暂无/暂无,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
500213,辅助符文13,rune005,3,5,暂无/暂无,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
500214,辅助符文14,rune006,3,6,暂无/暂无,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
500215,辅助符文15,rune007,3,1,暂无/暂无,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
500216,辅助符文16,rune008,3,2,暂无/暂无,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
500217,辅助符文17,rune001,3,3,暂无/暂无,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
500218,辅助符文18,rune002,3,4,暂无/暂无,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
500219,辅助符文19,rune003,3,5,暂无/暂无,50010201,1,50010202,1,0,0,0,0,0,0,0,0,99,1000
