id,type,item1,num1,item2,num2,item3,num3,item4,num4,item5,num5,rune1,random1,probability1,rune2,random2,probability2,rune3,random3,probability3
1,1,30101001,1,30102001,1,0,0,0,0,0,0,500001,0,7500,500101,0,2000,500011,0,500
2,1,30101001,1,30102001,1,30103001,1,0,0,0,0,500002,0,7500,500102,0,2000,500012,0,500
3,1,30101001,1,30102001,1,30103001,1,30103001,1,0,0,500003,0,7500,500103,0,2000,500013,0,500
4,1,30101001,1,30102001,1,30103001,1,30103001,1,30103001,1,500004,0,7500,500104,0,2000,500014,0,500
5,1,30102001,1,30102001,1,30103001,1,30103001,1,30103001,1,500005,0,7500,500105,0,2000,500015,0,500
6,2,31000102,20,30101001,5,30103001,5,30105001,2,0,0,20001012,201011,7500,20001013,201012,2000,20001014,201013,500
7,2,31000102,20,30101001,5,30104001,5,30106001,2,0,0,20001022,202011,7500,20001023,202012,2000,20001024,202013,500
8,2,31000102,20,30101001,5,30104001,5,30105001,2,0,0,20001032,203011,7500,20001033,203012,2000,20001034,203013,500
9,2,31000102,20,30101001,5,30103001,5,30106001,2,0,0,20001042,204011,7500,20001043,204012,2000,20001044,204013,500
10,2,31000102,20,30103001,5,30104001,5,30105001,2,0,0,21001012,211011,7500,21001013,211012,2000,21001014,211013,500
11,2,31000102,20,30103001,5,30101001,5,30106001,2,0,0,21001022,212011,7500,21001023,212012,2000,21001024,212013,500
12,2,31000102,20,30103001,5,30101001,5,30105001,2,0,0,21001032,213011,7500,21001033,213012,2000,21001034,213013,500
13,2,31000102,20,30103001,5,30104001,5,30106001,2,0,0,21001042,214011,7500,21001043,214012,2000,21001044,214013,500
14,2,31000102,20,30102001,5,30101001,5,30105001,2,0,0,22001012,221011,7500,22001013,221012,2000,22001014,221013,500
15,2,31000102,20,30102001,5,30104001,5,30106001,2,0,0,22001022,222011,7500,22001023,222012,2000,22001024,222013,500
16,2,31000102,20,30102001,5,30104001,5,30105001,2,0,0,22001032,223011,7500,22001033,223012,2000,22001034,223013,500
17,2,31000102,20,30102001,5,30101001,5,30106001,2,0,0,22001042,224011,7500,22001043,224012,2000,22001044,224013,500
