id,type,item1,item2,rune1,probability1,rune2,probability2,rune3,probability3
1,1,0,1000,500001,7500,500101,2000,500011,500
2,1,1001,10000,500002,7500,500102,2000,500012,500
3,1,10001,100000,500003,7500,500103,2000,500013,500
4,1,100001,1000000,500003,7500,500104,2000,500014,500
5,1,1000001,999999999,500005,7500,500105,2000,500015,500
6,2,0,1000,20000001,7500,20000011,2000,20010001,500
7,2,1001,10000,20000002,7500,20000012,2000,20010002,500
8,2,10001,100000,20000003,7500,20000013,2000,20010003,500
9,2,100001,1000000,20000006,7500,20000016,2000,20010001,500
10,2,1000001,999999999,20000011,7500,20000011,2000,20010002,500
