sequence,bag,probability1,hero,item,probability2,num,probability3,starttime,endtime
1,101,1,elogo11100401.png,11100401,1,1,0,0,0
2,102,0,elogo11100601.png,11100601,1,1,0,0,0
3,103,0,elogo11200701.png,11200701,1,1,0,0,0
4,104,0,elogo11301001.png,11301001,1,1,0,0,0
5,105,0,elogo11400101.png,11400101,1,1,0,0,0
6,106,0,elogo11400401.png,11400401,1,1,0,0,0
7,901,0,elogo11100401.png,11100401,1,1,0,201703020500,201704020500
8,902,0,elogo11100601.png,11100601,1,1,0,201704030500,201705030500
9,2,4300,0,23000005,255,1,0,0,0
10,2,0,0,23110005,255,1,0,0,0
11,2,0,0,23120005,255,1,0,0,0
12,2,0,0,23130005,255,1,0,0,0
13,2,0,0,23210005,255,1,0,0,0
14,2,0,0,23220005,255,1,0,0,0
15,2,0,0,23230005,255,1,0,0,0
16,2,0,0,23310005,255,1,0,0,0
17,2,0,0,23320005,255,1,0,0,0
18,2,0,0,23330005,255,1,0,0,0
19,2,0,0,23000006,225,1,0,0,0
20,2,0,0,23110006,225,1,0,0,0
21,2,0,0,23120006,225,1,0,0,0
22,2,0,0,23130006,225,1,0,0,0
23,2,0,0,23210006,225,1,0,0,0
24,2,0,0,23220006,225,1,0,0,0
25,2,0,0,23230006,225,1,0,0,0
26,2,0,0,23310006,225,1,0,0,0
27,2,0,0,23320006,225,1,0,0,0
28,2,0,0,23330006,225,1,0,0,0
29,2,0,0,23000007,195,1,0,0,0
30,2,0,0,23110007,195,1,0,0,0
31,2,0,0,23120007,195,1,0,0,0
32,2,0,0,23130007,195,1,0,0,0
33,2,0,0,23210007,195,1,0,0,0
34,2,0,0,23220007,195,1,0,0,0
35,2,0,0,23230007,195,1,0,0,0
36,2,0,0,23310007,195,1,0,0,0
37,2,0,0,23320007,195,1,0,0,0
38,2,0,0,23330007,195,1,0,0,0
39,2,0,0,23000008,180,1,0,0,0
40,2,0,0,23000009,150,1,0,0,0
41,2,0,0,23000010,150,1,0,0,0
42,2,0,0,23000011,135,1,0,0,0
43,2,0,0,23000012,120,1,0,0,0
44,2,0,0,23000013,120,1,0,0,0
45,2,0,0,23000014,105,1,0,0,0
46,2,0,0,23000015,105,1,0,0,0
47,2,0,0,12100401,4,5,0,0,0
48,2,0,0,12100601,4,5,0,0,0
49,2,0,0,12200701,4,5,0,0,0
50,2,0,0,12301001,4,5,0,0,0
51,2,0,0,12400101,4,5,0,0,0
52,2,0,0,12400401,4,5,0,0,0
53,3,1800,0,71000003,10,1,0,0,0
54,3,0,0,71000004,2,1,0,0,0
55,3,0,0,76000003,10,1,0,0,0
56,3,0,0,76000004,4,1,0,0,0
57,3,0,0,76000005,1,1,0,0,0
58,3,0,0,76000006,1,1,0,0,0
59,3,0,0,81900001,2,1,0,0,0
60,4,3200,0,23120005,9,2,0,0,0
61,4,0,0,23130005,9,2,0,0,0
62,4,0,0,23210005,9,2,0,0,0
63,4,0,0,23220005,9,2,0,0,0
64,4,0,0,23230005,9,2,0,0,0
65,4,0,0,23310005,9,2,0,0,0
66,4,0,0,23320005,9,2,0,0,0
67,4,0,0,23330005,9,2,0,0,0
68,4,0,0,23000006,8,2,0,0,0
69,4,0,0,23110006,8,2,0,0,0
70,4,0,0,23120006,8,2,0,0,0
71,4,0,0,23130006,8,2,0,0,0
72,4,0,0,23210006,8,2,0,0,0
73,4,0,0,23220006,8,2,0,0,0
74,4,0,0,23230006,8,2,0,0,0
75,4,0,0,23310006,8,2,0,0,0
76,4,0,0,23320006,8,2,0,0,0
77,4,0,0,23330006,8,2,0,0,0
78,4,0,0,23000007,7,2,0,0,0
79,4,0,0,23110007,7,2,0,0,0
80,4,0,0,23120007,7,2,0,0,0
81,4,0,0,23130007,7,2,0,0,0
82,4,0,0,23210007,7,2,0,0,0
83,4,0,0,23220007,7,2,0,0,0
84,4,0,0,23230007,7,2,0,0,0
85,4,0,0,23310007,7,2,0,0,0
86,4,0,0,23320007,7,2,0,0,0
87,4,0,0,23330007,7,2,0,0,0
88,4,0,0,23000008,6,2,0,0,0
89,4,0,0,23000009,5,2,0,0,0
90,4,0,0,23000010,5,2,0,0,0
91,4,0,0,23000011,5,2,0,0,0
92,4,0,0,23000012,4,2,0,0,0
93,4,0,0,23000013,4,2,0,0,0
94,4,0,0,23000014,4,2,0,0,0
95,4,0,0,23000015,4,2,0,0,0
96,5,699,0,71000003,5,2,0,0,0
97,5,0,0,71000004,1,2,0,0,0
98,5,0,0,76000003,5,2,0,0,0
99,5,0,0,76000004,2,2,0,0,0
100,5,0,0,76000005,1,2,0,0,0
101,5,0,0,76000006,1,2,0,0,0
102,5,0,0,81900001,2,1,0,0,0
