id,dec,str
1,STR_UIERROR,获取数据错误!
2,,无
3,STR_UIPUBLIC_SYS_NOT_OPEN,功能暂未开启
4,STR_UIPUBLIC_TIPS,提示
5,STR_UIPUBLIC_NOt_HAVE,不存在
6,STR_UIPUBLIC_CAMP_1,圣堂
7,STR_UIPUBLIC_CAMP_2,帝国
8,STR_UIPUBLIC_CAMP_3,联邦
9,STR_UIPUBLIC_OPEN,开启
10,STR_UIPUBLIC_CLOSE,关闭
11,STR_UIPUBLIC_TOCLOSE,%s后关闭
12,STR_UIPUBLIC_CANCEL,取消
13,STR_UIPUBLIC_ENSURE,确定
14,STR_UIPUBLIC_YES,是
15,STR_UIPUBLIC_NO,否
16,STR_UIPUBLIC_EXCHANGE,兑换
17,STR_UIPUBLIC_CAN_GET,可领取
18,STR_UIPUBLIC_HAS_GET,已领取
19,STR_UIPUBLIC_HAS_GET_ALL,已经领取
20,STR_UIPUBLIC_NEED_TO_GET,达到%d级可领取
21,STR_UIPUBLIC_GET,领取
22,STR_UIPUBLIC_IS_OPEN,已开启
23,STR_UIPUBLIC_NOT_OPEN,未开启
24,STR_UIPUBLIC_LOCK,锁住
25,STR_UIPUBLIC_RULE,规则说明
26,STR_UIPUBLIC_TIME_OPEN,%s天后开启
27,STR_UIPUBLIC_LV_OPEN,%d级开启
28,STR_UIPUBLIC_TIME_CLOSE,%s后结束
29,STR_UIPUBLIC_SWEEP,扫 荡
30,STR_UIPUBLIC_GOTO_LOOK,前往查看
31,STR_UIPUBLIC_GOTO_RECHARGE,前往充值
32,STR_UIPUBLIC_GO,前往
33,STR_UIPUBLIC_REFRESH_SUCCESS,刷新成功
34,STR_UIPUBLIC_FREE_REFRESH,免费刷新
35,STR_UIPUBLIC_CHALLENGE_NOT_ENOUGH,挑战次数不足
36,STR_UIPUBLIC_CELL_NOT_ENOUGH,道具不足！
37,STR_UIPUBLIC_FIRST_PASS,首通奖励
38,STR_UIPUBLIC_NOT_IN_RANK,未上榜
39,STR_UIPUBLIC_TODAY_COUNT_FINISH,今日次数已用完
40,STR_UIPUBLIC_CUR_FREE,本次免费
41,STR_UIPUBLIC_IS_COST,是否花费%d
42,STR_UIPUBLIC_IS_COST_DIAMOND,是否花费%d钻石购买
43,STR_UIPUBLIC_ITEM_NOT_ENOUGH,%s不足
44,STR_UIPUBLIC_BUY_MONEY,金币不足，是否前往炼金所
45,STR_UIPUBLIC_BUY_ENERGY,体力不足，是否前往诸神的祝福
46,STR_UIPUBLIC_BUY_VIP_MONEY,钻石不足，是否前往充值
47,STR_UIPUBLIC_NEED_DIAMONDS,钻石不足！
48,STR_UIPUBLIC_VIP_LV_NOT_ENOUGH,贵族等级不足！
49,STR_UIPUBLIC_BUY_VIP_EXP,贵族等级不足，是否前往充值
50,STR_UIPUBLIC_GVG_BUY_NEED,尚无购买次数，需提高贵族等级
51,STR_UIPUBLIC_VIP_LV_NEED,需要贵族等级达到%d级
52,STR_UIPUBLIC_VIP_IS_MAX,贵族等级已达到满级
53,STR_UIPUBLIC_VIP_SHOW,贵族
54,STR_UIPUBLIC_VIP_AWARD,贵族%d礼包
55,STR_UIPUBLIC_VIP_POWER,贵族%d特权
