id,syntheticid,description,synthetic_chance,synthetic_mid,scorelim,itemid,itemnum,itemdes,itemwt,scorevalue,itemscore
1,20001,假紫掉落组,9650,8000,1,11401202,1,密林智者,1,1,250
2,20001,假紫掉落组,0,0,0,11401102,1,神力之石,1,1,250
3,20001,假紫掉落组,0,0,0,11401002,1,贯天之箭,1,1,250
4,20001,假紫掉落组,0,0,0,11301202,1,暗之剑豪,1,1,250
5,20001,假紫掉落组,0,0,0,11301102,1,影之罗刹,1,1,250
6,20001,假紫掉落组,0,0,0,11301002,1,裁决判官,1,1,250
7,20001,假紫掉落组,0,0,0,11201302,1,燃魂之矛,1,1,250
8,20001,假紫掉落组,0,0,0,11201202,1,图腾之心,1,1,250
9,20001,假紫掉落组,0,0,0,11201102,1,异族女王,1,1,250
10,20001,假紫掉落组,0,0,0,11101502,1,魔导女爵,1,1,250
11,20001,假紫掉落组,0,0,0,11101402,1,狩魔鹰眼,1,1,250
12,20001,假紫掉落组,0,0,0,11101302,1,凯旋之歌,1,1,250
13,20001,假紫掉落组,0,0,0,11101202,1,北境之锤,1,1,250
14,20002,真紫掉落组,300,5000,3000,11400901,1,缚法旅者,1,1,500
15,20002,真紫掉落组,0,0,0,11400801,1,神峰守护,1,1,500
16,20002,真紫掉落组,0,0,0,11400701,1,绝世剑舞,1,1,500
17,20002,真紫掉落组,0,0,0,11400601,1,疾风剑客,1,1,500
18,20002,真紫掉落组,0,0,0,11400501,1,复苏术士,1,1,500
19,20002,真紫掉落组,0,0,0,11400401,1,幻林使者,1,1,500
20,20002,真紫掉落组,0,0,0,11400301,1,野性之眼,1,1,500
21,20002,真紫掉落组,0,0,0,11400201,1,秘林刺客,1,1,500
22,20002,真紫掉落组,0,0,0,11400101,1,神愈之光,1,1,500
23,20002,真紫掉落组,0,0,0,11300901,1,黑暗神官,1,1,500
24,20002,真紫掉落组,0,0,0,11300801,1,影域修罗,1,1,500
25,20002,真紫掉落组,0,0,0,11300701,1,幻影守卫,1,1,500
26,20002,真紫掉落组,0,0,0,11300601,1,驱雷之手,1,1,500
27,20002,真紫掉落组,0,0,0,11300501,1,圣王之手,1,1,500
28,20002,真紫掉落组,0,0,0,11300401,1,暗域行者,1,1,500
29,20002,真紫掉落组,0,0,0,11300301,1,雷鸣圣主,1,1,500
30,20002,真紫掉落组,0,0,0,11300201,1,风雷魔巫,1,1,500
31,20002,真紫掉落组,0,0,0,11300101,1,不朽剑魔,1,1,500
32,20002,真紫掉落组,0,0,0,11201601,1,峰峦霸主,1,1,500
33,20002,真紫掉落组,0,0,0,11201001,1,圣焰刀锋,1,1,500
34,20002,真紫掉落组,0,0,0,11200901,1,林中女巫,1,1,500
35,20002,真紫掉落组,0,0,0,11200801,1,圣焰王女,0,1,500
36,20002,真紫掉落组,0,0,0,11200701,1,胜利长枪,1,1,500
37,20002,真紫掉落组,0,0,0,11200601,1,赤炎之锤,1,1,500
38,20002,真紫掉落组,0,0,0,11200501,1,不屈战魂,1,1,500
39,20002,真紫掉落组,0,0,0,11200401,1,炎魂祭司,1,1,500
40,20002,真紫掉落组,0,0,0,11200301,1,燎原暗箭,1,1,500
41,20002,真紫掉落组,0,0,0,11200201,1,无畏之斧,1,1,500
42,20002,真紫掉落组,0,0,0,11200101,1,怒火狂刃,1,1,500
43,20002,真紫掉落组,0,0,0,11101801,1,武圣,1,1,500
44,20002,真紫掉落组,0,0,0,11101101,1,诸海之灾,1,1,500
45,20002,真紫掉落组,0,0,0,11101001,1,奇想学徒,1,1,500
46,20002,真紫掉落组,0,0,0,11100901,1,元素魔弓,1,1,500
47,20002,真紫掉落组,0,0,0,11100801,1,神谕信使,1,1,500
48,20002,真紫掉落组,0,0,0,11100701,1,怒涛守护,1,1,500
49,20002,真紫掉落组,0,0,0,11100601,1,贵族之刃,1,1,500
50,20002,真紫掉落组,0,0,0,11100501,1,不落之壁,1,1,500
51,20002,真紫掉落组,0,0,0,11100401,1,漫游之星,1,1,500
52,20002,真紫掉落组,0,0,0,11100301,1,秘银狩猎,1,1,500
53,20002,真紫掉落组,0,0,0,11100201,1,水占巫女,1,1,500
54,20002,真紫掉落组,0,0,0,11100101,1,天命骑士,1,1,500
55,20003,光明掉落组,1,5000,50000,11500601,1,宙斯,1,1,50000
56,20003,光明掉落组,0,0,0,11500401,1,黎明圣炎,1,1,50000
57,20003,光明掉落组,0,0,0,11500301,1,时序天使,1,1,50000
58,20003,光明掉落组,0,0,0,11500201,1,创世双子,0,1,50000
59,20003,光明掉落组,0,0,0,11500101,1,审判利刃,1,1,50000
60,20004,暗影掉落组,1,5000,50000,11600301,1,逆时之影,0,1,50000
61,20004,暗影掉落组,0,0,0,11600201,1,支配魔眼,1,1,50000
62,20004,暗影掉落组,0,0,0,11600101,1,暗域之炎,1,1,50000
