levelid,type,open1,open2,open3,speci,diffculty,level,front,personimage,name,descriptiont,talk,tips,award1,award2,award3,award4,item1,item2,item3
9101110,1,1,4,7,1,1,1,0,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101120,1,1,4,7,1,2,1,0,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101130,1,1,4,7,1,3,1,0,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101140,1,1,4,7,1,4,1,0,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101150,1,1,4,7,1,5,1,0,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101160,1,1,4,7,1,6,1,0,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101170,1,1,4,7,1,7,1,0,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101210,1,1,4,7,2,1,36,9101170,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101220,1,1,4,7,2,2,36,9101170,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101230,1,1,4,7,2,3,36,9101170,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101240,1,1,4,7,2,4,36,9101170,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101250,1,1,4,7,2,5,36,9101170,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101260,1,1,4,7,2,6,36,9101170,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101270,1,1,4,7,2,7,36,9101170,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101310,1,1,4,7,3,1,45,9101270,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101320,1,1,4,7,3,2,45,9101270,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101330,1,1,4,7,3,3,45,9101270,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
9101340,1,1,4,7,3,4,45,9101270,plogo1006_ggzj,七擒七纵,听说南疆的蛮子很不老实，咱们去好好调教一番。,射人先射马，擒贼先擒王。,教蛮军做人,81900001,91000001,76000002,0,81900001,91000001,76000002
