id,hero,cue,judgement,needlv,sound_des,sound_dra1,sound_dra2,sound_dra3,sound_dra4,sound_dra5,descriptiont,drama1,drama2,drama3,drama4,drama5,levelid1,need1,time1,levelid2,need2,time2,levelid3,need3,time3,levelid4,need4,time4,levelid5,need5,time5,levelid6,need6,time6,star1,box1,star2,box2,star3,box3
1,4008,0,0,0,Story/mingshi_ht_900_huatuo,Story/mingshi_ht_901_huatuo,Story/mingshi_ht_902_huatuo,Story/mingshi_ht_903_huatuo,Story/mingshi_ht_902_huatuo,Story/mingshi_ht_903_huatuo,有才华的人当然颜值也不会差啊，这个世界就是这么不公平。,外面太阳真大，还是宅在家里研究机关术比较有意思啊。,每天晚上我都会和孔明交流技巧，当然不是你想的那种啦。,我的机关术可以改变世界，但是男人们却只知道打打杀杀。,每天晚上我都会和孔明交流技巧，当然不是你想的那种啦。,我的机关术可以改变世界，但是男人们却只知道打打杀杀。,2201010,0,3,2201020,1,3,2201030,2,3,2201040,3,3,0,0,0,0,0,0,6,700001,12,700101,0,0
2,2003,通关华佗所有关卡后开启,2201040,0,VO_Hero/xunyu_pose,0,0,0,0,0,听说中原有个家伙皮肤是红色的，我们也算是难兄难弟了。,我是南疆王，你再南蛮、南蛮的叫，我可要生气了。,我怎么会自称南蛮王呢，难道会有人说自己是蛮夷吗？,最近南越的邻居很不安分，本王正准备去教训他们一下。,我怎么会自称南蛮王呢，难道会有人说自己是蛮夷吗？,最近南越的邻居很不安分，本王正准备去教训他们一下。,2202010,0,3,2202020,1,3,2202030,2,3,2202040,3,3,0,0,0,0,0,0,6,700001,12,700201,0,0
3,2006,通关荀彧所有关卡后开启,2202040,0,Story/mingshi_cr_900_caoren,Story/mingshi_cr_901_caoren,Story/mingshi_cr_902_caoren,Story/mingshi_cr_903_caoren,Story/mingshi_cr_902_caoren,Story/mingshi_cr_903_caoren,如果你是来找我交流守城心得的话，那可找对人了。,我研习了一套八门金锁阵，世上无人可破。,就算破了我的八门金锁阵，我还可以据守城池。,就算破了我的城池……等等，那是不可能的。,就算破了我的八门金锁阵，我还可以据守城池。,就算破了我的城池……等等，那是不可能的。,2203010,0,3,2203020,1,3,2203030,2,3,2203040,3,3,0,0,0,0,0,0,6,700001,12,700301,0,0
4,2005,通关曹仁所有关卡后开启,2203040,0,Story/mingshi_zl_900_zhangliao,Story/mingshi_zl_901_zhangliao,Story/mingshi_zl_902_zhangliao,Story/mingshi_zl_903_zhangliao,Story/mingshi_zl_902_zhangliao,Story/mingshi_zl_903_zhangliao,我堂堂东吴郡主，岂是你想见就能见的。,好怀念以前和大哥一起骑马射箭的日子啊。,二哥每天只知道看书学习，实在太没男子气概了。,刘皇叔……哎，傻傻的样子，不过人还挺好的。,二哥每天只知道看书学习，实在太没男子气概了。,刘皇叔……哎，傻傻的样子，不过人还挺好的。,2204010,0,3,2204020,1,3,2204030,2,3,2204040,3,3,0,0,0,0,0,0,6,700001,12,700401,0,0
5,1010,通关张辽所有关卡后开启,2204040,20,Story/mingshi_ssx_900_sunshangxiang,Story/mingshi_ssx_901_sunshangxiang,Story/mingshi_ssx_902_sunshangxiang,Story/mingshi_ssx_903_sunshangxiang,Story/mingshi_ssx_902_sunshangxiang,Story/mingshi_ssx_903_sunshangxiang,能动手绝不动口，我们南疆人就是这样。,还好孟获不是变成绿色……,我可是初始武将里最厉害的一个。,作为南疆唯一能打的，姐感到压力很大。,我可是初始武将里最厉害的一个。,作为南疆唯一能打的，姐感到压力很大。,2205010,0,3,2205020,1,3,2205030,2,3,2205040,3,3,0,0,0,0,0,0,6,700001,12,700501,0,0
6,2001,通关孙尚香所有关卡后开启,2205040,22,VO_Hero/zhenji_pose,0,0,0,0,0,战场上没有大义，但却有我所追寻的武者之道。,别再让我帮忙管教熊孩子了，我作为一名武者是有尊严的。,魏有张辽，吴有……啊，对不起，这个还真没有。,武者的最高荣誉，就是战死沙场，马革裹尸。,魏有张辽，吴有……啊，对不起，这个还真没有。,武者的最高荣誉，就是战死沙场，马革裹尸。,2206010,0,3,2206020,1,3,2206030,2,3,2206040,3,3,0,0,0,0,0,0,6,700001,12,700601,0,0
7,1005,通关甄姬所有关卡后开启,2206040,24,Story/mingshi_hz_900_huangzhong,Story/mingshi_hz_901_huangzhong,Story/mingshi_hz_902_huangzhong,Story/mingshi_hz_903_huangzhong,Story/mingshi_hz_901_huangzhong,Story/mingshi_hz_902_huangzhong,作为一名武将，要像爱惜自己的身体一样爱惜装备。,擦亮盔甲不光是为了好看，还能晃瞎敌人的眼睛。,酒可不是什么好东西，它会影响我对敌人身高的判断。,在乱世中，跟对人很重要，这点我深有体会。,酒可不是什么好东西，它会影响我对敌人身高的判断。,在乱世中，跟对人很重要，这点我深有体会。,2207010,0,3,2207020,1,3,2207030,2,3,2207040,3,3,0,0,0,0,0,0,6,700001,12,700701,0,0
8,1007,通关黄忠所有关卡后开启,2207040,26,VO_Hero/pangtong_pose,0,0,0,0,0,弹琴只是业余爱好，舞刀弄枪才是我的正业。,《胡笳十八拍》是我独创的刀法，一般人看了还以为是乐谱。,有些道理，必须靠大刀才能说清楚。,在匈奴那里，我学了不少特别的技巧。,有些道理，必须靠大刀才能说清楚。,在匈奴那里，我学了不少特别的技巧。,2208010,0,3,2208020,1,3,2208030,2,3,2208040,3,3,0,0,0,0,0,0,6,700001,12,700801,0,0
9,3005,通关庞统所有关卡后开启,2208040,28,VO_Hero/taishici_pose,0,0,0,0,0,听说西域有位探险家生吃羊眼，哼，真是弱爆了。,得罪我的人，都被我送去另一个世界了。,你再盯着我看，我就让你两只眼睛都闭上。,天妒英才，我一代美男夏侯惇，居然变成了独眼龙。,你再盯着我看，我就让你两只眼睛都闭上。,天妒英才，我一代美男夏侯惇，居然变成了独眼龙。,2209010,0,3,2209020,1,3,2209030,2,3,2209040,3,3,0,0,0,0,0,0,6,700001,12,700901,0,0
10,3003,通关太史慈所有关卡后开启,2209040,30,Story/mingshi_lm_900_lvmeng,Story/mingshi_lm_901_lvmeng,Story/mingshi_lm_902_lvmeng,Story/mingshi_lm_903_lvmeng,Story/mingshi_lm_901_lvmeng,Story/mingshi_lm_902_lvmeng,我听说有个叫关羽的家伙刀比我还快，肯定是吹牛的。,我最讨厌那些红红绿绿、颜色鲜艳的家伙了。,我的发型可是找西凉最有名的王师傅做的。,想当年我单刀匹马闯西凉，人送外号“荒漠屠夫”。,我的发型可是找西凉最有名的王师傅做的。,想当年我单刀匹马闯西凉，人送外号“荒漠屠夫”。,2210010,0,3,2210020,1,3,2210030,2,3,2210040,3,3,0,0,0,0,0,0,6,700001,12,701001,0,0
11,3004,通关吕蒙所有关卡后开启,2210040,32,VO_Hero/luxun_pose,0,0,0,0,0,居然能找上我，看来你的眼光还不错。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,2211010,0,3,2211020,1,3,2211030,2,3,2211040,3,3,0,0,0,0,0,0,6,700001,12,701101,0,0
12,1001,通关陆逊所有关卡后开启,2211040,34,VO_Hero/guanyu_pose,0,0,0,0,0,将军肝火太旺，快来碗82年的麻沸散压压惊吧。,脑残者无药可医也。,我曾寻访高句丽，在那里习得一套易容之术。,保持良好心态，就能青春常在。,我曾寻访高句丽，在那里习得一套易容之术。,保持良好心态，就能青春常在。,2212010,0,3,2212020,1,3,2212030,2,3,2212040,3,3,0,0,0,0,0,0,6,700001,12,701201,0,0
13,4008,通关关羽所有关卡后开启,2212040,36,Story/mingshi_ht_900_huatuo,Story/mingshi_ht_901_huatuo,Story/mingshi_ht_902_huatuo,Story/mingshi_ht_903_huatuo,Story/mingshi_ht_902_huatuo,Story/mingshi_ht_903_huatuo,居然能找上我，看来你的眼光还不错。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,2213010,0,3,2213020,1,3,2213030,2,3,2213040,3,3,0,0,0,0,0,0,6,700001,12,701301,0,0
14,2006,通关华佗所有关卡后开启,2213040,38,Story/mingshi_cr_900_caoren,Story/mingshi_cr_901_caoren,Story/mingshi_cr_902_caoren,Story/mingshi_cr_903_caoren,Story/mingshi_cr_902_caoren,Story/mingshi_cr_903_caoren,周郎养了一匹小马叫萌萌，这名字是不是特别可爱？,将军幸苦了，我们来玩点轻松愉快的吧。,曹操那个怪蜀黍，老是喜欢用奇怪的眼神盯着我看。,你喜欢听我的声音对吧？但我已经不知道该说什么了……,曹操那个怪蜀黍，老是喜欢用奇怪的眼神盯着我看。,你喜欢听我的声音对吧？但我已经不知道该说什么了……,2214010,0,3,2214020,1,3,2214030,2,3,2214040,3,3,0,0,0,0,0,0,6,700001,12,701401,0,0
15,1010,通关曹仁所有关卡后开启,2214040,40,Story/mingshi_ssx_900_sunshangxiang,Story/mingshi_ssx_901_sunshangxiang,Story/mingshi_ssx_902_sunshangxiang,Story/mingshi_ssx_903_sunshangxiang,Story/mingshi_ssx_902_sunshangxiang,Story/mingshi_ssx_903_sunshangxiang,居然能找上我，看来你的眼光还不错。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,2215010,0,3,2215020,1,3,2215030,2,3,2215040,3,3,0,0,0,0,0,0,6,700001,12,701501,0,0
16,1005,通关孙尚香所有关卡后开启,2215040,42,Story/mingshi_hz_900_huangzhong,Story/mingshi_hz_901_huangzhong,Story/mingshi_hz_902_huangzhong,Story/mingshi_hz_903_huangzhong,Story/mingshi_hz_901_huangzhong,Story/mingshi_hz_902_huangzhong,我在这里自说自话，又有谁会在意呢？,听说最近开始流行倭国传来的一种妆容，名曰杀马特。,道理我都懂，但为什么非要把我的头发染成白色呢？,白发无面纹，可是我的人气还是比不上妹妹啊。,道理我都懂，但为什么非要把我的头发染成白色呢？,白发无面纹，可是我的人气还是比不上妹妹啊。,2216010,0,3,2216020,1,3,2216030,2,3,2216040,3,3,0,0,0,0,0,0,6,700001,12,701601,0,0
17,3005,通关黄忠所有关卡后开启,2216040,44,VO_Hero/taishici_pose,0,0,0,0,0,居然能找上我，看来你的眼光还不错。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,2217010,0,3,2217020,1,3,2217030,2,3,2217040,3,3,0,0,0,0,0,0,6,700001,12,701701,0,0
18,2005,通关太史慈所有关卡后开启,2217040,46,Story/mingshi_zl_900_zhangliao,Story/mingshi_zl_901_zhangliao,Story/mingshi_zl_902_zhangliao,Story/mingshi_zl_903_zhangliao,Story/mingshi_zl_902_zhangliao,Story/mingshi_zl_903_zhangliao,居然能找上我，看来你的眼光还不错。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,2218010,0,3,2218020,1,3,2218030,2,3,2218040,3,3,0,0,0,0,0,0,6,700001,12,701801,0,0
19,4009,通关张辽所有关卡后开启,2218040,48,VO_Hero/pangde_pose,0,0,0,0,0,居然能找上我，看来你的眼光还不错。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,2219010,0,3,2219020,1,3,2219030,2,3,2219040,3,3,0,0,0,0,0,0,6,700001,12,701901,0,0
20,2001,通关庞德所有关卡后开启,2219040,50,VO_Hero/zhenji_pose,0,0,0,0,0,居然能找上我，看来你的眼光还不错。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,一言不合就开打，这就是名士风范。,2220010,0,3,2220020,1,3,2220030,2,3,2220040,3,3,0,0,0,0,0,0,6,700001,12,702001,0,0
