id,dec,min,max,item1,num1,item2,num2,item3,num3,item4,num4,type
1001,军团排行第1名：,1,1,91000025,300,91000001,50000,76000003,10,0,0,1
1002,军团排行第2名：,2,2,91000025,200,91000001,40000,76000003,8,0,0,1
1003,军团排行第3名：,3,3,91000025,100,91000001,30000,76000003,7,0,0,1
1004,军团排行第4名：,4,4,91000025,70,91000001,20000,76000003,6,0,0,1
1005,军团排行第5名：,5,5,91000025,50,91000001,10000,76000003,5,0,0,1
2001,个人排行第1名：,1,1,91000018,2000,91000001,100000,76000003,10,15100101,3,2
2002,个人排行第2名：,2,2,91000018,1900,91000001,90000,76000003,9,15100101,2,2
2003,个人排行第3名：,3,3,91000018,1800,91000001,90000,76000003,9,15100101,2,2
2004,个人排行第4名：,4,4,91000018,1700,91000001,80000,76000003,8,15100101,1,2
2005,个人排行第5名：,5,5,91000018,1600,91000001,80000,76000003,8,15100101,1,2
2006,个人排行第6名：,6,6,91000018,1500,91000001,70000,76000003,7,0,0,2
2007,个人排行第7名：,7,7,91000018,1400,91000001,70000,76000003,7,0,0,2
2008,个人排行第8名：,8,8,91000018,1300,91000001,60000,76000003,6,0,0,2
2009,个人排行第9名：,9,9,91000018,1200,91000001,60000,76000003,6,0,0,2
2010,个人排行第10名：,10,10,91000018,1100,91000001,60000,76000003,6,0,0,2
2011,个人排行第11-20名：,11,20,91000018,1000,91000001,50000,76000003,5,0,0,2
