id,npctype,teamshow,teamname,typesub,typeweight,timesprotect,npclvtable,npcteam,npcicon,npcmod1,heronpc1,armmod1,heronpc2,armmod2,heronpc3,armmod3,heronpc4,armmod4,heronpc5,armmod5,hpcorrect,attackcorrect,armorcorrect,magiccorrect,rescorrect,attackspeedcorrect,movespeedcorrect,hitcorrect,dodgecorrect,blockcorrect,phycritcorrect,magiccritcorrect,phycrittimescorrect,armorbreakcorrect,magicbreakcorrect,vampirecorrect,healcorrect,rageratecorrect,cablerangecorrect,initialangercorrect,physicaldamagecorrect,magichurtcorrect,immunitydamagecorrect,exp
1,1,1,普通步兵,3,10,0,0,1,3102,3102,310011,0,310012,0,310013,0,310014,0,310015,0,3000,3000,10,3000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
2,1,1,普通骑兵,2,10,0,0,3,2102,2102,210011,0,210012,0,210013,0,210014,0,210015,0,3000,3000,10,3000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
3,1,1,普通弓兵,1,10,0,0,2,1102,1102,110011,0,110012,0,110013,0,110014,0,110015,0,3000,3000,10,3000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
4,1,1,普通步兵,3,10,0,1,1,3202,3202,320011,0,320012,0,320013,0,320014,0,320015,0,3000,3000,10,3000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
5,1,1,普通骑兵,2,10,0,1,3,2202,2202,220011,0,220012,0,220013,0,220014,0,220015,0,3000,3000,10,3000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
6,1,1,普通弓兵,1,10,0,1,2,1202,1202,120011,0,120012,0,120013,0,120014,0,120015,0,3000,3000,10,3000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
7,1,1,优秀步兵,3,10,0,0,1,3102,3102,310021,0,310022,0,310023,0,310024,0,310025,0,6000,6000,10,6000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
8,1,1,优秀骑兵,2,10,0,0,3,2102,2102,210021,0,210022,0,210023,0,210024,0,210025,0,6000,6000,10,6000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
9,1,1,优秀弓兵,1,10,0,0,2,1102,1102,110021,0,110022,0,110023,0,110024,0,110025,0,6000,6000,10,6000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
10,1,1,优秀步兵,3,10,0,1,1,3202,3202,320021,0,320022,0,320023,0,320024,0,320025,0,6000,6000,10,6000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
11,1,1,优秀骑兵,2,10,0,1,3,2202,2202,220021,0,220022,0,220023,0,220024,0,220025,0,6000,6000,10,6000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
12,1,1,优秀弓兵,1,10,0,1,2,1202,1202,120021,0,120022,0,120023,0,120024,0,120025,0,6000,6000,10,6000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
13,1,2,精锐步兵,3,1,2,3,1,3102,3102,310031,0,310032,0,310033,0,310034,0,310035,0,9000,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
14,1,2,精锐骑兵,2,1,2,3,3,2102,2102,210031,0,210032,0,210033,0,210034,0,210035,0,9000,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
15,1,2,精锐弓兵,1,1,2,3,2,1102,1102,110031,0,110032,0,110033,0,110034,0,110035,0,9000,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
16,1,2,精锐步兵,3,1,2,2,1,3202,3202,320031,0,320032,0,320033,0,320034,0,320035,0,9000,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
17,1,2,精锐骑兵,2,1,2,2,3,2202,2202,220031,0,220032,0,220033,0,220034,0,220035,0,9000,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
18,1,2,精锐弓兵,1,1,2,2,2,1202,1202,120031,0,120032,0,120033,0,120034,0,120035,0,9000,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
19,1,2,超级步兵,3,1,2,3,1,3102,3102,310041,0,310042,0,310043,0,310044,0,310045,0,12000,12000,10,12000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
20,1,2,超级骑兵,2,1,2,3,3,2102,2102,210041,0,210042,0,210043,0,210044,0,210045,0,12000,12000,10,12000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
21,1,2,超级弓兵,1,1,2,3,2,1102,1102,110041,0,110042,0,110043,0,110044,0,110045,0,12000,12000,10,12000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
22,1,2,超级步兵,3,1,2,2,1,3202,3202,320041,0,320042,0,320043,0,320044,0,320045,0,12000,12000,10,12000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
23,1,2,超级骑兵,2,1,2,2,3,2202,2202,220041,0,220042,0,220043,0,220044,0,220045,0,12000,12000,10,12000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
24,1,2,超级弓兵,1,1,2,2,2,1202,1202,120041,0,120042,0,120043,0,120044,0,120045,0,12000,12000,10,12000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
25,1,1,孱弱步兵,3,20,2,2,1,3202,3202,310051,0,310052,0,310053,0,310054,0,310055,0,0,-2000,10,-2000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
26,1,1,孱弱骑兵,2,20,2,2,3,2202,2202,210051,0,210052,0,210053,0,210054,0,210055,0,0,-2000,10,-2000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
27,1,1,孱弱弓兵,1,20,2,2,2,1202,1202,110051,0,110052,0,110053,0,110054,0,110055,0,0,-2000,10,-2000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
28,2,1,勇敢步兵,3,1,0,1,1,3102,3102,310051,0,310052,0,310053,0,310054,0,310055,0,9000,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
29,2,1,勇敢骑兵,2,1,0,1,3,2102,2102,210051,0,210052,0,210053,0,210054,0,210055,0,9000,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
30,2,1,勇敢弓兵,1,1,0,1,2,1102,1102,110051,0,110052,0,110053,0,110054,0,110055,0,9000,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
31,2,1,刚烈步兵,3,1,0,1,1,3202,3202,320051,0,320052,0,320053,0,320054,0,320055,0,9000,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
32,2,1,刚烈骑兵,2,1,0,1,3,2202,2202,220051,0,220052,0,220053,0,220054,0,220055,0,9000,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
33,2,1,刚烈弓兵,1,1,0,1,2,1202,1202,120051,0,120052,0,120053,0,120054,0,120055,0,9000,9000,10,9000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
34,3,1,无畏步兵,3,2,0,1,1,3102,3102,310061,0,310062,0,310063,0,310064,0,310065,0,12000,12000,10,12000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
35,3,1,无畏骑兵,2,2,0,1,3,2102,2102,210061,0,210062,0,210063,0,210064,0,210065,0,12000,12000,10,12000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
36,3,1,无畏弓兵,1,2,0,1,2,1102,1102,110061,0,110062,0,110063,0,110064,0,110065,0,12000,12000,10,12000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
37,3,1,无畏步兵,3,1,0,1,1,3202,3202,320061,0,320062,0,320063,0,320064,0,320065,0,12000,12000,10,12000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
38,3,1,无畏骑兵,2,2,0,1,3,2202,2202,220061,0,220062,0,220063,0,220064,0,220065,0,12000,12000,10,12000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
39,3,1,无畏弓兵,1,2,0,1,2,1202,1202,120061,0,120062,0,120063,0,120064,0,120065,0,12000,12000,10,12000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
40,4,1,虎贲,3,1,0,1,1,3102,3102,1001,3105,1002,3105,1003,3105,2002,3105,2006,3105,20000,20000,10,20000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
41,4,1,虎贲,2,1,0,1,3,2102,2102,2001,2105,2003,2105,2005,2105,3003,2105,3005,2105,20000,20000,10,20000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
42,4,1,虎贲,1,1,0,1,2,1102,1102,1003,1105,1010,1105,3001,1105,3004,1105,4009,1105,20000,20000,10,20000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
43,4,1,虎贲,3,1,0,1,1,3202,3202,3005,3205,3008,3205,4003,3205,2005,3205,2010,3205,20000,20000,10,20000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
44,4,1,虎贲,2,1,0,1,3,2202,2202,1009,2205,2004,2205,1007,2205,4008,2205,3006,2205,20000,20000,10,20000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
45,4,1,虎贲,1,1,0,1,2,1202,1202,1005,1205,1007,1205,2004,1205,2009,1205,4010,1205,20000,20000,10,20000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
46,5,1,执金吾,3,1,0,1,1,3102,3102,4004,3106,1002,3106,1003,3106,2002,3106,2006,3106,20000,20000,10,30000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
47,5,1,执金吾,2,1,0,1,3,2102,2102,1006,2106,2003,2106,2005,2106,3003,2106,3005,2106,20000,20000,10,30000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
48,5,1,执金吾,1,1,0,1,2,1102,1102,4001,1106,1010,1106,3001,1106,3004,1106,4009,1106,20000,20000,10,30000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
49,5,1,执金吾,3,1,0,1,1,3202,3202,3010,3206,3008,3206,4003,3206,2005,3206,2010,3206,20000,20000,10,30000,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,0,0,0
