id,subsection,class,icon,name,ranking,capacity,item1,num1,item2,num2,item3,num3
1,1,1,icon_jjc_mlys_07,至尊,1,1,0,0,0,0,0,0
2,1,2,icon_jjc_mlys_07,至尊,2,1,0,0,0,0,0,0
3,1,3,icon_jjc_mlys_07,至尊,3,1,0,0,0,0,0,0
4,1,4,icon_jjc_mlys_07,至尊,4,1,0,0,0,0,0,0
5,1,5,icon_jjc_mlys_07,至尊,5,1,0,0,0,0,0,0
6,1,6,icon_jjc_mlys_07,至尊,6,1,0,0,0,0,0,0
7,1,7,icon_jjc_mlys_07,至尊,7,1,0,0,0,0,0,0
8,1,8,icon_jjc_mlys_07,至尊,8,1,0,0,0,0,0,0
9,1,9,icon_jjc_mlys_07,至尊,9,1,0,0,0,0,0,0
10,1,10,icon_jjc_mlys_07,至尊,10,1,0,0,0,0,0,0
11,1,11,icon_jjc_mlys_07,至尊,11,1,0,0,0,0,0,0
12,1,12,icon_jjc_mlys_07,至尊,12,1,0,0,0,0,0,0
13,1,13,icon_jjc_mlys_07,至尊,13,1,0,0,0,0,0,0
14,1,14,icon_jjc_mlys_07,至尊,14,1,0,0,0,0,0,0
15,1,15,icon_jjc_mlys_07,至尊,15,1,0,0,0,0,0,0
16,1,16,icon_jjc_mlys_07,至尊,16,1,0,0,0,0,0,0
17,1,17,icon_jjc_mlys_07,至尊,17,1,0,0,0,0,0,0
18,1,18,icon_jjc_mlys_07,至尊,18,1,0,0,0,0,0,0
19,1,19,icon_jjc_mlys_07,至尊,19,1,0,0,0,0,0,0
20,1,20,icon_jjc_mlys_07,至尊,20,1,0,0,0,0,0,0
21,2,1,icon_jjc_mlys_05,大师I,0,3,40000004,15,0,0,0,0
22,2,2,icon_jjc_mlys_05,大师II,0,3,91000001,100000,0,0,0,0
23,2,3,icon_jjc_mlys_05,大师III,0,3,91000001,100000,0,0,0,0
24,2,4,icon_jjc_mlys_05,大师IV,0,3,91000001,100000,0,0,0,0
25,2,5,icon_jjc_mlys_05,大师V,0,3,40000004,15,0,0,0,0
26,2,6,icon_jjc_mlys_05,大师VI,0,3,91000001,100000,0,0,0,0
27,2,7,icon_jjc_mlys_05,大师VII,0,3,91000001,100000,0,0,0,0
28,2,8,icon_jjc_mlys_05,大师VIII,0,3,91000001,100000,0,0,0,0
29,2,9,icon_jjc_mlys_05,大师IX,0,3,40000004,15,0,0,0,0
30,2,10,icon_jjc_mlys_05,大师X,0,3,91000001,100000,0,0,0,0
31,2,11,icon_jjc_mlys_05,大师XI,0,3,91000001,100000,0,0,0,0
32,2,12,icon_jjc_mlys_05,大师XII,0,3,91000001,100000,0,0,0,0
33,2,13,icon_jjc_mlys_05,大师XII,0,3,40000004,15,0,0,0,0
34,2,14,icon_jjc_mlys_05,大师XIV,0,3,91000001,100000,0,0,0,0
35,2,15,icon_jjc_mlys_05,大师XV,0,3,13000002,60,0,0,0,0
36,3,1,icon_jjc_mlys_04,钻石I,0,5,40000003,20,0,0,0,0
37,3,2,icon_jjc_mlys_04,钻石II,0,5,91000001,100000,0,0,0,0
38,3,3,icon_jjc_mlys_04,钻石III,0,5,91000001,100000,0,0,0,0
39,3,4,icon_jjc_mlys_04,钻石IV,0,5,40000003,20,0,0,0,0
40,3,5,icon_jjc_mlys_04,钻石V,0,5,91000001,100000,0,0,0,0
41,3,6,icon_jjc_mlys_04,钻石VI,0,5,91000001,100000,0,0,0,0
42,3,7,icon_jjc_mlys_04,钻石VII,0,5,40000003,20,0,0,0,0
43,3,8,icon_jjc_mlys_04,钻石VIII,0,5,91000001,100000,0,0,0,0
44,3,9,icon_jjc_mlys_04,钻石IX,0,5,91000001,100000,0,0,0,0
45,3,10,icon_jjc_mlys_04,钻石X,0,5,40000003,20,0,0,0,0
46,3,11,icon_jjc_mlys_04,钻石XI,0,5,91000001,100000,0,0,0,0
47,3,12,icon_jjc_mlys_04,钻石XII,0,5,91000001,100000,0,0,0,0
48,3,13,icon_jjc_mlys_04,钻石XII,0,5,40000003,20,0,0,0,0
49,3,14,icon_jjc_mlys_04,钻石XIV,0,5,91000001,100000,0,0,0,0
50,3,15,icon_jjc_mlys_04,钻石XV,0,5,13000002,60,0,0,0,0
51,4,1,icon_jjc_mlys_06,黄金I,0,10,91000001,100000,0,0,0,0
52,4,2,icon_jjc_mlys_06,黄金II,0,10,91000001,100000,0,0,0,0
53,4,3,icon_jjc_mlys_06,黄金III,0,10,91000044,300,0,0,0,0
54,4,4,icon_jjc_mlys_06,黄金IV,0,10,91000001,100000,0,0,0,0
55,4,5,icon_jjc_mlys_06,黄金V,0,10,91000001,100000,0,0,0,0
56,4,6,icon_jjc_mlys_06,黄金VI,0,10,91000044,300,0,0,0,0
57,4,7,icon_jjc_mlys_06,黄金VII,0,10,91000001,100000,0,0,0,0
58,4,8,icon_jjc_mlys_06,黄金VIII,0,10,91000001,100000,0,0,0,0
59,4,9,icon_jjc_mlys_06,黄金IX,0,10,91000044,300,0,0,0,0
60,4,10,icon_jjc_mlys_06,黄金X,0,10,91000001,100000,0,0,0,0
61,4,11,icon_jjc_mlys_06,黄金XI,0,10,91000001,100000,0,0,0,0
62,4,12,icon_jjc_mlys_06,黄金XII,0,10,91000044,300,0,0,0,0
63,4,13,icon_jjc_mlys_06,黄金XII,0,10,91000001,100000,0,0,0,0
64,4,14,icon_jjc_mlys_06,黄金XIV,0,10,91000001,100000,0,0,0,0
65,4,15,icon_jjc_mlys_06,黄金XV,0,10,13000002,60,0,0,0,0
66,5,1,icon_jjc_mlys_03,白银I,0,20,91000001,100000,0,0,0,0
67,5,2,icon_jjc_mlys_03,白银II,0,20,91000001,100000,0,0,0,0
68,5,3,icon_jjc_mlys_03,白银III,0,20,91000044,300,0,0,0,0
69,5,4,icon_jjc_mlys_03,白银IV,0,20,91000001,100000,0,0,0,0
70,5,5,icon_jjc_mlys_03,白银V,0,20,91000001,100000,0,0,0,0
71,5,6,icon_jjc_mlys_03,白银VI,0,20,91000044,300,0,0,0,0
72,5,7,icon_jjc_mlys_03,白银VII,0,20,91000001,100000,0,0,0,0
73,5,8,icon_jjc_mlys_03,白银VIII,0,20,91000001,100000,0,0,0,0
74,5,9,icon_jjc_mlys_03,白银IX,0,20,91000044,300,0,0,0,0
75,5,10,icon_jjc_mlys_03,白银X,0,20,91000001,100000,0,0,0,0
76,5,11,icon_jjc_mlys_03,白银XI,0,20,91000001,100000,0,0,0,0
77,5,12,icon_jjc_mlys_03,白银XII,0,20,91000044,300,0,0,0,0
78,5,13,icon_jjc_mlys_03,白银XII,0,20,91000001,100000,0,0,0,0
79,5,14,icon_jjc_mlys_03,白银XIV,0,20,91000001,100000,0,0,0,0
80,5,15,icon_jjc_mlys_03,白银XV,0,20,13000001,180,0,0,0,0
81,6,1,icon_jjc_mlys_02,青铜I,0,50,91000001,100000,0,0,0,0
82,6,2,icon_jjc_mlys_02,青铜II,0,50,91000001,100000,0,0,0,0
83,6,3,icon_jjc_mlys_02,青铜III,0,50,91000044,300,0,0,0,0
84,6,4,icon_jjc_mlys_02,青铜IV,0,50,91000001,100000,0,0,0,0
85,6,5,icon_jjc_mlys_02,青铜V,0,50,91000001,100000,0,0,0,0
86,6,6,icon_jjc_mlys_02,青铜VI,0,50,91000044,300,0,0,0,0
87,6,7,icon_jjc_mlys_02,青铜VII,0,50,91000001,100000,0,0,0,0
88,6,8,icon_jjc_mlys_02,青铜VIII,0,50,91000001,100000,0,0,0,0
89,6,9,icon_jjc_mlys_02,青铜IX,0,50,91000044,300,0,0,0,0
90,6,10,icon_jjc_mlys_02,青铜X,0,50,91000001,100000,0,0,0,0
91,6,11,icon_jjc_mlys_02,青铜XI,0,50,91000001,100000,0,0,0,0
92,6,12,icon_jjc_mlys_02,青铜XII,0,50,91000044,300,0,0,0,0
93,6,13,icon_jjc_mlys_02,青铜XII,0,50,91000001,100000,0,0,0,0
94,6,14,icon_jjc_mlys_02,青铜XIV,0,50,91000001,100000,0,0,0,0
95,6,15,icon_jjc_mlys_02,青铜XV,0,50,91000044,300,0,0,0,0
96,7,1,icon_jjc_mlys_01,新兵,0,0,0,0,0,0,0,0
