id,type,jjcscore,jjcclass,jjcdan,robotlevel,teamnum,showfight,showfight1,optionhero1,herolv1,robotstar1,optionhero2,herolv2,robotstar2,optionhero3,herolv3,robotstar3,optionhero4,herolv4,robotstar4,optionhero5,herolv5,robotstar5,optionhero6,herolv6,robotstar6,optionhero7,herolv7,robotstar7,optionhero8,herolv8,robotstar8,optionhero9,herolv9,robotstar9,hydraoption,ragevalue,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11,base_type12,base_value12,base_type13,base_value13
1,1,1000,0,0,30,1,696000,661200,1002,21,4,1005,21,4,2013,21,3,1012,21,2,1015,21,2,0,0,0,0,0,0,0,0,0,0,0,0,5004,0,21,10000,22,240,1,4000,2,150,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,1,1,150,1,87354700,82986965,1001,240,11,1002,239,10,1003,238,10,1005,237,10,1006,236,10,1009,236,10,1010,237,10,1012,236,10,1013,236,10,5004,0,21,10000,22,240,1,304695,2,23140,3,4627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,1,1,150,2,87354700,82986965,2001,240,11,2011,239,10,2013,238,10,2014,237,10,3001,236,10,3002,236,10,3010,237,10,3011,236,10,3012,236,10,5004,0,21,10000,22,240,1,304695,2,23140,3,4627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,1,1,150,3,87354700,82986965,4001,240,11,4002,239,10,4003,238,10,4006,237,10,4010,236,10,4011,236,10,4012,237,10,0,0,0,0,0,0,5004,0,21,10000,22,240,1,304695,2,23140,3,4627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,1,2,149,1,86256400,81943580,1001,239,10,1002,238,10,1003,237,10,1005,236,10,1006,235,10,1009,235,10,1010,236,10,1012,235,10,1013,235,10,5004,0,21,10000,22,240,1,300863,2,22849,3,4569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0,1,2,149,2,86256400,81943580,2001,239,10,2011,238,10,2013,237,10,2014,236,10,3001,235,10,3002,235,10,3010,236,10,3011,235,10,3012,235,10,5004,0,21,10000,22,240,1,300863,2,22849,3,4569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,0,1,2,149,3,86256400,81943580,4001,239,10,4002,238,10,4003,237,10,4006,236,10,4010,235,10,4011,235,10,4012,236,10,0,0,0,0,0,0,5004,0,21,10000,22,240,1,300863,2,22849,3,4569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,1,3,148,1,85158100,80900195,1001,238,10,1002,237,10,1003,236,10,1005,235,10,1006,234,10,1009,234,10,1010,235,10,1012,234,10,1013,234,10,5004,0,21,10000,22,240,1,297031,2,22558,3,4511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,0,1,3,148,2,85158100,80900195,2001,238,10,2011,237,10,2013,236,10,2014,235,10,3001,234,10,3002,234,10,3010,235,10,3011,234,10,3012,234,10,5004,0,21,10000,22,240,1,297031,2,22558,3,4511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,0,1,3,148,3,85158100,80900195,4001,238,10,4002,237,10,4003,236,10,4006,235,10,4010,234,10,4011,234,10,4012,235,10,0,0,0,0,0,0,5004,0,21,10000,22,240,1,297031,2,22558,3,4511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
